"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step7-step7.wav","a","1100","1","201"
"50","pretest_discrimination","0","1","i-y-u_step_5-step_3.wav","a","1223","1","201"
"66.6666666667","pretest_discrimination","1","2","i-y-u_step_5-step_7.wav","g","661","1","201"
"75","pretest_discrimination","1","3","i-y-u_step_5-step_7.wav","g","601","1","201"
"60","pretest_discrimination","0","4","i-y-u_step_7-step_5.wav","a","1384","1","201"
"66.6666666667","pretest_discrimination","1","5","i-y-u_step_5-step_7.wav","g","498","1","201"
"71.4285714286","pretest_discrimination","1","6","i-y-u_step_2-step_4.wav","g","183","1","201"
"62.5","pretest_discrimination","0","7","i-y-u_step_4-step_2.wav","a","1262","1","201"
"66.6666666667","pretest_discrimination","1","8","i-y-u_step_6-step_4.wav","g","2111","1","201"
"60","pretest_discrimination","0","9","i-y-u_step_5-step_3.wav","a","1764","1","201"
"54.5454545455","pretest_discrimination","0","10","i-y-u_step_3-step_1.wav","a","1476","1","201"
"58.3333333333","pretest_discrimination","1","11","i-y-u_step_7-step_5.wav","g","447","1","201"
"61.5384615385","pretest_discrimination","1","12","i-y-u_step_7-step_5.wav","g","1366","1","201"
"64.2857142857","pretest_discrimination","1","13","i-y-u_step1-step1.wav","a","685","1","201"
"60","pretest_discrimination","0","14","i-y-u_step7-step7.wav","g","1771","1","201"
"56.25","pretest_discrimination","0","15","i-y-u_step_4-step_2.wav","a","574","1","201"
"58.8235294118","pretest_discrimination","1","16","i-y-u_step1-step1.wav","a","434","1","201"
"55.5555555556","pretest_discrimination","0","17","i-y-u_step_5-step_3.wav","a","1652","1","201"
"57.8947368421","pretest_discrimination","1","18","i-y-u_step_5-step_7.wav","g","637","1","201"
"55","pretest_discrimination","0","19","i-y-u_step_7-step_5.wav","a","1949","1","201"
"57.1428571429","pretest_discrimination","1","20","i-y-u_step_2-step_4.wav","g","1192","1","201"
"54.5454545455","pretest_discrimination","0","21","i-y-u_step_3-step_5.wav","a","1036","1","201"
"56.5217391304","pretest_discrimination","1","22","i-y-u_step6-step6.wav","a","904","1","201"
"58.3333333333","pretest_discrimination","1","23","i-y-u_step4-step4.wav","a","1102","1","201"
"56","pretest_discrimination","0","24","i-y-u_step_6-step_4.wav","a","1512","1","201"
"57.6923076923","pretest_discrimination","1","25","i-y-u_step_1-step_3.wav","g","300","1","201"
