accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
0,pretest_discrimination,0,0,iyu_step_2-step_4.wav,A,1836,S3,1403
50,pretest_discrimination,1,1,iyu_step_4-step_4.wav,A,376,S3,1403
66.66666667,pretest_discrimination,1,2,iyu_step_6-step_6.wav,A,553,S3,1403
75,pretest_discrimination,1,3,iyu_step_7-step_5.wav,G,262,S3,1403
80,pretest_discrimination,1,4,iyu_step_3-step_5.wav,G,300,S3,1403
66.66666667,pretest_discrimination,0,5,iyu_step_6-step_6.wav,G,744,S3,1403
71.42857143,pretest_discrimination,1,6,iyu_step_6-step_6.wav,A,446,S3,1403
62.5,pretest_discrimination,0,7,iyu_step_1-step_3.wav,A,489,S3,1403
66.66666667,pretest_discrimination,1,8,iyu_step_5-step_3.wav,G,502,S3,1403
70,pretest_discrimination,1,9,iyu_step_4-step_6.wav,G,665,S3,1403
72.72727273,pretest_discrimination,1,10,iyu_step_5-step_7.wav,G,541,S3,1403
75,pretest_discrimination,1,11,iyu_step_7-step_5.wav,G,185,S3,1403
69.23076923,pretest_discrimination,0,12,iyu_step_5-step_3.wav,A,1791,S3,1403
64.28571429,pretest_discrimination,0,13,iyu_step_1-step_3.wav,A,1454,S3,1403
66.66666667,pretest_discrimination,1,14,iyu_step_2-step_2.wav,A,145,S3,1403
68.75,pretest_discrimination,1,15,iyu_step_3-step_5.wav,G,470,S3,1403
70.58823529,pretest_discrimination,1,16,iyu_step_4-step_4.wav,A,417,S3,1403
72.22222222,pretest_discrimination,1,17,iyu_step_4-step_6.wav,G,614,S3,1403
73.68421053,pretest_discrimination,1,18,iyu_step_1-step_1.wav,A,154,S3,1403
75,pretest_discrimination,1,19,iyu_step_2-step_4.wav,G,199,S3,1403
76.19047619,pretest_discrimination,1,20,iyu_step_7-step_5.wav,G,390,S3,1403
77.27272727,pretest_discrimination,1,21,iyu_step_4-step_6.wav,G,212,S3,1403
78.26086957,pretest_discrimination,1,22,iyu_step_1-step_3.wav,G,468,S3,1403
79.16666667,pretest_discrimination,1,23,iyu_step_3-step_3.wav,A,536,S3,1403
76,pretest_discrimination,0,24,iyu_step_7-step_7.wav,G,310,S3,1403
73.07692308,pretest_discrimination,0,25,iyu_step_4-step_6.wav,A,243,S3,1403
74.07407407,pretest_discrimination,1,26,iyu_step_3-step_5.wav,G,285,S3,1403
75,pretest_discrimination,1,27,iyu_step_2-step_2.wav,A,116,S3,1403
75.86206897,pretest_discrimination,1,28,iyu_step_3-step_1.wav,G,379,S3,1403
76.66666667,pretest_discrimination,1,29,iyu_step_4-step_2.wav,G,316,S3,1403
77.41935484,pretest_discrimination,1,30,iyu_step_6-step_4.wav,G,256,S3,1403
78.125,pretest_discrimination,1,31,iyu_step_3-step_3.wav,A,379,S3,1403
78.78787879,pretest_discrimination,1,32,iyu_step_3-step_1.wav,G,234,S3,1403
79.41176471,pretest_discrimination,1,33,iyu_step_4-step_4.wav,A,292,S3,1403
80,pretest_discrimination,1,34,iyu_step_3-step_1.wav,G,623,S3,1403
80.55555556,pretest_discrimination,1,35,iyu_step_6-step_6.wav,A,443,S3,1403
81.08108108,pretest_discrimination,1,36,iyu_step_4-step_6.wav,G,755,S3,1403
81.57894737,pretest_discrimination,1,37,iyu_step_2-step_4.wav,G,177,S3,1403
79.48717949,pretest_discrimination,0,38,iyu_step_5-step_5.wav,G,1223,S3,1403
80,pretest_discrimination,1,39,iyu_step_1-step_1.wav,A,32,S3,1403
80.48780488,pretest_discrimination,1,40,iyu_step_7-step_5.wav,G,382,S3,1403
80.95238095,pretest_discrimination,1,41,iyu_step_6-step_4.wav,G,162,S3,1403
81.39534884,pretest_discrimination,1,42,iyu_step_6-step_4.wav,G,262,S3,1403
81.81818182,pretest_discrimination,1,43,iyu_step_6-step_4.wav,G,359,S3,1403
82.22222222,pretest_discrimination,1,44,iyu_step_4-step_4.wav,A,32,S3,1403
82.60869565,pretest_discrimination,1,45,iyu_step_6-step_6.wav,A,320,S3,1403
82.9787234,pretest_discrimination,1,46,iyu_step_4-step_4.wav,A,272,S3,1403
83.33333333,pretest_discrimination,1,47,iyu_step_4-step_4.wav,A,113,S3,1403
83.67346939,pretest_discrimination,1,48,iyu_step_3-step_1.wav,G,207,S3,1403
84,pretest_discrimination,1,49,iyu_step_3-step_3.wav,A,252,S3,1403
84.31372549,pretest_discrimination,1,50,iyu_step_7-step_7.wav,A,282,S3,1403
84.61538462,pretest_discrimination,1,51,iyu_step_4-step_4.wav,A,215,S3,1403
84.90566038,pretest_discrimination,1,52,iyu_step_3-step_5.wav,G,162,S3,1403
85.18518519,pretest_discrimination,1,53,iyu_step_2-step_4.wav,G,65,S3,1403
85.45454545,pretest_discrimination,1,54,iyu_step_4-step_6.wav,G,2870,S3,1403
83.92857143,pretest_discrimination,0,55,iyu_step_5-step_7.wav,A,204,S3,1403
84.21052632,pretest_discrimination,1,56,iyu_step_5-step_5.wav,A,295,S3,1403
84.48275862,pretest_discrimination,1,57,iyu_step_3-step_3.wav,A,244,S3,1403
84.74576271,pretest_discrimination,1,58,iyu_step_1-step_3.wav,G,352,S3,1403
85,pretest_discrimination,1,59,iyu_step_5-step_3.wav,G,538,S3,1403
85.24590164,pretest_discrimination,1,60,iyu_step_4-step_2.wav,G,371,S3,1403
85.48387097,pretest_discrimination,1,61,iyu_step_3-step_5.wav,G,543,S3,1403
85.71428571,pretest_discrimination,1,62,iyu_step_7-step_7.wav,A,1031,S3,1403
85.9375,pretest_discrimination,1,63,iyu_step_3-step_5.wav,G,1326,S3,1403
86.15384615,pretest_discrimination,1,64,iyu_step_7-step_7.wav,A,42,S3,1403
86.36363636,pretest_discrimination,1,65,iyu_step_7-step_7.wav,A,1371,S3,1403
86.56716418,pretest_discrimination,1,66,iyu_step_2-step_4.wav,G,40,S3,1403
86.76470588,pretest_discrimination,1,67,iyu_step_7-step_7.wav,A,206,S3,1403
85.50724638,pretest_discrimination,0,68,iyu_step_5-step_3.wav,A,585,S3,1403
85.71428571,pretest_discrimination,1,69,iyu_step_5-step_5.wav,A,106,S3,1403
84.50704225,pretest_discrimination,0,70,iyu_step_5-step_7.wav,A,286,S3,1403
83.33333333,pretest_discrimination,0,71,iyu_step_5-step_7.wav,A,603,S3,1403
82.19178082,pretest_discrimination,0,72,iyu_step_5-step_7.wav,A,252,S3,1403
82.43243243,pretest_discrimination,1,73,iyu_step_1-step_3.wav,G,134,S3,1403
82.66666667,pretest_discrimination,1,74,iyu_step_1-step_1.wav,A,134,S3,1403
82.89473684,pretest_discrimination,1,75,iyu_step_3-step_3.wav,A,366,S3,1403
83.11688312,pretest_discrimination,1,76,iyu_step_4-step_6.wav,G,934,S3,1403
83.33333333,pretest_discrimination,1,77,iyu_step_4-step_6.wav,G,176,S3,1403
82.27848101,pretest_discrimination,0,78,iyu_step_5-step_3.wav,A,354,S3,1403
82.5,pretest_discrimination,1,79,iyu_step_3-step_1.wav,G,217,S3,1403
82.71604938,pretest_discrimination,1,80,iyu_step_1-step_1.wav,A,146,S3,1403
82.92682927,pretest_discrimination,1,81,iyu_step_4-step_4.wav,A,642,S3,1403
83.13253012,pretest_discrimination,1,82,iyu_step_3-step_1.wav,G,280,S3,1403
83.33333333,pretest_discrimination,1,83,iyu_step_4-step_4.wav,A,231,S3,1403
83.52941176,pretest_discrimination,1,84,iyu_step_3-step_3.wav,A,186,S3,1403
83.72093023,pretest_discrimination,1,85,iyu_step_3-step_5.wav,G,142,S3,1403
83.90804598,pretest_discrimination,1,86,iyu_step_5-step_7.wav,G,536,S3,1403
84.09090909,pretest_discrimination,1,87,iyu_step_7-step_5.wav,G,318,S3,1403
84.26966292,pretest_discrimination,1,88,iyu_step_4-step_2.wav,G,1271,S3,1403
84.44444444,pretest_discrimination,1,89,iyu_step_6-step_4.wav,G,737,S3,1403
83.51648352,pretest_discrimination,0,90,iyu_step_3-step_3.wav,G,263,S3,1403
83.69565217,pretest_discrimination,1,91,iyu_step_2-step_2.wav,A,369,S3,1403
83.87096774,pretest_discrimination,1,92,iyu_step_2-step_2.wav,A,555,S3,1403
84.04255319,pretest_discrimination,1,93,iyu_step_7-step_7.wav,A,123,S3,1403
84.21052632,pretest_discrimination,1,94,iyu_step_4-step_4.wav,A,220,S3,1403
84.375,pretest_discrimination,1,95,iyu_step_2-step_2.wav,A,44,S3,1403
84.53608247,pretest_discrimination,1,96,iyu_step_1-step_1.wav,A,129,S3,1403
84.69387755,pretest_discrimination,1,97,iyu_step_3-step_1.wav,G,351,S3,1403
84.84848485,pretest_discrimination,1,98,iyu_step_3-step_1.wav,G,942,S3,1403
85,pretest_discrimination,1,99,iyu_step_7-step_5.wav,G,711,S3,1403
85.14851485,pretest_discrimination,1,100,iyu_step_1-step_1.wav,A,36,S3,1403
85.29411765,pretest_discrimination,1,101,iyu_step_2-step_2.wav,A,145,S3,1403
84.46601942,pretest_discrimination,0,102,iyu_step_5-step_3.wav,A,1297,S3,1403
84.61538462,pretest_discrimination,1,103,iyu_step_5-step_5.wav,A,325,S3,1403
84.76190476,pretest_discrimination,1,104,iyu_step_2-step_4.wav,G,562,S3,1403
84.90566038,pretest_discrimination,1,105,iyu_step_6-step_4.wav,G,699,S3,1403
85.04672897,pretest_discrimination,1,106,iyu_step_7-step_5.wav,G,283,S3,1403
85.18518519,pretest_discrimination,1,107,iyu_step_6-step_6.wav,A,461,S3,1403
85.32110092,pretest_discrimination,1,108,iyu_step_1-step_3.wav,G,295,S3,1403
85.45454545,pretest_discrimination,1,109,iyu_step_1-step_1.wav,A,305,S3,1403
85.58558559,pretest_discrimination,1,110,iyu_step_4-step_2.wav,G,621,S3,1403
85.71428571,pretest_discrimination,1,111,iyu_step_3-step_3.wav,A,365,S3,1403
85.84070796,pretest_discrimination,1,112,iyu_step_7-step_5.wav,G,349,S3,1403
85.96491228,pretest_discrimination,1,113,iyu_step_5-step_7.wav,G,677,S3,1403
85.2173913,pretest_discrimination,0,114,iyu_step_7-step_5.wav,A,1343,S3,1403
85.34482759,pretest_discrimination,1,115,iyu_step_1-step_1.wav,A,219,S3,1403
84.61538462,pretest_discrimination,0,116,iyu_step_4-step_2.wav,A,467,S3,1403
83.89830508,pretest_discrimination,0,117,iyu_step_4-step_2.wav,A,392,S3,1403
84.03361345,pretest_discrimination,1,118,iyu_step_3-step_1.wav,G,744,S3,1403
84.16666667,pretest_discrimination,1,119,iyu_step_2-step_4.wav,G,779,S3,1403
84.29752066,pretest_discrimination,1,120,iyu_step_3-step_1.wav,G,624,S3,1403
83.60655738,pretest_discrimination,0,121,iyu_step_7-step_7.wav,G,2477,S3,1403
83.7398374,pretest_discrimination,1,122,iyu_step_3-step_5.wav,G,647,S3,1403
83.87096774,pretest_discrimination,1,123,iyu_step_5-step_7.wav,G,785,S3,1403
83.2,pretest_discrimination,0,124,iyu_step_1-step_1.wav,G,1977,S3,1403
83.33333333,pretest_discrimination,1,125,iyu_step_2-step_4.wav,G,1002,S3,1403
83.46456693,pretest_discrimination,1,126,iyu_step_3-step_3.wav,A,908,S3,1403
82.8125,pretest_discrimination,0,127,iyu_step_5-step_7.wav,A,1026,S3,1403
82.94573643,pretest_discrimination,1,128,iyu_step_6-step_6.wav,A,574,S3,1403
83.07692308,pretest_discrimination,1,129,iyu_step_2-step_2.wav,A,1950,S3,1403
82.44274809,pretest_discrimination,0,130,iyu_step_5-step_3.wav,A,1844,S3,1403
82.57575758,pretest_discrimination,1,131,iyu_step_5-step_5.wav,A,423,S3,1403
82.70676692,pretest_discrimination,1,132,iyu_step_4-step_4.wav,A,124,S3,1403
82.08955224,pretest_discrimination,0,133,iyu_step_2-step_4.wav,A,1223,S3,1403
