accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session,subject_nr
0,pretest_discrimination,0,0,iyu_step_3-step_5.wav,G,1981,S3,2503
50,pretest_discrimination,1,1,iyu_step_3-step_3.wav,G,661,S3,2503
66.66666667,pretest_discrimination,1,2,iyu_step_7-step_5.wav,A,378,S3,2503
75,pretest_discrimination,1,3,iyu_step_2-step_4.wav,A,457,S3,2503
80,pretest_discrimination,1,4,iyu_step_3-step_1.wav,A,405,S3,2503
83.33333333,pretest_discrimination,1,5,iyu_step_7-step_7.wav,G,329,S3,2503
85.71428571,pretest_discrimination,1,6,iyu_step_4-step_4.wav,G,439,S3,2503
87.5,pretest_discrimination,1,7,iyu_step_3-step_1.wav,A,415,S3,2503
88.88888889,pretest_discrimination,1,8,iyu_step_6-step_4.wav,A,334,S3,2503
90,pretest_discrimination,1,9,iyu_step_3-step_5.wav,A,329,S3,2503
90.90909091,pretest_discrimination,1,10,iyu_step_2-step_2.wav,G,324,S3,2503
91.66666667,pretest_discrimination,1,11,iyu_step_7-step_7.wav,G,169,S3,2503
92.30769231,pretest_discrimination,1,12,iyu_step_6-step_4.wav,A,279,S3,2503
92.85714286,pretest_discrimination,1,13,iyu_step_7-step_5.wav,A,496,S3,2503
93.33333333,pretest_discrimination,1,14,iyu_step_6-step_6.wav,G,237,S3,2503
93.75,pretest_discrimination,1,15,iyu_step_6-step_6.wav,G,325,S3,2503
94.11764706,pretest_discrimination,1,16,iyu_step_5-step_7.wav,A,296,S3,2503
94.44444444,pretest_discrimination,1,17,iyu_step_1-step_3.wav,A,273,S3,2503
94.73684211,pretest_discrimination,1,18,iyu_step_2-step_4.wav,A,248,S3,2503
95,pretest_discrimination,1,19,iyu_step_4-step_4.wav,G,408,S3,2503
95.23809524,pretest_discrimination,1,20,iyu_step_6-step_4.wav,A,271,S3,2503
95.45454545,pretest_discrimination,1,21,iyu_step_6-step_4.wav,A,223,S3,2503
95.65217391,pretest_discrimination,1,22,iyu_step_7-step_7.wav,G,214,S3,2503
95.83333333,pretest_discrimination,1,23,iyu_step_2-step_2.wav,G,1281,S3,2503
92,pretest_discrimination,0,24,iyu_step_5-step_5.wav,G,330,S3,2503
92.30769231,pretest_discrimination,1,25,iyu_step_5-step_3.wav,A,183,S3,2503
88.88888889,pretest_discrimination,0,26,iyu_step_5-step_5.wav,G,190,S3,2503
89.28571429,pretest_discrimination,1,27,iyu_step_4-step_4.wav,G,211,S3,2503
89.65517241,pretest_discrimination,1,28,iyu_step_1-step_1.wav,G,298,S3,2503
86.66666667,pretest_discrimination,0,29,iyu_step_5-step_5.wav,G,376,S3,2503
87.09677419,pretest_discrimination,1,30,iyu_step_4-step_6.wav,A,270,S3,2503
87.5,pretest_discrimination,1,31,iyu_step_4-step_2.wav,A,192,S3,2503
87.87878788,pretest_discrimination,1,32,iyu_step_6-step_6.wav,G,337,S3,2503
88.23529412,pretest_discrimination,1,33,iyu_step_7-step_7.wav,G,215,S3,2503
88.57142857,pretest_discrimination,1,34,iyu_step_6-step_4.wav,A,244,S3,2503
88.88888889,pretest_discrimination,1,35,iyu_step_4-step_6.wav,A,272,S3,2503
89.18918919,pretest_discrimination,1,36,iyu_step_6-step_6.wav,G,405,S3,2503
89.47368421,pretest_discrimination,1,37,iyu_step_6-step_6.wav,G,289,S3,2503
89.74358974,pretest_discrimination,1,38,iyu_step_4-step_4.wav,G,396,S3,2503
90,pretest_discrimination,1,39,iyu_step_1-step_1.wav,G,291,S3,2503
90.24390244,pretest_discrimination,1,40,iyu_step_6-step_4.wav,A,294,S3,2503
90.47619048,pretest_discrimination,1,41,iyu_step_5-step_3.wav,A,162,S3,2503
90.69767442,pretest_discrimination,1,42,iyu_step_6-step_6.wav,G,535,S3,2503
90.90909091,pretest_discrimination,1,43,iyu_step_2-step_2.wav,G,870,S3,2503
91.11111111,pretest_discrimination,1,44,iyu_step_7-step_5.wav,A,197,S3,2503
91.30434783,pretest_discrimination,1,45,iyu_step_1-step_1.wav,G,223,S3,2503
89.36170213,pretest_discrimination,0,46,iyu_step_5-step_5.wav,G,277,S3,2503
89.58333333,pretest_discrimination,1,47,iyu_step_3-step_1.wav,A,251,S3,2503
89.79591837,pretest_discrimination,1,48,iyu_step_6-step_6.wav,G,185,S3,2503
90,pretest_discrimination,1,49,iyu_step_4-step_6.wav,A,284,S3,2503
90.19607843,pretest_discrimination,1,50,iyu_step_3-step_3.wav,G,298,S3,2503
90.38461538,pretest_discrimination,1,51,iyu_step_4-step_2.wav,A,216,S3,2503
90.56603774,pretest_discrimination,1,52,iyu_step_7-step_7.wav,G,169,S3,2503
90.74074074,pretest_discrimination,1,53,iyu_step_6-step_6.wav,G,195,S3,2503
