accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
100,pretest_discrimination,1,0,iyu_step_4-step_4.wav,a,3111,S3,2203
50,pretest_discrimination,0,1,iyu_step_7-step_5.wav,a,547,S3,2203
33.33333333,pretest_discrimination,0,2,iyu_step_6-step_6.wav,None,6000,S3,2203
25,pretest_discrimination,0,3,iyu_step_7-step_5.wav,a,2125,S3,2203
20,pretest_discrimination,0,4,iyu_step_2-step_4.wav,None,6000,S3,2203
33.33333333,pretest_discrimination,1,5,iyu_step_4-step_4.wav,a,1482,S3,2203
42.85714286,pretest_discrimination,1,6,iyu_step_6-step_6.wav,a,2364,S3,2203
37.5,pretest_discrimination,0,7,iyu_step_4-step_2.wav,a,3890,S3,2203
33.33333333,pretest_discrimination,0,8,iyu_step_4-step_6.wav,a,162,S3,2203
30,pretest_discrimination,0,9,iyu_step_2-step_4.wav,a,217,S3,2203
36.36363636,pretest_discrimination,1,10,iyu_step_6-step_6.wav,a,420,S3,2203
41.66666667,pretest_discrimination,1,11,iyu_step_3-step_3.wav,a,933,S3,2203
38.46153846,pretest_discrimination,0,12,iyu_step_6-step_4.wav,a,218,S3,2203
35.71428571,pretest_discrimination,0,13,iyu_step_4-step_2.wav,a,169,S3,2203
33.33333333,pretest_discrimination,0,14,iyu_step_4-step_6.wav,a,313,S3,2203
37.5,pretest_discrimination,1,15,iyu_step_5-step_5.wav,a,243,S3,2203
35.29411765,pretest_discrimination,0,16,iyu_step_7-step_5.wav,a,272,S3,2203
33.33333333,pretest_discrimination,0,17,iyu_step_2-step_2.wav,g,175,S3,2203
31.57894737,pretest_discrimination,0,18,iyu_step_3-step_1.wav,a,204,S3,2203
35,pretest_discrimination,1,19,iyu_step_4-step_6.wav,g,315,S3,2203
38.0952381,pretest_discrimination,1,20,iyu_step_2-step_2.wav,a,299,S3,2203
40.90909091,pretest_discrimination,1,21,iyu_step_5-step_7.wav,g,244,S3,2203
43.47826087,pretest_discrimination,1,22,iyu_step_7-step_5.wav,g,332,S3,2203
41.66666667,pretest_discrimination,0,23,iyu_step_7-step_7.wav,g,299,S3,2203
40,pretest_discrimination,0,24,iyu_step_5-step_3.wav,a,259,S3,2203
42.30769231,pretest_discrimination,1,25,iyu_step_2-step_2.wav,a,153,S3,2203
44.44444444,pretest_discrimination,1,26,iyu_step_3-step_5.wav,g,427,S3,2203
42.85714286,pretest_discrimination,0,27,iyu_step_6-step_4.wav,a,449,S3,2203
41.37931034,pretest_discrimination,0,28,iyu_step_2-step_4.wav,a,339,S3,2203
43.33333333,pretest_discrimination,1,29,iyu_step_3-step_3.wav,a,152,S3,2203
41.93548387,pretest_discrimination,0,30,iyu_step_7-step_7.wav,g,443,S3,2203
43.75,pretest_discrimination,1,31,iyu_step_5-step_7.wav,g,605,S3,2203
45.45454545,pretest_discrimination,1,32,iyu_step_5-step_5.wav,a,237,S3,2203
47.05882353,pretest_discrimination,1,33,iyu_step_7-step_7.wav,a,267,S3,2203
48.57142857,pretest_discrimination,1,34,iyu_step_7-step_7.wav,a,161,S3,2203
50,pretest_discrimination,1,35,iyu_step_7-step_7.wav,a,170,S3,2203
51.35135135,pretest_discrimination,1,36,iyu_step_2-step_2.wav,a,169,S3,2203
50,pretest_discrimination,0,37,iyu_step_3-step_1.wav,a,197,S3,2203
48.71794872,pretest_discrimination,0,38,iyu_step_1-step_3.wav,a,236,S3,2203
50,pretest_discrimination,1,39,iyu_step_3-step_3.wav,a,183,S3,2203
51.2195122,pretest_discrimination,1,40,iyu_step_5-step_5.wav,a,366,S3,2203
52.38095238,pretest_discrimination,1,41,iyu_step_4-step_4.wav,a,293,S3,2203
53.48837209,pretest_discrimination,1,42,iyu_step_3-step_5.wav,g,376,S3,2203
54.54545455,pretest_discrimination,1,43,iyu_step_4-step_6.wav,g,271,S3,2203
55.55555556,pretest_discrimination,1,44,iyu_step_4-step_4.wav,a,178,S3,2203
56.52173913,pretest_discrimination,1,45,iyu_step_6-step_4.wav,g,459,S3,2203
55.31914894,pretest_discrimination,0,46,iyu_step_3-step_1.wav,a,482,S3,2203
54.16666667,pretest_discrimination,0,47,iyu_step_4-step_2.wav,a,296,S3,2203
55.10204082,pretest_discrimination,1,48,iyu_step_5-step_7.wav,g,373,S3,2203
56,pretest_discrimination,1,49,iyu_step_4-step_2.wav,g,406,S3,2203
56.8627451,pretest_discrimination,1,50,iyu_step_5-step_7.wav,g,453,S3,2203
55.76923077,pretest_discrimination,0,51,iyu_step_6-step_6.wav,g,188,S3,2203
54.71698113,pretest_discrimination,0,52,iyu_step_3-step_1.wav,a,243,S3,2203
53.7037037,pretest_discrimination,0,53,iyu_step_3-step_1.wav,a,262,S3,2203
54.54545455,pretest_discrimination,1,54,iyu_step_4-step_4.wav,a,778,S3,2203
55.35714286,pretest_discrimination,1,55,iyu_step_1-step_3.wav,g,713,S3,2203
54.38596491,pretest_discrimination,0,56,iyu_step_1-step_1.wav,g,480,S3,2203
53.44827586,pretest_discrimination,0,57,iyu_step_1-step_1.wav,g,487,S3,2203
54.23728814,pretest_discrimination,1,58,iyu_step_1-step_3.wav,g,333,S3,2203
55,pretest_discrimination,1,59,iyu_step_3-step_1.wav,g,176,S3,2203
55.73770492,pretest_discrimination,1,60,iyu_step_5-step_5.wav,a,402,S3,2203
56.4516129,pretest_discrimination,1,61,iyu_step_3-step_3.wav,a,786,S3,2203
55.55555556,pretest_discrimination,0,62,iyu_step_4-step_2.wav,a,282,S3,2203
54.6875,pretest_discrimination,0,63,iyu_step_1-step_3.wav,a,810,S3,2203
55.38461538,pretest_discrimination,1,64,iyu_step_2-step_2.wav,a,247,S3,2203
56.06060606,pretest_discrimination,1,65,iyu_step_7-step_7.wav,a,482,S3,2203
56.71641791,pretest_discrimination,1,66,iyu_step_4-step_2.wav,g,578,S3,2203
55.88235294,pretest_discrimination,0,67,iyu_step_6-step_4.wav,a,429,S3,2203
56.52173913,pretest_discrimination,1,68,iyu_step_5-step_3.wav,g,418,S3,2203
57.14285714,pretest_discrimination,1,69,iyu_step_1-step_1.wav,a,231,S3,2203
57.74647887,pretest_discrimination,1,70,iyu_step_4-step_4.wav,a,335,S3,2203
58.33333333,pretest_discrimination,1,71,iyu_step_5-step_5.wav,a,288,S3,2203
57.53424658,pretest_discrimination,0,72,iyu_step_3-step_5.wav,a,204,S3,2203
58.10810811,pretest_discrimination,1,73,iyu_step_5-step_5.wav,a,244,S3,2203
57.33333333,pretest_discrimination,0,74,iyu_step_4-step_6.wav,a,217,S3,2203
57.89473684,pretest_discrimination,1,75,iyu_step_3-step_3.wav,a,151,S3,2203
57.14285714,pretest_discrimination,0,76,iyu_step_5-step_3.wav,a,820,S3,2203
57.69230769,pretest_discrimination,1,77,iyu_step_3-step_5.wav,g,1459,S3,2203
56.96202532,pretest_discrimination,0,78,iyu_step_6-step_6.wav,g,798,S3,2203
56.25,pretest_discrimination,0,79,iyu_step_5-step_5.wav,g,1686,S3,2203
56.79012346,pretest_discrimination,1,80,iyu_step_4-step_6.wav,g,3665,S3,2203
57.31707317,pretest_discrimination,1,81,iyu_step_3-step_3.wav,a,477,S3,2203
56.62650602,pretest_discrimination,0,82,iyu_step_7-step_5.wav,a,342,S3,2203
57.14285714,pretest_discrimination,1,83,iyu_step_1-step_1.wav,a,409,S3,2203
57.64705882,pretest_discrimination,1,84,iyu_step_5-step_5.wav,a,691,S3,2203
58.13953488,pretest_discrimination,1,85,iyu_step_4-step_4.wav,a,410,S3,2203
58.62068966,pretest_discrimination,1,86,iyu_step_7-step_7.wav,a,377,S3,2203
59.09090909,pretest_discrimination,1,87,iyu_step_2-step_4.wav,g,543,S3,2203
59.5505618,pretest_discrimination,1,88,iyu_step_7-step_7.wav,a,286,S3,2203
58.88888889,pretest_discrimination,0,89,iyu_step_5-step_3.wav,a,389,S3,2203
59.34065934,pretest_discrimination,1,90,iyu_step_1-step_3.wav,g,336,S3,2203
59.7826087,pretest_discrimination,1,91,iyu_step_6-step_6.wav,a,1120,S3,2203
