"accuracy","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"0","pretest_discrimination","0","0","iyu_step_3-step_5.wav","g","2258","1903"
"0","pretest_discrimination","0","1","iyu_step_5-step_7.wav","g","896","1903"
"33.3333333333","pretest_discrimination","1","2","iyu_step_4-step_2.wav","a","759","1903"
"50","pretest_discrimination","1","3","iyu_step_4-step_2.wav","a","481","1903"
"60","pretest_discrimination","1","4","iyu_step_2-step_2.wav","g","249","1903"
"50","pretest_discrimination","0","5","iyu_step_5-step_7.wav","g","866","1903"
"57.1428571429","pretest_discrimination","1","6","iyu_step_5-step_5.wav","g","481","1903"
"62.5","pretest_discrimination","1","7","iyu_step_5-step_7.wav","a","284","1903"
"66.6666666667","pretest_discrimination","1","8","iyu_step_5-step_7.wav","a","132","1903"
"70","pretest_discrimination","1","9","iyu_step_3-step_3.wav","g","537","1903"
"72.7272727273","pretest_discrimination","1","10","iyu_step_3-step_1.wav","a","1011","1903"
"75","pretest_discrimination","1","11","iyu_step_7-step_7.wav","g","246","1903"
"76.9230769231","pretest_discrimination","1","12","iyu_step_6-step_6.wav","g","333","1903"
"71.4285714286","pretest_discrimination","0","13","iyu_step_7-step_5.wav","g","1172","1903"
"73.3333333333","pretest_discrimination","1","14","iyu_step_1-step_1.wav","g","339","1903"
"75","pretest_discrimination","1","15","iyu_step_3-step_3.wav","g","502","1903"
"76.4705882353","pretest_discrimination","1","16","iyu_step_5-step_5.wav","g","688","1903"
"77.7777777778","pretest_discrimination","1","17","iyu_step_3-step_3.wav","g","303","1903"
"73.6842105263","pretest_discrimination","0","18","iyu_step_2-step_2.wav","a","529","1903"
"75","pretest_discrimination","1","19","iyu_step_1-step_3.wav","a","381","1903"
"76.1904761905","pretest_discrimination","1","20","iyu_step_3-step_5.wav","a","474","1903"
"77.2727272727","pretest_discrimination","1","21","iyu_step_3-step_5.wav","a","2539","1903"
"78.2608695652","pretest_discrimination","1","22","iyu_step_4-step_2.wav","a","1362","1903"
"75","pretest_discrimination","0","23","iyu_step_2-step_4.wav","g","634","1903"
"76","pretest_discrimination","1","24","iyu_step_1-step_1.wav","g","259","1903"
"76.9230769231","pretest_discrimination","1","25","iyu_step_2-step_4.wav","a","322","1903"
"74.0740740741","pretest_discrimination","0","26","iyu_step_5-step_3.wav","g","424","1903"
"71.4285714286","pretest_discrimination","0","27","iyu_step_4-step_6.wav","g","254","1903"
"72.4137931034","pretest_discrimination","1","28","iyu_step_5-step_7.wav","a","635","1903"
"73.3333333333","pretest_discrimination","1","29","iyu_step_5-step_7.wav","a","399","1903"
"74.1935483871","pretest_discrimination","1","30","iyu_step_4-step_6.wav","a","340","1903"
"71.875","pretest_discrimination","0","31","iyu_step_6-step_4.wav","g","220","1903"
"72.7272727273","pretest_discrimination","1","32","iyu_step_7-step_7.wav","g","375","1903"
"73.5294117647","pretest_discrimination","1","33","iyu_step_3-step_1.wav","a","654","1903"
"74.2857142857","pretest_discrimination","1","34","iyu_step_2-step_4.wav","a","1062","1903"
"75","pretest_discrimination","1","35","iyu_step_2-step_4.wav","a","1938","1903"
"75.6756756757","pretest_discrimination","1","36","iyu_step_2-step_2.wav","g","256","1903"
"76.3157894737","pretest_discrimination","1","37","iyu_step_1-step_1.wav","g","445","1903"
"76.9230769231","pretest_discrimination","1","38","iyu_step_5-step_5.wav","g","652","1903"
"77.5","pretest_discrimination","1","39","iyu_step_1-step_3.wav","a","456","1903"
"78.0487804878","pretest_discrimination","1","40","iyu_step_4-step_4.wav","g","452","1903"
"76.1904761905","pretest_discrimination","0","41","iyu_step_5-step_3.wav","g","588","1903"
"76.7441860465","pretest_discrimination","1","42","iyu_step_7-step_7.wav","g","331","1903"
"75","pretest_discrimination","0","43","iyu_step_2-step_4.wav","g","1091","1903"
"75.5555555556","pretest_discrimination","1","44","iyu_step_4-step_6.wav","a","311","1903"
"73.9130434783","pretest_discrimination","0","45","iyu_step_1-step_3.wav","g","477","1903"
"74.4680851064","pretest_discrimination","1","46","iyu_step_7-step_7.wav","g","1491","1903"
"75","pretest_discrimination","1","47","iyu_step_6-step_4.wav","a","413","1903"
"75.5102040816","pretest_discrimination","1","48","iyu_step_5-step_5.wav","g","563","1903"
"76","pretest_discrimination","1","49","iyu_step_5-step_5.wav","g","509","1903"
"74.5098039216","pretest_discrimination","0","50","iyu_step_4-step_4.wav","a","2049","1903"
"75","pretest_discrimination","1","51","iyu_step_6-step_6.wav","g","619","1903"
"75.4716981132","pretest_discrimination","1","52","iyu_step_6-step_6.wav","g","233","1903"
"75.9259259259","pretest_discrimination","1","53","iyu_step_3-step_1.wav","a","1284","1903"
"76.3636363636","pretest_discrimination","1","54","iyu_step_4-step_4.wav","g","234","1903"
"76.7857142857","pretest_discrimination","1","55","iyu_step_3-step_5.wav","a","537","1903"
"77.1929824561","pretest_discrimination","1","56","iyu_step_2-step_2.wav","g","224","1903"
"75.8620689655","pretest_discrimination","0","57","iyu_step_1-step_3.wav","g","852","1903"
"76.2711864407","pretest_discrimination","1","58","iyu_step_2-step_4.wav","a","689","1903"
"75","pretest_discrimination","0","59","iyu_step_1-step_3.wav","g","1112","1903"
"75.4098360656","pretest_discrimination","1","60","iyu_step_4-step_4.wav","g","345","1903"
"75.8064516129","pretest_discrimination","1","61","iyu_step_7-step_5.wav","a","808","1903"
"76.1904761905","pretest_discrimination","1","62","iyu_step_4-step_2.wav","a","968","1903"
"76.5625","pretest_discrimination","1","63","iyu_step_6-step_6.wav","g","652","1903"
"76.9230769231","pretest_discrimination","1","64","iyu_step_7-step_7.wav","g","365","1903"
"77.2727272727","pretest_discrimination","1","65","iyu_step_5-step_5.wav","g","274","1903"
"76.1194029851","pretest_discrimination","0","66","iyu_step_1-step_3.wav","g","1007","1903"
"76.4705882353","pretest_discrimination","1","67","iyu_step_7-step_5.wav","a","2357","1903"
"76.8115942029","pretest_discrimination","1","68","iyu_step_6-step_6.wav","g","405","1903"
"77.1428571429","pretest_discrimination","1","69","iyu_step_2-step_4.wav","a","491","1903"
"76.0563380282","pretest_discrimination","0","70","iyu_step_1-step_3.wav","g","564","1903"
"75","pretest_discrimination","0","71","iyu_step_7-step_5.wav","None","6000","1903"
"75.3424657534","pretest_discrimination","1","72","iyu_step_5-step_7.wav","a","583","1903"
"75.6756756757","pretest_discrimination","1","73","iyu_step_7-step_7.wav","g","575","1903"
"74.6666666667","pretest_discrimination","0","74","iyu_step_7-step_5.wav","g","894","1903"
"73.6842105263","pretest_discrimination","0","75","iyu_step_3-step_1.wav","g","514","1903"
"74.025974026","pretest_discrimination","1","76","iyu_step_6-step_6.wav","g","552","1903"
"74.358974359","pretest_discrimination","1","77","iyu_step_1-step_1.wav","g","532","1903"
"74.6835443038","pretest_discrimination","1","78","iyu_step_2-step_2.wav","g","346","1903"
"75","pretest_discrimination","1","79","iyu_step_4-step_4.wav","g","589","1903"
"75.3086419753","pretest_discrimination","1","80","iyu_step_3-step_1.wav","a","185","1903"
"74.3902439024","pretest_discrimination","0","81","iyu_step_7-step_5.wav","g","845","1903"
"73.4939759036","pretest_discrimination","0","82","iyu_step_5-step_3.wav","g","425","1903"
"73.8095238095","pretest_discrimination","1","83","iyu_step_1-step_1.wav","g","206","1903"
"74.1176470588","pretest_discrimination","1","84","iyu_step_3-step_5.wav","a","276","1903"
"74.4186046512","pretest_discrimination","1","85","iyu_step_2-step_2.wav","g","142","1903"
"74.7126436782","pretest_discrimination","1","86","iyu_step_4-step_2.wav","a","305","1903"
"75","pretest_discrimination","1","87","iyu_step_3-step_1.wav","a","380","1903"
"75.2808988764","pretest_discrimination","1","88","iyu_step_4-step_4.wav","g","355","1903"
"75.5555555556","pretest_discrimination","1","89","iyu_step_5-step_5.wav","g","518","1903"
"75.8241758242","pretest_discrimination","1","90","iyu_step_5-step_3.wav","a","402","1903"
"76.0869565217","pretest_discrimination","1","91","iyu_step_3-step_3.wav","g","536","1903"
"75.2688172043","pretest_discrimination","0","92","iyu_step_7-step_5.wav","g","384","1903"
"75.5319148936","pretest_discrimination","1","93","iyu_step_4-step_6.wav","a","669","1903"
"75.7894736842","pretest_discrimination","1","94","iyu_step_4-step_2.wav","a","371","1903"
"75","pretest_discrimination","0","95","iyu_step_1-step_3.wav","g","359","1903"
"74.2268041237","pretest_discrimination","0","96","iyu_step_7-step_5.wav","g","880","1903"
"73.4693877551","pretest_discrimination","0","97","iyu_step_1-step_3.wav","g","383","1903"
"73.7373737374","pretest_discrimination","1","98","iyu_step_3-step_3.wav","g","361","1903"
"74","pretest_discrimination","1","99","iyu_step_7-step_7.wav","g","348","1903"
"74.2574257426","pretest_discrimination","1","100","iyu_step_3-step_1.wav","a","313","1903"
"74.5098039216","pretest_discrimination","1","101","iyu_step_5-step_7.wav","a","260","1903"
"73.786407767","pretest_discrimination","0","102","iyu_step_2-step_4.wav","g","886","1903"
"74.0384615385","pretest_discrimination","1","103","iyu_step_2-step_2.wav","g","566","1903"
"74.2857142857","pretest_discrimination","1","104","iyu_step_4-step_4.wav","g","526","1903"
"74.5283018868","pretest_discrimination","1","105","iyu_step_6-step_4.wav","a","967","1903"
"73.8317757009","pretest_discrimination","0","106","iyu_step_7-step_5.wav","g","314","1903"
"74.0740740741","pretest_discrimination","1","107","iyu_step_3-step_5.wav","a","733","1903"
"74.3119266055","pretest_discrimination","1","108","iyu_step_4-step_6.wav","a","525","1903"
"74.5454545455","pretest_discrimination","1","109","iyu_step_4-step_6.wav","a","1063","1903"
"74.7747747748","pretest_discrimination","1","110","iyu_step_3-step_3.wav","g","404","1903"
"75","pretest_discrimination","1","111","iyu_step_5-step_3.wav","a","406","1903"
"75.2212389381","pretest_discrimination","1","112","iyu_step_3-step_3.wav","g","505","1903"
"75.4385964912","pretest_discrimination","1","113","iyu_step_6-step_4.wav","a","843","1903"
"74.7826086957","pretest_discrimination","0","114","iyu_step_6-step_4.wav","g","224","1903"
"74.1379310345","pretest_discrimination","0","115","iyu_step_1-step_3.wav","g","918","1903"
"74.358974359","pretest_discrimination","1","116","iyu_step_3-step_3.wav","g","400","1903"
"74.5762711864","pretest_discrimination","1","117","iyu_step_4-step_6.wav","a","616","1903"
"74.7899159664","pretest_discrimination","1","118","iyu_step_1-step_3.wav","a","621","1903"
"74.1666666667","pretest_discrimination","0","119","iyu_step_1-step_1.wav","a","1006","1903"
"74.3801652893","pretest_discrimination","1","120","iyu_step_4-step_4.wav","g","520","1903"
"74.5901639344","pretest_discrimination","1","121","iyu_step_3-step_1.wav","a","329","1903"
"74.7967479675","pretest_discrimination","1","122","iyu_step_4-step_6.wav","a","1390","1903"
"74.1935483871","pretest_discrimination","0","123","iyu_step_2-step_2.wav","a","2383","1903"
"74.4","pretest_discrimination","1","124","iyu_step_4-step_2.wav","a","287","1903"
"74.6031746032","pretest_discrimination","1","125","iyu_step_6-step_6.wav","g","518","1903"
"74.8031496063","pretest_discrimination","1","126","iyu_step_3-step_3.wav","g","563","1903"
"75","pretest_discrimination","1","127","iyu_step_4-step_2.wav","a","451","1903"
"75.1937984496","pretest_discrimination","1","128","iyu_step_7-step_7.wav","g","371","1903"
"74.6153846154","pretest_discrimination","0","129","iyu_step_1-step_1.wav","a","1296","1903"
"74.0458015267","pretest_discrimination","0","130","iyu_step_4-step_6.wav","g","544","1903"
"74.2424242424","pretest_discrimination","1","131","iyu_step_3-step_1.wav","a","556","1903"
"74.4360902256","pretest_discrimination","1","132","iyu_step_4-step_4.wav","g","375","1903"
"74.6268656716","pretest_discrimination","1","133","iyu_step_7-step_5.wav","a","1265","1903"
"74.8148148148","pretest_discrimination","1","134","iyu_step_3-step_5.wav","a","673","1903"
"75","pretest_discrimination","1","135","iyu_step_5-step_5.wav","g","358","1903"
"75.1824817518","pretest_discrimination","1","136","iyu_step_4-step_6.wav","a","663","1903"
"75.3623188406","pretest_discrimination","1","137","iyu_step_3-step_1.wav","a","502","1903"
"74.8201438849","pretest_discrimination","0","138","iyu_step_5-step_3.wav","g","300","1903"
"75","pretest_discrimination","1","139","iyu_step_4-step_4.wav","g","296","1903"
"75.1773049645","pretest_discrimination","1","140","iyu_step_6-step_6.wav","g","453","1903"
"74.6478873239","pretest_discrimination","0","141","iyu_step_5-step_7.wav","g","406","1903"
"74.8251748252","pretest_discrimination","1","142","iyu_step_4-step_4.wav","g","366","1903"
"75","pretest_discrimination","1","143","iyu_step_1-step_1.wav","g","528","1903"
"75.1724137931","pretest_discrimination","1","144","iyu_step_3-step_5.wav","a","351","1903"
"75.3424657534","pretest_discrimination","1","145","iyu_step_3-step_5.wav","a","388","1903"
"75.5102040816","pretest_discrimination","1","146","iyu_step_6-step_6.wav","g","283","1903"
"75.6756756757","pretest_discrimination","1","147","iyu_step_4-step_6.wav","a","968","1903"
"75.8389261745","pretest_discrimination","1","148","iyu_step_6-step_4.wav","a","526","1903"
"76","pretest_discrimination","1","149","iyu_step_5-step_3.wav","a","501","1903"
"76.1589403974","pretest_discrimination","1","150","iyu_step_4-step_2.wav","a","341","1903"
"76.3157894737","pretest_discrimination","1","151","iyu_step_6-step_6.wav","g","310","1903"
"75.8169934641","pretest_discrimination","0","152","iyu_step_6-step_4.wav","g","466","1903"
"75.974025974","pretest_discrimination","1","153","iyu_step_5-step_5.wav","g","284","1903"
"76.1290322581","pretest_discrimination","1","154","iyu_step_5-step_7.wav","a","565","1903"
"76.2820512821","pretest_discrimination","1","155","iyu_step_4-step_2.wav","a","537","1903"
"75.7961783439","pretest_discrimination","0","156","iyu_step_7-step_5.wav","g","319","1903"
"75.9493670886","pretest_discrimination","1","157","iyu_step_5-step_7.wav","a","661","1903"
"76.1006289308","pretest_discrimination","1","158","iyu_step_5-step_3.wav","a","611","1903"
