"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step1-step1.wav","g","1203","1","2301"
"100","pretest_discrimination","1","1","i-y-u_step3-step3.wav","g","835","1","2301"
"66.6666666667","pretest_discrimination","0","2","i-y-u_step_2-step_4.wav","g","1088","1","2301"
"50","pretest_discrimination","0","3","i-y-u_step_4-step_6.wav","g","1388","1","2301"
"40","pretest_discrimination","0","4","i-y-u_step_3-step_1.wav","g","2028","1","2301"
"50","pretest_discrimination","1","5","i-y-u_step3-step3.wav","g","2825","1","2301"
"57.1428571429","pretest_discrimination","1","6","i-y-u_step5-step5.wav","g","1783","1","2301"
"62.5","pretest_discrimination","1","7","i-y-u_step3-step3.wav","g","1034","1","2301"
"55.5555555556","pretest_discrimination","0","8","i-y-u_step6-step6.wav","a","792","1","2301"
"50","pretest_discrimination","0","9","i-y-u_step_4-step_2.wav","g","1517","1","2301"
"45.4545454545","pretest_discrimination","0","10","i-y-u_step_2-step_4.wav","g","1614","1","2301"
"41.6666666667","pretest_discrimination","0","11","i-y-u_step_5-step_7.wav","g","1381","1","2301"
"46.1538461538","pretest_discrimination","1","12","i-y-u_step2-step2.wav","g","1442","1","2301"
"50","pretest_discrimination","1","13","i-y-u_step2-step2.wav","g","1104","1","2301"
"46.6666666667","pretest_discrimination","0","14","i-y-u_step_4-step_6.wav","g","889","1","2301"
"50","pretest_discrimination","1","15","i-y-u_step6-step6.wav","g","1176","1","2301"
"47.0588235294","pretest_discrimination","0","16","i-y-u_step_4-step_2.wav","g","962","1","2301"
"44.4444444444","pretest_discrimination","0","17","i-y-u_step_4-step_2.wav","g","691","1","2301"
"47.3684210526","pretest_discrimination","1","18","i-y-u_step1-step1.wav","g","857","1","2301"
"50","pretest_discrimination","1","19","i-y-u_step4-step4.wav","g","914","1","2301"
"52.380952381","pretest_discrimination","1","20","i-y-u_step_4-step_2.wav","a","620","1","2301"
"54.5454545455","pretest_discrimination","1","21","i-y-u_step_6-step_4.wav","a","573","1","2301"
"52.1739130435","pretest_discrimination","0","22","i-y-u_step_1-step_3.wav","g","3355","1","2301"
"54.1666666667","pretest_discrimination","1","23","i-y-u_step6-step6.wav","g","1871","1","2301"
"56","pretest_discrimination","1","24","i-y-u_step5-step5.wav","g","1362","1","2301"
"57.6923076923","pretest_discrimination","1","25","i-y-u_step6-step6.wav","g","1015","1","2301"
"55.5555555556","pretest_discrimination","0","26","i-y-u_step_2-step_4.wav","g","1601","1","2301"
"57.1428571429","pretest_discrimination","1","27","i-y-u_step_3-step_5.wav","a","834","1","2301"
"55.1724137931","pretest_discrimination","0","28","i-y-u_step_3-step_5.wav","g","844","1","2301"
"56.6666666667","pretest_discrimination","1","29","i-y-u_step6-step6.wav","g","2751","1","2301"
"58.064516129","pretest_discrimination","1","30","i-y-u_step3-step3.wav","g","1138","1","2301"
"59.375","pretest_discrimination","1","31","i-y-u_step_5-step_7.wav","a","709","1","2301"
"60.6060606061","pretest_discrimination","1","32","i-y-u_step_1-step_3.wav","a","578","1","2301"
"58.8235294118","pretest_discrimination","0","33","i-y-u_step7-step7.wav","a","448","1","2301"
"57.1428571429","pretest_discrimination","0","34","i-y-u_step_3-step_5.wav","g","863","1","2301"
"58.3333333333","pretest_discrimination","1","35","i-y-u_step5-step5.wav","g","730","1","2301"
"59.4594594595","pretest_discrimination","1","36","i-y-u_step2-step2.wav","g","871","1","2301"
"57.8947368421","pretest_discrimination","0","37","i-y-u_step_5-step_3.wav","g","878","1","2301"
"56.4102564103","pretest_discrimination","0","38","i-y-u_step4-step4.wav","a","771","1","2301"
"57.5","pretest_discrimination","1","39","i-y-u_step_7-step_5.wav","a","524","1","2301"
"58.5365853659","pretest_discrimination","1","40","i-y-u_step_7-step_5.wav","a","455","1","2301"
"59.5238095238","pretest_discrimination","1","41","i-y-u_step_5-step_7.wav","a","1234","1","2301"
"58.1395348837","pretest_discrimination","0","42","i-y-u_step_3-step_5.wav","g","1588","1","2301"
"59.0909090909","pretest_discrimination","1","43","i-y-u_step_5-step_7.wav","a","1031","1","2301"
"57.7777777778","pretest_discrimination","0","44","i-y-u_step_6-step_4.wav","g","2348","1","2301"
"56.5217391304","pretest_discrimination","0","45","i-y-u_step_5-step_3.wav","g","1643","1","2301"
"55.3191489362","pretest_discrimination","0","46","i-y-u_step_3-step_1.wav","g","785","1","2301"
"56.25","pretest_discrimination","1","47","i-y-u_step1-step1.wav","g","710","1","2301"
"57.1428571429","pretest_discrimination","1","48","i-y-u_step4-step4.wav","g","1200","1","2301"
"56","pretest_discrimination","0","49","i-y-u_step_1-step_3.wav","g","3507","1","2301"
"56.862745098","pretest_discrimination","1","50","i-y-u_step3-step3.wav","g","1418","1","2301"
"55.7692307692","pretest_discrimination","0","51","i-y-u_step_3-step_1.wav","g","652","1","2301"
"54.7169811321","pretest_discrimination","0","52","i-y-u_step_4-step_6.wav","g","989","1","2301"
"53.7037037037","pretest_discrimination","0","53","i-y-u_step7-step7.wav","a","461","1","2301"
"52.7272727273","pretest_discrimination","0","54","i-y-u_step6-step6.wav","a","906","1","2301"
"53.5714285714","pretest_discrimination","1","55","i-y-u_step_7-step_5.wav","a","843","1","2301"
"54.3859649123","pretest_discrimination","1","56","i-y-u_step_7-step_5.wav","a","1625","1","2301"
"55.1724137931","pretest_discrimination","1","57","i-y-u_step4-step4.wav","g","1811","1","2301"
"55.9322033898","pretest_discrimination","1","58","i-y-u_step_5-step_3.wav","a","573","1","2301"
"55","pretest_discrimination","0","59","i-y-u_step_5-step_3.wav","g","688","1","2301"
"54.0983606557","pretest_discrimination","0","60","i-y-u_step_5-step_3.wav","g","649","1","2301"
"53.2258064516","pretest_discrimination","0","61","i-y-u_step_4-step_6.wav","g","1689","1","2301"
