"","subject2","block","N","correct_response","sd","se","ci"
"1",1,"training1",60,1,0,0,0
"2",1,"training2",60,1,0,0,0
"3",1,"training3",60,0.933333333333333,0.251548874293232,0.0324748200298303,0.0649819647839387
"4",2,"training1",61,0.918032786885246,0.27659127289276,0.0354138835978572,0.0708383142298602
"5",2,"training2",79,0.835443037974684,0.373149442354017,0.0419825922829797,0.0835809207876865
"6",2,"training3",181,0.674033149171271,0.470035198452112,0.034937441153958,0.0689396357642382
"7",3,"training1",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"8",3,"training2",60,1,0,0,0
"9",3,"training3",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"10",6,"training1",63,0.952380952380952,0.214669395370546,0.0270458016308126,0.0540637871153293
"11",6,"training2",157,0.859872611464968,0.348229932992899,0.0277917742300672,0.0548967444535662
"12",6,"training3",60,0.85,0.360084735790276,0.0464867394979745,0.0930197508778403
"13",8,"training1",61,0.950819672131147,0.218038949746501,0.0279170268293875,0.0558423679639376
"14",8,"training2",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"15",8,"training3",67,0.895522388059702,0.308187681808429,0.0376511178439935,0.0751728822210979
"16",9,"training1",60,1,0,0,0
"17",9,"training2",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"18",9,"training3",60,1,0,0,0
"19",10,"training1",65,0.923076923076923,0.268543077764787,0.0333086693763246,0.0665417165589472
"20",10,"training2",60,1,0,0,0
"21",10,"training3",62,0.935483870967742,0.247675603670653,0.0314548331210218,0.0628978261708751
"22",11,"training1",60,1,0,0,0
"23",11,"training2",62,0.967741935483871,0.178127043949975,0.0226221572038154,0.0452357990882124
"24",11,"training3",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"25",12,"training1",61,0.934426229508197,0.249589827451387,0.0319567027698655,0.0639229229493189
"26",12,"training2",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"27",12,"training3",181,0.580110497237569,0.494909631425864,0.0367863431960187,0.0725879462624723
"28",14,"training1",60,0.95,0.219784177651083,0.0283740153267512,0.0567762735266348
"29",14,"training2",67,0.925373134328358,0.264771647515186,0.0323470050582338,0.06458287935894
"30",14,"training3",60,0.933333333333333,0.251548874293232,0.0324748200298303,0.0649819647839387
"31",15,"training1",61,0.983606557377049,0.128036879932896,0.0163934426229508,0.0327917675740043
"32",15,"training2",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"33",15,"training3",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"34",16,"training1",60,1,0,0,0
"35",16,"training2",60,1,0,0,0
"36",16,"training3",60,1,0,0,0
"37",17,"training1",181,0.762430939226519,0.426774272802772,0.0317218818743192,0.0625945950802411
"38",17,"training2",66,0.803030303030303,0.400756859711797,0.0493297593821203,0.0985183324738886
"39",17,"training3",66,0.893939393939394,0.31027471097464,0.0381921767870499,0.0762750440654266
"40",18,"training1",60,1,0,0,0
"41",18,"training2",60,0.933333333333333,0.251548874293232,0.0324748200298303,0.0649819647839387
"42",18,"training3",61,0.950819672131147,0.218038949746501,0.0279170268293875,0.0558423679639376
"43",20,"training1",61,0.885245901639344,0.321370018085991,0.0411472144197086,0.0823066833856969
"44",20,"training2",63,0.952380952380952,0.214669395370546,0.0270458016308126,0.0540637871153293
"45",20,"training3",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"46",21,"training1",61,0.934426229508197,0.249589827451387,0.0319567027698655,0.0639229229493189
"47",21,"training2",63,0.873015873015873,0.335629571732592,0.0422853514020739,0.0845272130404931
"48",21,"training3",156,0.858974358974359,0.349168929422106,0.0279558880172303,0.0552237014264546
"49",22,"training1",61,0.983606557377049,0.128036879932896,0.0163934426229508,0.0327917675740043
"50",22,"training2",60,1,0,0,0
"51",22,"training3",62,0.983870967741935,0.127000127000191,0.0161290322580645,0.03225199330637
"52",24,"training1",61,1,0,0,0
"53",24,"training2",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"54",24,"training3",181,0.806629834254144,0.396036223083017,0.0294371406319443,0.0580862732380443
"55",25,"training1",66,0.939393939393939,0.24043472671155,0.0295954689941331,0.0591062330448234
"56",25,"training2",60,1,0,0,0
"57",25,"training3",64,0.984375,0.125,0.015625,0.0312240709768866
"58",26,"training1",60,1,0,0,0
"59",26,"training2",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"60",26,"training3",60,0.933333333333333,0.251548874293232,0.0324748200298303,0.0649819647839387
"61",27,"training1",163,0.865030674846626,0.342743784075483,0.0268457650545538,0.0530127560384286
"62",27,"training2",60,0.983333333333333,0.129099444873581,0.0166666666666667,0.0333499229681378
"63",27,"training3",181,0.784530386740331,0.412288229026416,0.0306451427201946,0.0604699401929145
"64",28,"training1",61,1,0,0,0
"65",28,"training2",60,1,0,0,0
"66",28,"training3",60,0.966666666666667,0.181020334719393,0.0233696247231033,0.046762511058587
"67",30,"training1",60,1,0,0,0
"68",30,"training2",60,1,0,0,0
"69",30,"training3",68,0.970588235294118,0.170213933457599,0.0206414713705158,0.0412005492949235
"70",31,"training1",60,1,0,0,0
"71",31,"training2",60,1,0,0,0
"72",31,"training3",60,1,0,0,0
"73",32,"training1",61,0.918032786885246,0.27659127289276,0.0354138835978572,0.0708383142298602
