acc,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
0,pretest_discrimination,0,0,i-y-u_step3-step3.wav,g,1914,3,1103
50,pretest_discrimination,1,1,i-y-u_step_2-step_4.wav,g,479,3,1103
66.66666667,pretest_discrimination,1,2,i-y-u_step1-step1.wav,a,326,3,1103
50,pretest_discrimination,0,3,i-y-u_step_3-step_5.wav,a,1003,3,1103
40,pretest_discrimination,0,4,i-y-u_step_4-step_6.wav,a,329,3,1103
33.33333333,pretest_discrimination,0,5,i-y-u_step_4-step_6.wav,a,472,3,1103
42.85714286,pretest_discrimination,1,6,i-y-u_step4-step4.wav,a,233,3,1103
37.5,pretest_discrimination,0,7,i-y-u_step_7-step_5.wav,a,202,3,1103
44.44444444,pretest_discrimination,1,8,i-y-u_step_3-step_1.wav,g,413,3,1103
50,pretest_discrimination,1,9,i-y-u_step6-step6.wav,a,322,3,1103
54.54545455,pretest_discrimination,1,10,i-y-u_step_5-step_3.wav,g,376,3,1103
58.33333333,pretest_discrimination,1,11,i-y-u_step_5-step_3.wav,g,477,3,1103
61.53846154,pretest_discrimination,1,12,i-y-u_step4-step4.wav,a,498,3,1103
64.28571429,pretest_discrimination,1,13,i-y-u_step_1-step_3.wav,g,243,3,1103
66.66666667,pretest_discrimination,1,14,i-y-u_step_5-step_3.wav,g,471,3,1103
68.75,pretest_discrimination,1,15,i-y-u_step_1-step_3.wav,g,333,3,1103
64.70588235,pretest_discrimination,0,16,i-y-u_step_4-step_6.wav,a,688,3,1103
66.66666667,pretest_discrimination,1,17,i-y-u_step_2-step_4.wav,g,279,3,1103
68.42105263,pretest_discrimination,1,18,i-y-u_step1-step1.wav,a,215,3,1103
70,pretest_discrimination,1,19,i-y-u_step5-step5.wav,a,3088,3,1103
71.42857143,pretest_discrimination,1,20,i-y-u_step7-step7.wav,a,245,3,1103
72.72727273,pretest_discrimination,1,21,i-y-u_step_2-step_4.wav,g,242,3,1103
73.91304348,pretest_discrimination,1,22,i-y-u_step7-step7.wav,a,228,3,1103
70.83333333,pretest_discrimination,0,23,i-y-u_step_4-step_6.wav,a,171,3,1103
72,pretest_discrimination,1,24,i-y-u_step_4-step_2.wav,g,213,3,1103
73.07692308,pretest_discrimination,1,25,i-y-u_step5-step5.wav,a,111,3,1103
70.37037037,pretest_discrimination,0,26,i-y-u_step_7-step_5.wav,a,131,3,1103
71.42857143,pretest_discrimination,1,27,i-y-u_step_4-step_2.wav,g,123,3,1103
72.4137931,pretest_discrimination,1,28,i-y-u_step7-step7.wav,a,83,3,1103
73.33333333,pretest_discrimination,1,29,i-y-u_step_3-step_5.wav,g,97,3,1103
70.96774194,pretest_discrimination,0,30,i-y-u_step_7-step_5.wav,a,58,3,1103
71.875,pretest_discrimination,1,31,i-y-u_step_3-step_5.wav,g,113,3,1103
72.72727273,pretest_discrimination,1,32,i-y-u_step_6-step_4.wav,g,249,3,1103
73.52941176,pretest_discrimination,1,33,i-y-u_step_6-step_4.wav,g,380,3,1103
74.28571429,pretest_discrimination,1,34,i-y-u_step_4-step_2.wav,g,276,3,1103
75,pretest_discrimination,1,35,i-y-u_step_1-step_3.wav,g,216,3,1103
75.67567568,pretest_discrimination,1,36,i-y-u_step6-step6.wav,a,176,3,1103
76.31578947,pretest_discrimination,1,37,i-y-u_step_2-step_4.wav,g,182,3,1103
76.92307692,pretest_discrimination,1,38,i-y-u_step1-step1.wav,a,231,3,1103
77.5,pretest_discrimination,1,39,i-y-u_step_3-step_1.wav,g,790,3,1103
78.04878049,pretest_discrimination,1,40,i-y-u_step_4-step_2.wav,g,311,3,1103
78.57142857,pretest_discrimination,1,41,i-y-u_step_4-step_6.wav,g,598,3,1103
79.06976744,pretest_discrimination,1,42,i-y-u_step_1-step_3.wav,g,217,3,1103
79.54545455,pretest_discrimination,1,43,i-y-u_step5-step5.wav,a,871,3,1103
77.77777778,pretest_discrimination,0,44,i-y-u_step_4-step_6.wav,a,815,3,1103
78.26086957,pretest_discrimination,1,45,i-y-u_step6-step6.wav,a,214,3,1103
78.72340426,pretest_discrimination,1,46,i-y-u_step_3-step_5.wav,g,265,3,1103
79.16666667,pretest_discrimination,1,47,i-y-u_step6-step6.wav,a,508,3,1103
79.59183673,pretest_discrimination,1,48,i-y-u_step6-step6.wav,a,1146,3,1103
80,pretest_discrimination,1,49,i-y-u_step7-step7.wav,a,354,3,1103
78.43137255,pretest_discrimination,0,50,i-y-u_step_5-step_7.wav,a,127,3,1103
78.84615385,pretest_discrimination,1,51,i-y-u_step_6-step_4.wav,g,425,3,1103
79.24528302,pretest_discrimination,1,52,i-y-u_step6-step6.wav,a,235,3,1103
77.77777778,pretest_discrimination,0,53,i-y-u_step_5-step_7.wav,a,185,3,1103
78.18181818,pretest_discrimination,1,54,i-y-u_step_1-step_3.wav,g,197,3,1103
78.57142857,pretest_discrimination,1,55,i-y-u_step3-step3.wav,a,206,3,1103
78.94736842,pretest_discrimination,1,56,i-y-u_step1-step1.wav,a,184,3,1103
79.31034483,pretest_discrimination,1,57,i-y-u_step5-step5.wav,a,134,3,1103
79.66101695,pretest_discrimination,1,58,i-y-u_step_1-step_3.wav,g,141,3,1103
80,pretest_discrimination,1,59,i-y-u_step_4-step_2.wav,g,878,3,1103
80.32786885,pretest_discrimination,1,60,i-y-u_step3-step3.wav,a,253,3,1103
80.64516129,pretest_discrimination,1,61,i-y-u_step2-step2.wav,a,235,3,1103
80.95238095,pretest_discrimination,1,62,i-y-u_step6-step6.wav,a,151,3,1103
81.25,pretest_discrimination,1,63,i-y-u_step5-step5.wav,a,200,3,1103
81.53846154,pretest_discrimination,1,64,i-y-u_step4-step4.wav,a,161,3,1103
81.81818182,pretest_discrimination,1,65,i-y-u_step_3-step_1.wav,g,226,3,1103
82.08955224,pretest_discrimination,1,66,i-y-u_step_1-step_3.wav,g,192,3,1103
80.88235294,pretest_discrimination,0,67,i-y-u_step_5-step_3.wav,a,370,3,1103
81.15942029,pretest_discrimination,1,68,i-y-u_step1-step1.wav,a,220,3,1103
81.42857143,pretest_discrimination,1,69,i-y-u_step_3-step_5.wav,g,257,3,1103
81.69014085,pretest_discrimination,1,70,i-y-u_step4-step4.wav,a,366,3,1103
81.94444444,pretest_discrimination,1,71,i-y-u_step_5-step_7.wav,g,293,3,1103
80.82191781,pretest_discrimination,0,72,i-y-u_step_7-step_5.wav,a,231,3,1103
81.08108108,pretest_discrimination,1,73,i-y-u_step5-step5.wav,a,5167,3,1103
81.33333333,pretest_discrimination,1,74,i-y-u_step5-step5.wav,a,1695,3,1103
81.57894737,pretest_discrimination,1,75,i-y-u_step_6-step_4.wav,g,460,3,1103
81.81818182,pretest_discrimination,1,76,i-y-u_step5-step5.wav,a,980,3,1103
82.05128205,pretest_discrimination,1,77,i-y-u_step7-step7.wav,a,527,3,1103
82.27848101,pretest_discrimination,1,78,i-y-u_step_5-step_3.wav,g,427,3,1103
82.5,pretest_discrimination,1,79,i-y-u_step2-step2.wav,a,425,3,1103
82.71604938,pretest_discrimination,1,80,i-y-u_step_3-step_1.wav,g,384,3,1103
81.70731707,pretest_discrimination,0,81,i-y-u_step_6-step_4.wav,a,1253,3,1103
81.92771084,pretest_discrimination,1,82,i-y-u_step5-step5.wav,a,653,3,1103
82.14285714,pretest_discrimination,1,83,i-y-u_step3-step3.wav,a,250,3,1103
82.35294118,pretest_discrimination,1,84,i-y-u_step_3-step_1.wav,g,279,3,1103
81.39534884,pretest_discrimination,0,85,i-y-u_step_5-step_3.wav,a,418,3,1103
81.6091954,pretest_discrimination,1,86,i-y-u_step_4-step_6.wav,g,388,3,1103
81.81818182,pretest_discrimination,1,87,i-y-u_step_2-step_4.wav,g,231,3,1103
82.02247191,pretest_discrimination,1,88,i-y-u_step4-step4.wav,a,551,3,1103
81.11111111,pretest_discrimination,0,89,i-y-u_step_7-step_5.wav,a,209,3,1103
80.21978022,pretest_discrimination,0,90,i-y-u_step_5-step_3.wav,a,229,3,1103
80.43478261,pretest_discrimination,1,91,i-y-u_step_3-step_5.wav,g,231,3,1103
80.64516129,pretest_discrimination,1,92,i-y-u_step_4-step_2.wav,g,275,3,1103
80.85106383,pretest_discrimination,1,93,i-y-u_step_2-step_4.wav,g,164,3,1103
81.05263158,pretest_discrimination,1,94,i-y-u_step_3-step_5.wav,g,180,3,1103
81.25,pretest_discrimination,1,95,i-y-u_step2-step2.wav,a,146,3,1103
81.44329897,pretest_discrimination,1,96,i-y-u_step2-step2.wav,a,280,3,1103
81.63265306,pretest_discrimination,1,97,i-y-u_step4-step4.wav,a,247,3,1103
81.81818182,pretest_discrimination,1,98,i-y-u_step_5-step_7.wav,g,337,3,1103
82,pretest_discrimination,1,99,i-y-u_step_1-step_3.wav,g,156,3,1103
82.17821782,pretest_discrimination,1,100,i-y-u_step5-step5.wav,a,133,3,1103
82.35294118,pretest_discrimination,1,101,i-y-u_step_2-step_4.wav,g,147,3,1103
82.52427184,pretest_discrimination,1,102,i-y-u_step2-step2.wav,a,100,3,1103
82.69230769,pretest_discrimination,1,103,i-y-u_step_6-step_4.wav,g,437,3,1103
82.85714286,pretest_discrimination,1,104,i-y-u_step5-step5.wav,a,145,3,1103
83.01886792,pretest_discrimination,1,105,i-y-u_step_1-step_3.wav,g,182,3,1103
82.24299065,pretest_discrimination,0,106,i-y-u_step_5-step_7.wav,a,192,3,1103
82.40740741,pretest_discrimination,1,107,i-y-u_step7-step7.wav,a,141,3,1103
82.56880734,pretest_discrimination,1,108,i-y-u_step_3-step_5.wav,g,212,3,1103
82.72727273,pretest_discrimination,1,109,i-y-u_step3-step3.wav,a,232,3,1103
82.88288288,pretest_discrimination,1,110,i-y-u_step6-step6.wav,a,691,3,1103
83.03571429,pretest_discrimination,1,111,i-y-u_step_6-step_4.wav,g,852,3,1103
83.18584071,pretest_discrimination,1,112,i-y-u_step_4-step_6.wav,g,333,3,1103
83.33333333,pretest_discrimination,1,113,i-y-u_step_1-step_3.wav,g,279,3,1103
83.47826087,pretest_discrimination,1,114,i-y-u_step7-step7.wav,a,303,3,1103
83.62068966,pretest_discrimination,1,115,i-y-u_step1-step1.wav,a,218,3,1103
82.90598291,pretest_discrimination,0,116,i-y-u_step_5-step_3.wav,a,820,3,1103
83.05084746,pretest_discrimination,1,117,i-y-u_step_1-step_3.wav,g,400,3,1103
83.19327731,pretest_discrimination,1,118,i-y-u_step_5-step_3.wav,g,401,3,1103
83.33333333,pretest_discrimination,1,119,i-y-u_step_3-step_1.wav,g,312,3,1103
83.47107438,pretest_discrimination,1,120,i-y-u_step6-step6.wav,a,369,3,1103
83.60655738,pretest_discrimination,1,121,i-y-u_step_3-step_5.wav,g,368,3,1103
83.7398374,pretest_discrimination,1,122,i-y-u_step7-step7.wav,a,224,3,1103
83.87096774,pretest_discrimination,1,123,i-y-u_step4-step4.wav,a,243,3,1103
84,pretest_discrimination,1,124,i-y-u_step3-step3.wav,a,196,3,1103
84.12698413,pretest_discrimination,1,125,i-y-u_step6-step6.wav,a,197,3,1103
84.2519685,pretest_discrimination,1,126,i-y-u_step_4-step_2.wav,g,316,3,1103
83.59375,pretest_discrimination,0,127,i-y-u_step_7-step_5.wav,a,253,3,1103
83.72093023,pretest_discrimination,1,128,i-y-u_step3-step3.wav,a,171,3,1103
83.07692308,pretest_discrimination,0,129,i-y-u_step_6-step_4.wav,a,499,3,1103
83.20610687,pretest_discrimination,1,130,i-y-u_step_4-step_2.wav,g,228,3,1103
83.33333333,pretest_discrimination,1,131,i-y-u_step7-step7.wav,a,290,3,1103
82.70676692,pretest_discrimination,0,132,i-y-u_step_5-step_7.wav,a,207,3,1103
82.8358209,pretest_discrimination,1,133,i-y-u_step2-step2.wav,a,238,3,1103
82.22222222,pretest_discrimination,0,134,i-y-u_step_6-step_4.wav,a,167,3,1103
82.35294118,pretest_discrimination,1,135,i-y-u_step1-step1.wav,a,93,3,1103
82.48175182,pretest_discrimination,1,136,i-y-u_step_3-step_1.wav,g,199,3,1103
82.60869565,pretest_discrimination,1,137,i-y-u_step_5-step_3.wav,g,611,3,1103
82.73381295,pretest_discrimination,1,138,i-y-u_step2-step2.wav,a,139,3,1103
82.85714286,pretest_discrimination,1,139,i-y-u_step4-step4.wav,a,149,3,1103
82.26950355,pretest_discrimination,0,140,i-y-u_step_4-step_6.wav,a,103,3,1103
82.3943662,pretest_discrimination,1,141,i-y-u_step1-step1.wav,a,186,3,1103
82.51748252,pretest_discrimination,1,142,i-y-u_step2-step2.wav,a,223,3,1103
82.63888889,pretest_discrimination,1,143,i-y-u_step_5-step_7.wav,g,168,3,1103
82.06896552,pretest_discrimination,0,144,i-y-u_step_7-step_5.wav,a,170,3,1103
82.19178082,pretest_discrimination,1,145,i-y-u_step1-step1.wav,a,238,3,1103
82.31292517,pretest_discrimination,1,146,i-y-u_step_5-step_7.wav,g,275,3,1103
82.43243243,pretest_discrimination,1,147,i-y-u_step_3-step_1.wav,g,260,3,1103
82.55033557,pretest_discrimination,1,148,i-y-u_step7-step7.wav,a,222,3,1103
82.66666667,pretest_discrimination,1,149,i-y-u_step3-step3.wav,a,281,3,1103
82.78145695,pretest_discrimination,1,150,i-y-u_step1-step1.wav,a,236,3,1103
82.89473684,pretest_discrimination,1,151,i-y-u_step_5-step_3.wav,g,672,3,1103
82.35294118,pretest_discrimination,0,152,i-y-u_step_7-step_5.wav,a,192,3,1103
82.46753247,pretest_discrimination,1,153,i-y-u_step_3-step_5.wav,g,197,3,1103
82.58064516,pretest_discrimination,1,154,i-y-u_step3-step3.wav,a,288,3,1103
82.69230769,pretest_discrimination,1,155,i-y-u_step_2-step_4.wav,g,221,3,1103
82.80254777,pretest_discrimination,1,156,i-y-u_step2-step2.wav,a,177,3,1103
82.91139241,pretest_discrimination,1,157,i-y-u_step_4-step_2.wav,g,497,3,1103
82.38993711,pretest_discrimination,0,158,i-y-u_step_5-step_7.wav,a,391,3,1103
82.5,pretest_discrimination,1,159,i-y-u_step_4-step_2.wav,g,270,3,1103
82.60869565,pretest_discrimination,1,160,i-y-u_step1-step1.wav,a,468,3,1103
82.09876543,pretest_discrimination,0,161,i-y-u_step_3-step_1.wav,a,368,3,1103
82.20858896,pretest_discrimination,1,162,i-y-u_step6-step6.wav,a,554,3,1103
82.31707317,pretest_discrimination,1,163,i-y-u_step4-step4.wav,a,237,3,1103
