"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step3-step3.wav","g","2260","1","301"
"50","pretest_discrimination","0","1","i-y-u_step_3-step_1.wav","g","1720","1","301"
"33.3333333333","pretest_discrimination","0","2","i-y-u_step_6-step_4.wav","g","1804","1","301"
"25","pretest_discrimination","0","3","i-y-u_step_3-step_5.wav","g","4182","1","301"
"40","pretest_discrimination","1","4","i-y-u_step_5-step_7.wav","a","1723","1","301"
"50","pretest_discrimination","1","5","i-y-u_step_3-step_5.wav","a","1447","1","301"
"42.8571428571","pretest_discrimination","0","6","i-y-u_step_6-step_4.wav","g","1281","1","301"
"37.5","pretest_discrimination","0","7","i-y-u_step_5-step_3.wav","g","3877","1","301"
"44.4444444444","pretest_discrimination","1","8","i-y-u_step7-step7.wav","g","1396","1","301"
"40","pretest_discrimination","0","9","i-y-u_step_3-step_5.wav","g","2558","1","301"
"45.4545454545","pretest_discrimination","1","10","i-y-u_step_5-step_7.wav","a","1252","1","301"
"41.6666666667","pretest_discrimination","0","11","i-y-u_step_3-step_1.wav","g","1198","1","301"
"38.4615384615","pretest_discrimination","0","12","i-y-u_step_4-step_2.wav","g","1501","1","301"
"42.8571428571","pretest_discrimination","1","13","i-y-u_step3-step3.wav","g","1608","1","301"
"46.6666666667","pretest_discrimination","1","14","i-y-u_step_3-step_5.wav","a","1082","1","301"
"50","pretest_discrimination","1","15","i-y-u_step_6-step_4.wav","a","764","1","301"
"52.9411764706","pretest_discrimination","1","16","i-y-u_step_4-step_6.wav","a","1076","1","301"
"50","pretest_discrimination","0","17","i-y-u_step5-step5.wav","a","817","1","301"
"52.6315789474","pretest_discrimination","1","18","i-y-u_step3-step3.wav","g","1324","1","301"
"55","pretest_discrimination","1","19","i-y-u_step3-step3.wav","g","1092","1","301"
"57.1428571429","pretest_discrimination","1","20","i-y-u_step2-step2.wav","g","941","1","301"
"54.5454545455","pretest_discrimination","0","21","i-y-u_step_5-step_7.wav","g","2537","1","301"
"56.5217391304","pretest_discrimination","1","22","i-y-u_step_3-step_1.wav","a","1540","1","301"
"54.1666666667","pretest_discrimination","0","23","i-y-u_step4-step4.wav","a","1990","1","301"
"56","pretest_discrimination","1","24","i-y-u_step2-step2.wav","g","910","1","301"
"57.6923076923","pretest_discrimination","1","25","i-y-u_step_2-step_4.wav","a","1082","1","301"
"59.2592592593","pretest_discrimination","1","26","i-y-u_step6-step6.wav","g","963","1","301"
"57.1428571429","pretest_discrimination","0","27","i-y-u_step_6-step_4.wav","g","1344","1","301"
"58.6206896552","pretest_discrimination","1","28","i-y-u_step_6-step_4.wav","a","1587","1","301"
"60","pretest_discrimination","1","29","i-y-u_step_2-step_4.wav","a","1123","1","301"
"58.064516129","pretest_discrimination","0","30","i-y-u_step_3-step_1.wav","g","1914","1","301"
"59.375","pretest_discrimination","1","31","i-y-u_step1-step1.wav","g","939","1","301"
"60.6060606061","pretest_discrimination","1","32","i-y-u_step_3-step_1.wav","a","990","1","301"
"61.7647058824","pretest_discrimination","1","33","i-y-u_step7-step7.wav","g","922","1","301"
"62.8571428571","pretest_discrimination","1","34","i-y-u_step_2-step_4.wav","a","962","1","301"
"63.8888888889","pretest_discrimination","1","35","i-y-u_step1-step1.wav","g","1255","1","301"
"64.8648648649","pretest_discrimination","1","36","i-y-u_step_6-step_4.wav","a","1173","1","301"
"63.1578947368","pretest_discrimination","0","37","i-y-u_step_4-step_6.wav","g","1944","1","301"
"64.1025641026","pretest_discrimination","1","38","i-y-u_step2-step2.wav","g","943","1","301"
"62.5","pretest_discrimination","0","39","i-y-u_step_3-step_5.wav","g","1177","1","301"
"63.4146341463","pretest_discrimination","1","40","i-y-u_step3-step3.wav","g","1039","1","301"
"61.9047619048","pretest_discrimination","0","41","i-y-u_step_3-step_5.wav","g","1421","1","301"
"62.7906976744","pretest_discrimination","1","42","i-y-u_step7-step7.wav","g","1097","1","301"
"61.3636363636","pretest_discrimination","0","43","i-y-u_step_4-step_2.wav","g","1065","1","301"
"60","pretest_discrimination","0","44","i-y-u_step_7-step_5.wav","g","782","1","301"
"60.8695652174","pretest_discrimination","1","45","i-y-u_step3-step3.wav","g","1054","1","301"
"61.7021276596","pretest_discrimination","1","46","i-y-u_step4-step4.wav","g","1049","1","301"
"62.5","pretest_discrimination","1","47","i-y-u_step_7-step_5.wav","a","951","1","301"
"63.2653061224","pretest_discrimination","1","48","i-y-u_step_6-step_4.wav","a","1061","1","301"
"62","pretest_discrimination","0","49","i-y-u_step_5-step_7.wav","g","1230","1","301"
"62.7450980392","pretest_discrimination","1","50","i-y-u_step6-step6.wav","g","832","1","301"
"63.4615384615","pretest_discrimination","1","51","i-y-u_step_6-step_4.wav","a","1399","1","301"
"64.1509433962","pretest_discrimination","1","52","i-y-u_step_5-step_3.wav","a","1024","1","301"
"64.8148148148","pretest_discrimination","1","53","i-y-u_step_2-step_4.wav","a","1180","1","301"
"63.6363636364","pretest_discrimination","0","54","i-y-u_step_3-step_1.wav","g","968","1","301"
"64.2857142857","pretest_discrimination","1","55","i-y-u_step5-step5.wav","g","1359","1","301"
"64.9122807018","pretest_discrimination","1","56","i-y-u_step_4-step_2.wav","a","1307","1","301"
"63.7931034483","pretest_discrimination","0","57","i-y-u_step_5-step_3.wav","g","2015","1","301"
"64.406779661","pretest_discrimination","1","58","i-y-u_step_5-step_3.wav","a","820","1","301"
"65","pretest_discrimination","1","59","i-y-u_step_5-step_7.wav","a","1522","1","301"
"65.5737704918","pretest_discrimination","1","60","i-y-u_step_7-step_5.wav","a","1145","1","301"
"64.5161290323","pretest_discrimination","0","61","i-y-u_step_1-step_3.wav","g","1307","1","301"
"65.0793650794","pretest_discrimination","1","62","i-y-u_step_1-step_3.wav","a","923","1","301"
"65.625","pretest_discrimination","1","63","i-y-u_step2-step2.wav","g","786","1","301"
"64.6153846154","pretest_discrimination","0","64","i-y-u_step_5-step_3.wav","g","1338","1","301"
"65.1515151515","pretest_discrimination","1","65","i-y-u_step6-step6.wav","g","861","1","301"
"65.671641791","pretest_discrimination","1","66","i-y-u_step4-step4.wav","g","1118","1","301"
"66.1764705882","pretest_discrimination","1","67","i-y-u_step4-step4.wav","g","1450","1","301"
"66.6666666667","pretest_discrimination","1","68","i-y-u_step1-step1.wav","g","874","1","301"
"67.1428571429","pretest_discrimination","1","69","i-y-u_step2-step2.wav","g","973","1","301"
"66.1971830986","pretest_discrimination","0","70","i-y-u_step_5-step_7.wav","g","884","1","301"
"66.6666666667","pretest_discrimination","1","71","i-y-u_step7-step7.wav","g","1293","1","301"
"67.1232876712","pretest_discrimination","1","72","i-y-u_step2-step2.wav","g","782","1","301"
"66.2162162162","pretest_discrimination","0","73","i-y-u_step_4-step_6.wav","g","859","1","301"
"65.3333333333","pretest_discrimination","0","74","i-y-u_step_1-step_3.wav","g","870","1","301"
"65.7894736842","pretest_discrimination","1","75","i-y-u_step5-step5.wav","g","720","1","301"
"66.2337662338","pretest_discrimination","1","76","i-y-u_step_7-step_5.wav","a","697","1","301"
"66.6666666667","pretest_discrimination","1","77","i-y-u_step_1-step_3.wav","a","805","1","301"
"67.0886075949","pretest_discrimination","1","78","i-y-u_step7-step7.wav","g","842","1","301"
"67.5","pretest_discrimination","1","79","i-y-u_step1-step1.wav","g","661","1","301"
"66.6666666667","pretest_discrimination","0","80","i-y-u_step6-step6.wav","None","6000","1","301"
"65.8536585366","pretest_discrimination","0","81","i-y-u_step_4-step_6.wav","g","786","1","301"
"66.265060241","pretest_discrimination","1","82","i-y-u_step3-step3.wav","g","888","1","301"
"66.6666666667","pretest_discrimination","1","83","i-y-u_step_4-step_2.wav","a","1023","1","301"
"67.0588235294","pretest_discrimination","1","84","i-y-u_step_5-step_3.wav","a","1543","1","301"
"67.4418604651","pretest_discrimination","1","85","i-y-u_step2-step2.wav","g","651","1","301"
"67.816091954","pretest_discrimination","1","86","i-y-u_step_3-step_1.wav","a","828","1","301"
"67.0454545455","pretest_discrimination","0","87","i-y-u_step_7-step_5.wav","g","1404","1","301"
"66.2921348315","pretest_discrimination","0","88","i-y-u_step_7-step_5.wav","g","876","1","301"
"65.5555555556","pretest_discrimination","0","89","i-y-u_step_2-step_4.wav","g","1001","1","301"
"65.9340659341","pretest_discrimination","1","90","i-y-u_step_6-step_4.wav","a","717","1","301"
"66.3043478261","pretest_discrimination","1","91","i-y-u_step1-step1.wav","g","951","1","301"
"66.6666666667","pretest_discrimination","1","92","i-y-u_step5-step5.wav","g","1167","1","301"
"67.0212765957","pretest_discrimination","1","93","i-y-u_step_4-step_2.wav","a","3338","1","301"
"66.3157894737","pretest_discrimination","0","94","i-y-u_step4-step4.wav","a","1047","1","301"
"66.6666666667","pretest_discrimination","1","95","i-y-u_step_7-step_5.wav","a","3868","1","301"
"67.0103092784","pretest_discrimination","1","96","i-y-u_step_3-step_1.wav","a","1366","1","301"
"67.3469387755","pretest_discrimination","1","97","i-y-u_step_3-step_5.wav","a","909","1","301"
"67.6767676768","pretest_discrimination","1","98","i-y-u_step1-step1.wav","g","767","1","301"
"68","pretest_discrimination","1","99","i-y-u_step5-step5.wav","g","1770","1","301"
"68.3168316832","pretest_discrimination","1","100","i-y-u_step_5-step_3.wav","a","1081","1","301"
"68.6274509804","pretest_discrimination","1","101","i-y-u_step_7-step_5.wav","a","1150","1","301"
"67.9611650485","pretest_discrimination","0","102","i-y-u_step_5-step_7.wav","g","614","1","301"
"68.2692307692","pretest_discrimination","1","103","i-y-u_step6-step6.wav","g","736","1","301"
"68.5714285714","pretest_discrimination","1","104","i-y-u_step_4-step_6.wav","a","633","1","301"
"68.8679245283","pretest_discrimination","1","105","i-y-u_step_5-step_3.wav","a","746","1","301"
"69.1588785047","pretest_discrimination","1","106","i-y-u_step7-step7.wav","g","795","1","301"
"69.4444444444","pretest_discrimination","1","107","i-y-u_step5-step5.wav","g","581","1","301"
"69.7247706422","pretest_discrimination","1","108","i-y-u_step7-step7.wav","g","505","1","301"
"69.0909090909","pretest_discrimination","0","109","i-y-u_step_3-step_1.wav","g","539","1","301"
"68.4684684685","pretest_discrimination","0","110","i-y-u_step6-step6.wav","a","954","1","301"
"68.75","pretest_discrimination","1","111","i-y-u_step4-step4.wav","g","553","1","301"
"69.0265486726","pretest_discrimination","1","112","i-y-u_step_5-step_3.wav","a","503","1","301"
"69.298245614","pretest_discrimination","1","113","i-y-u_step_2-step_4.wav","a","466","1","301"
"69.5652173913","pretest_discrimination","1","114","i-y-u_step1-step1.wav","g","356","1","301"
"69.8275862069","pretest_discrimination","1","115","i-y-u_step5-step5.wav","g","846","1","301"
"70.0854700855","pretest_discrimination","1","116","i-y-u_step6-step6.wav","g","388","1","301"
"70.3389830508","pretest_discrimination","1","117","i-y-u_step_4-step_6.wav","a","880","1","301"
"70.5882352941","pretest_discrimination","1","118","i-y-u_step5-step5.wav","g","316","1","301"
"70","pretest_discrimination","0","119","i-y-u_step_1-step_3.wav","g","707","1","301"
"70.2479338843","pretest_discrimination","1","120","i-y-u_step_1-step_3.wav","a","612","1","301"
"70.4918032787","pretest_discrimination","1","121","i-y-u_step4-step4.wav","g","922","1","301"
"70.7317073171","pretest_discrimination","1","122","i-y-u_step1-step1.wav","g","408","1","301"
"70.1612903226","pretest_discrimination","0","123","i-y-u_step_7-step_5.wav","g","442","1","301"
"70.4","pretest_discrimination","1","124","i-y-u_step_1-step_3.wav","a","597","1","301"
"70.6349206349","pretest_discrimination","1","125","i-y-u_step_3-step_5.wav","a","1194","1","301"
"70.8661417323","pretest_discrimination","1","126","i-y-u_step4-step4.wav","g","581","1","301"
"71.09375","pretest_discrimination","1","127","i-y-u_step_1-step_3.wav","a","4615","1","301"
"70.5426356589","pretest_discrimination","0","128","i-y-u_step_5-step_3.wav","None","6000","1","301"
"70","pretest_discrimination","0","129","i-y-u_step_4-step_6.wav","g","2354","1","301"
"70.2290076336","pretest_discrimination","1","130","i-y-u_step3-step3.wav","g","562","1","301"
"70.4545454545","pretest_discrimination","1","131","i-y-u_step1-step1.wav","g","919","1","301"
"70.6766917293","pretest_discrimination","1","132","i-y-u_step5-step5.wav","g","864","1","301"
