"acc","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"0","training_vowel","0","0","vowelstep7.wav","a","728","804"
"0","training_vowel","0","1","vowelstep3.wav","g","550","804"
"0","training_vowel","0","2","vowelstep7.wav","a","730","804"
"25","training_vowel","1","3","vowelstep5.wav","g","5966","804"
"20","training_vowel","0","4","vowelstep3.wav","g","246","804"
"16.6666666667","training_vowel","0","5","vowelstep3.wav","g","679","804"
"14.2857142857","training_vowel","0","6","vowelstep5.wav","a","532","804"
"12.5","training_vowel","0","7","vowelstep1.wav","g","513","804"
"22.2222222222","training_vowel","1","8","vowelstep1.wav","a","2747","804"
"30","training_vowel","1","9","vowelstep7.wav","g","484","804"
"36.3636363636","training_vowel","1","10","vowelstep1.wav","a","235","804"
"41.6666666667","training_vowel","1","11","vowelstep3.wav","a","284","804"
"46.1538461538","training_vowel","1","12","vowelstep3.wav","a","553","804"
"50","training_vowel","1","13","vowelstep1.wav","a","224","804"
"53.3333333333","training_vowel","1","14","vowelstep5.wav","g","182","804"
"56.25","training_vowel","1","15","vowelstep3.wav","a","414","804"
"58.8235294118","training_vowel","1","16","vowelstep5.wav","g","413","804"
"55.5555555556","training_vowel","0","17","vowelstep3.wav","g","490","804"
"57.8947368421","training_vowel","1","18","vowelstep1.wav","a","914","804"
"60","training_vowel","1","19","vowelstep1.wav","a","331","804"
"61.9047619048","training_vowel","1","20","vowelstep1.wav","a","278","804"
"63.6363636364","training_vowel","1","21","vowelstep7.wav","g","159","804"
"65.2173913043","training_vowel","1","22","vowelstep3.wav","a","156","804"
"66.6666666667","training_vowel","1","23","vowelstep3.wav","a","64","804"
"68","training_vowel","1","24","vowelstep3.wav","a","595","804"
"69.2307692308","training_vowel","1","25","vowelstep5.wav","g","384","804"
"70.3703703704","training_vowel","1","26","vowelstep3.wav","a","67","804"
"71.4285714286","training_vowel","1","27","vowelstep5.wav","g","534","804"
"72.4137931034","training_vowel","1","28","vowelstep3.wav","a","107","804"
"73.3333333333","training_vowel","1","29","vowelstep3.wav","a","40","804"
"70.9677419355","training_vowel","0","30","vowelstep5.wav","a","217","804"
"71.875","training_vowel","1","31","vowelstep1.wav","a","178","804"
"72.7272727273","training_vowel","1","32","vowelstep1.wav","a","293","804"
"73.5294117647","training_vowel","1","33","vowelstep7.wav","g","146","804"
"74.2857142857","training_vowel","1","34","vowelstep7.wav","g","71","804"
"75","training_vowel","1","35","vowelstep3.wav","a","70","804"
"75.6756756757","training_vowel","1","36","vowelstep7.wav","g","48","804"
"76.3157894737","training_vowel","1","37","vowelstep1.wav","a","62","804"
"76.9230769231","training_vowel","1","38","vowelstep3.wav","a","103","804"
"77.5","training_vowel","1","39","vowelstep5.wav","g","150","804"
"78.0487804878","training_vowel","1","40","vowelstep3.wav","a","178","804"
"78.5714285714","training_vowel","1","41","vowelstep7.wav","g","57","804"
"79.0697674419","training_vowel","1","42","vowelstep1.wav","a","729","804"
"79.5454545455","training_vowel","1","43","vowelstep5.wav","g","156","804"
"80","training_vowel","1","44","vowelstep7.wav","g","578","804"
"80.4347826087","training_vowel","1","45","vowelstep1.wav","a","165","804"
"80.8510638298","training_vowel","1","46","vowelstep1.wav","a","160","804"
"81.25","training_vowel","1","47","vowelstep5.wav","g","99","804"
"81.6326530612","training_vowel","1","48","vowelstep5.wav","g","219","804"
"82","training_vowel","1","49","vowelstep7.wav","g","795","804"
"82.3529411765","training_vowel","1","50","vowelstep3.wav","a","228","804"
"82.6923076923","training_vowel","1","51","vowelstep7.wav","g","322","804"
"83.0188679245","training_vowel","1","52","vowelstep7.wav","g","197","804"
"83.3333333333","training_vowel","1","53","vowelstep7.wav","g","141","804"
"83.6363636364","training_vowel","1","54","vowelstep7.wav","g","79","804"
"83.9285714286","training_vowel","1","55","vowelstep7.wav","g","7","804"
"84.2105263158","training_vowel","1","56","vowelstep1.wav","a","51","804"
"84.4827586207","training_vowel","1","57","vowelstep1.wav","a","544","804"
"84.7457627119","training_vowel","1","58","vowelstep1.wav","a","91","804"
"85","training_vowel","1","59","vowelstep1.wav","a","44","804"
"85.2459016393","training_vowel","1","60","vowelstep5.wav","g","642","804"
"85.4838709677","training_vowel","1","61","vowelstep5.wav","g","43","804"
"85.7142857143","training_vowel","1","62","vowelstep7.wav","g","447","804"
