accuracy,block,correct_response,count_logger,fname,response_response,session_number,response_time_response,subject_nr
0,pretest_discrimination,0,0,iyu_step_6-step_4.wav,g,S3,2010,103
50,pretest_discrimination,1,1,iyu_step_2-step_4.wav,a,S3,1014,103
33.33333333,pretest_discrimination,0,2,iyu_step_5-step_5.wav,g,S3,645,103
50,pretest_discrimination,1,3,iyu_step_3-step_3.wav,g,S3,1471,103
60,pretest_discrimination,1,4,iyu_step_1-step_1.wav,g,S3,605,103
50,pretest_discrimination,0,5,iyu_step_5-step_5.wav,g,S3,681,103
42.85714286,pretest_discrimination,0,6,iyu_step_1-step_3.wav,g,S3,706,103
50,pretest_discrimination,1,7,iyu_step_3-step_5.wav,a,S3,457,103
44.44444444,pretest_discrimination,0,8,iyu_step_5-step_5.wav,g,S3,872,103
50,pretest_discrimination,1,9,iyu_step_4-step_6.wav,a,S3,512,103
54.54545455,pretest_discrimination,1,10,iyu_step_3-step_1.wav,a,S3,671,103
58.33333333,pretest_discrimination,1,11,iyu_step_3-step_5.wav,a,S3,772,103
61.53846154,pretest_discrimination,1,12,iyu_step_1-step_1.wav,g,S3,488,103
64.28571429,pretest_discrimination,1,13,iyu_step_2-step_4.wav,a,S3,376,103
66.66666667,pretest_discrimination,1,14,iyu_step_6-step_4.wav,a,S3,825,103
68.75,pretest_discrimination,1,15,iyu_step_7-step_5.wav,a,S3,656,103
70.58823529,pretest_discrimination,1,16,iyu_step_3-step_1.wav,a,S3,1773,103
66.66666667,pretest_discrimination,0,17,iyu_step_6-step_4.wav,g,S3,1021,103
68.42105263,pretest_discrimination,1,18,iyu_step_7-step_7.wav,g,S3,609,103
65,pretest_discrimination,0,19,iyu_step_3-step_1.wav,g,S3,618,103
61.9047619,pretest_discrimination,0,20,iyu_step_5-step_5.wav,a,S3,297,103
63.63636364,pretest_discrimination,1,21,iyu_step_3-step_5.wav,a,S3,826,103
65.2173913,pretest_discrimination,1,22,iyu_step_3-step_3.wav,g,S3,452,103
66.66666667,pretest_discrimination,1,23,iyu_step_7-step_7.wav,g,S3,381,103
64,pretest_discrimination,0,24,iyu_step_5-step_3.wav,g,S3,1035,103
65.38461538,pretest_discrimination,1,25,iyu_step_4-step_4.wav,g,S3,540,103
