accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
0,pretest_discrimination,0,0,iyu_step_4-step_6.wav,g,851,S3,2103
50,pretest_discrimination,1,1,iyu_step_2-step_2.wav,g,173,S3,2103
66.66666667,pretest_discrimination,1,2,iyu_step_4-step_6.wav,a,293,S3,2103
50,pretest_discrimination,0,3,iyu_step_2-step_4.wav,g,397,S3,2103
60,pretest_discrimination,1,4,iyu_step_3-step_3.wav,g,165,S3,2103
66.66666667,pretest_discrimination,1,5,iyu_step_2-step_4.wav,a,262,S3,2103
71.42857143,pretest_discrimination,1,6,iyu_step_3-step_5.wav,a,462,S3,2103
75,pretest_discrimination,1,7,iyu_step_2-step_4.wav,a,463,S3,2103
77.77777778,pretest_discrimination,1,8,iyu_step_5-step_3.wav,a,253,S3,2103
70,pretest_discrimination,0,9,iyu_step_2-step_4.wav,g,236,S3,2103
72.72727273,pretest_discrimination,1,10,iyu_step_3-step_1.wav,a,302,S3,2103
75,pretest_discrimination,1,11,iyu_step_6-step_4.wav,a,204,S3,2103
76.92307692,pretest_discrimination,1,12,iyu_step_7-step_5.wav,a,160,S3,2103
78.57142857,pretest_discrimination,1,13,iyu_step_5-step_7.wav,a,631,S3,2103
80,pretest_discrimination,1,14,iyu_step_5-step_7.wav,a,174,S3,2103
75,pretest_discrimination,0,15,iyu_step_7-step_7.wav,a,171,S3,2103
70.58823529,pretest_discrimination,0,16,iyu_step_3-step_1.wav,g,152,S3,2103
66.66666667,pretest_discrimination,0,17,iyu_step_3-step_1.wav,g,136,S3,2103
68.42105263,pretest_discrimination,1,18,iyu_step_3-step_3.wav,g,280,S3,2103
65,pretest_discrimination,0,19,iyu_step_5-step_5.wav,g,196,S3,2103
66.66666667,pretest_discrimination,1,20,iyu_step_3-step_3.wav,g,117,S3,2103
68.18181818,pretest_discrimination,1,21,iyu_step_7-step_7.wav,g,322,S3,2103
65.2173913,pretest_discrimination,0,22,iyu_step_4-step_6.wav,g,1947,S3,2103
66.66666667,pretest_discrimination,1,23,iyu_step_4-step_4.wav,g,600,S3,2103
64,pretest_discrimination,0,24,iyu_step_1-step_3.wav,g,1142,S3,2103
65.38461538,pretest_discrimination,1,25,iyu_step_6-step_6.wav,g,219,S3,2103
62.96296296,pretest_discrimination,0,26,iyu_step_5-step_3.wav,g,222,S3,2103
64.28571429,pretest_discrimination,1,27,iyu_step_5-step_7.wav,a,153,S3,2103
65.51724138,pretest_discrimination,1,28,iyu_step_7-step_7.wav,g,133,S3,2103
66.66666667,pretest_discrimination,1,29,iyu_step_5-step_3.wav,a,398,S3,2103
67.74193548,pretest_discrimination,1,30,iyu_step_7-step_7.wav,g,187,S3,2103
68.75,pretest_discrimination,1,31,iyu_step_3-step_3.wav,g,216,S3,2103
66.66666667,pretest_discrimination,0,32,iyu_step_5-step_5.wav,g,198,S3,2103
64.70588235,pretest_discrimination,0,33,iyu_step_5-step_5.wav,g,91,S3,2103
65.71428571,pretest_discrimination,1,34,iyu_step_4-step_2.wav,a,504,S3,2103
63.88888889,pretest_discrimination,0,35,iyu_step_2-step_4.wav,g,389,S3,2103
64.86486486,pretest_discrimination,1,36,iyu_step_5-step_7.wav,a,143,S3,2103
63.15789474,pretest_discrimination,0,37,iyu_step_4-step_2.wav,g,221,S3,2103
64.1025641,pretest_discrimination,1,38,iyu_step_6-step_4.wav,a,229,S3,2103
62.5,pretest_discrimination,0,39,iyu_step_5-step_3.wav,g,306,S3,2103
63.41463415,pretest_discrimination,1,40,iyu_step_1-step_1.wav,g,191,S3,2103
61.9047619,pretest_discrimination,0,41,iyu_step_5-step_5.wav,g,189,S3,2103
62.79069767,pretest_discrimination,1,42,iyu_step_5-step_7.wav,a,327,S3,2103
63.63636364,pretest_discrimination,1,43,iyu_step_5-step_7.wav,a,175,S3,2103
64.44444444,pretest_discrimination,1,44,iyu_step_6-step_6.wav,g,336,S3,2103
65.2173913,pretest_discrimination,1,45,iyu_step_1-step_1.wav,g,219,S3,2103
65.95744681,pretest_discrimination,1,46,iyu_step_4-step_6.wav,a,170,S3,2103
66.66666667,pretest_discrimination,1,47,iyu_step_2-step_2.wav,g,196,S3,2103
67.34693878,pretest_discrimination,1,48,iyu_step_3-step_3.wav,g,145,S3,2103
66,pretest_discrimination,0,49,iyu_step_3-step_1.wav,g,435,S3,2103
66.66666667,pretest_discrimination,1,50,iyu_step_3-step_5.wav,a,426,S3,2103
67.30769231,pretest_discrimination,1,51,iyu_step_2-step_2.wav,g,166,S3,2103
66.03773585,pretest_discrimination,0,52,iyu_step_5-step_3.wav,g,196,S3,2103
66.66666667,pretest_discrimination,1,53,iyu_step_4-step_4.wav,g,138,S3,2103
67.27272727,pretest_discrimination,1,54,iyu_step_7-step_5.wav,a,228,S3,2103
67.85714286,pretest_discrimination,1,55,iyu_step_2-step_2.wav,g,153,S3,2103
