accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session,subject_nr
100,pretest_discrimination,1,0,iyu_step_5-step_3.wav,a,2451,S3,3103
100,pretest_discrimination,1,1,iyu_step_7-step_7.wav,g,711,S3,3103
100,pretest_discrimination,1,2,iyu_step_6-step_4.wav,a,762,S3,3103
100,pretest_discrimination,1,3,iyu_step_3-step_1.wav,a,632,S3,3103
100,pretest_discrimination,1,4,iyu_step_2-step_2.wav,g,556,S3,3103
100,pretest_discrimination,1,5,iyu_step_4-step_4.wav,g,689,S3,3103
100,pretest_discrimination,1,6,iyu_step_3-step_5.wav,a,685,S3,3103
100,pretest_discrimination,1,7,iyu_step_4-step_2.wav,a,675,S3,3103
100,pretest_discrimination,1,8,iyu_step_5-step_3.wav,a,729,S3,3103
100,pretest_discrimination,1,9,iyu_step_4-step_2.wav,a,588,S3,3103
100,pretest_discrimination,1,10,iyu_step_2-step_4.wav,a,970,S3,3103
100,pretest_discrimination,1,11,iyu_step_4-step_2.wav,a,953,S3,3103
100,pretest_discrimination,1,12,iyu_step_6-step_4.wav,a,2276,S3,3103
100,pretest_discrimination,1,13,iyu_step_3-step_3.wav,g,567,S3,3103
100,pretest_discrimination,1,14,iyu_step_3-step_1.wav,a,626,S3,3103
100,pretest_discrimination,1,15,iyu_step_2-step_2.wav,g,487,S3,3103
100,pretest_discrimination,1,16,iyu_step_2-step_2.wav,g,591,S3,3103
100,pretest_discrimination,1,17,iyu_step_6-step_4.wav,a,737,S3,3103
100,pretest_discrimination,1,18,iyu_step_3-step_5.wav,a,764,S3,3103
100,pretest_discrimination,1,19,iyu_step_7-step_5.wav,a,619,S3,3103
100,pretest_discrimination,1,20,iyu_step_5-step_5.wav,g,521,S3,3103
100,pretest_discrimination,1,21,iyu_step_2-step_4.wav,a,2267,S3,3103
100,pretest_discrimination,1,22,iyu_step_5-step_5.wav,g,648,S3,3103
100,pretest_discrimination,1,23,iyu_step_3-step_5.wav,a,831,S3,3103
100,pretest_discrimination,1,24,iyu_step_6-step_6.wav,g,2352,S3,3103
100,pretest_discrimination,1,25,iyu_step_3-step_1.wav,a,652,S3,3103
100,pretest_discrimination,1,26,iyu_step_3-step_3.wav,g,579,S3,3103
100,pretest_discrimination,1,27,iyu_step_3-step_5.wav,a,601,S3,3103
100,pretest_discrimination,1,28,iyu_step_5-step_3.wav,a,1086,S3,3103
100,pretest_discrimination,1,29,iyu_step_7-step_7.wav,g,659,S3,3103
100,pretest_discrimination,1,30,iyu_step_2-step_2.wav,g,660,S3,3103
100,pretest_discrimination,1,31,iyu_step_1-step_1.wav,g,711,S3,3103
100,pretest_discrimination,1,32,iyu_step_4-step_6.wav,a,785,S3,3103
100,pretest_discrimination,1,33,iyu_step_3-step_3.wav,g,687,S3,3103
100,pretest_discrimination,1,34,iyu_step_4-step_4.wav,g,749,S3,3103
100,pretest_discrimination,1,35,iyu_step_5-step_3.wav,a,769,S3,3103
97.2972973,pretest_discrimination,0,36,iyu_step_7-step_5.wav,g,1700,S3,3103
97.36842105,pretest_discrimination,1,37,iyu_step_1-step_1.wav,g,637,S3,3103
97.43589744,pretest_discrimination,1,38,iyu_step_4-step_4.wav,g,575,S3,3103
97.5,pretest_discrimination,1,39,iyu_step_7-step_5.wav,a,1243,S3,3103
97.56097561,pretest_discrimination,1,40,iyu_step_7-step_7.wav,g,1105,S3,3103
97.61904762,pretest_discrimination,1,41,iyu_step_5-step_5.wav,g,891,S3,3103
97.6744186,pretest_discrimination,1,42,iyu_step_2-step_2.wav,g,768,S3,3103
97.72727273,pretest_discrimination,1,43,iyu_step_2-step_4.wav,a,645,S3,3103
97.77777778,pretest_discrimination,1,44,iyu_step_6-step_4.wav,a,876,S3,3103
97.82608696,pretest_discrimination,1,45,iyu_step_3-step_3.wav,g,810,S3,3103
97.87234043,pretest_discrimination,1,46,iyu_step_2-step_2.wav,g,584,S3,3103
97.91666667,pretest_discrimination,1,47,iyu_step_6-step_6.wav,g,675,S3,3103
97.95918367,pretest_discrimination,1,48,iyu_step_5-step_7.wav,a,1234,S3,3103
98,pretest_discrimination,1,49,iyu_step_2-step_4.wav,a,741,S3,3103
98.03921569,pretest_discrimination,1,50,iyu_step_6-step_6.wav,g,721,S3,3103
98.07692308,pretest_discrimination,1,51,iyu_step_2-step_4.wav,a,1673,S3,3103
98.11320755,pretest_discrimination,1,52,iyu_step_6-step_4.wav,a,896,S3,3103
98.14814815,pretest_discrimination,1,53,iyu_step_7-step_5.wav,a,2387,S3,3103
98.18181818,pretest_discrimination,1,54,iyu_step_4-step_2.wav,a,1006,S3,3103
98.21428571,pretest_discrimination,1,55,iyu_step_7-step_7.wav,g,907,S3,3103
98.24561404,pretest_discrimination,1,56,iyu_step_3-step_5.wav,a,779,S3,3103
98.27586207,pretest_discrimination,1,57,iyu_step_1-step_3.wav,a,726,S3,3103
