"accuracy","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"0","pretest_discrimination","0","0","iyu_step_6-step_4.wav","None","6000","803"
"50","pretest_discrimination","1","1","iyu_step_2-step_4.wav","a","4456","803"
"33.3333333333","pretest_discrimination","0","2","iyu_step_7-step_7.wav","None","6000","803"
"25","pretest_discrimination","0","3","iyu_step_5-step_3.wav","g","2647","803"
"40","pretest_discrimination","1","4","iyu_step_3-step_1.wav","a","3258","803"
"33.3333333333","pretest_discrimination","0","5","iyu_step_3-step_1.wav","None","6000","803"
"42.8571428571","pretest_discrimination","1","6","iyu_step_4-step_2.wav","a","2211","803"
"37.5","pretest_discrimination","0","7","iyu_step_3-step_3.wav","a","4136","803"
"33.3333333333","pretest_discrimination","0","8","iyu_step_4-step_4.wav","a","1469","803"
"30","pretest_discrimination","0","9","iyu_step_3-step_3.wav","None","6000","803"
"27.2727272727","pretest_discrimination","0","10","iyu_step_5-step_7.wav","g","1617","803"
"33.3333333333","pretest_discrimination","1","11","iyu_step_1-step_3.wav","a","1518","803"
"30.7692307692","pretest_discrimination","0","12","iyu_step_2-step_2.wav","a","613","803"
"28.5714285714","pretest_discrimination","0","13","iyu_step_4-step_2.wav","g","950","803"
"26.6666666667","pretest_discrimination","0","14","iyu_step_3-step_5.wav","g","1575","803"
"25","pretest_discrimination","0","15","iyu_step_6-step_4.wav","g","669","803"
"23.5294117647","pretest_discrimination","0","16","iyu_step_5-step_5.wav","a","1729","803"
"22.2222222222","pretest_discrimination","0","17","iyu_step_2-step_4.wav","g","1096","803"
"21.0526315789","pretest_discrimination","0","18","iyu_step_6-step_4.wav","g","1362","803"
"20","pretest_discrimination","0","19","iyu_step_5-step_5.wav","a","1058","803"
"19.0476190476","pretest_discrimination","0","20","iyu_step_1-step_1.wav","a","630","803"
"18.1818181818","pretest_discrimination","0","21","iyu_step_1-step_1.wav","a","766","803"
"17.3913043478","pretest_discrimination","0","22","iyu_step_3-step_1.wav","g","1870","803"
"16.6666666667","pretest_discrimination","0","23","iyu_step_3-step_5.wav","g","1176","803"
"20","pretest_discrimination","1","24","iyu_step_4-step_4.wav","g","3004","803"
"19.2307692308","pretest_discrimination","0","25","iyu_step_3-step_5.wav","g","947","803"
"18.5185185185","pretest_discrimination","0","26","iyu_step_7-step_7.wav","a","1291","803"
"17.8571428571","pretest_discrimination","0","27","iyu_step_6-step_6.wav","None","6000","803"
"20.6896551724","pretest_discrimination","1","28","iyu_step_1-step_3.wav","a","663","803"
"20","pretest_discrimination","0","29","iyu_step_1-step_1.wav","a","4097","803"
"19.3548387097","pretest_discrimination","0","30","iyu_step_4-step_6.wav","g","4069","803"
"18.75","pretest_discrimination","0","31","iyu_step_4-step_4.wav","a","5997","803"
"18.1818181818","pretest_discrimination","0","32","iyu_step_7-step_5.wav","g","1310","803"
"17.6470588235","pretest_discrimination","0","33","iyu_step_6-step_6.wav","a","1222","803"
"17.1428571429","pretest_discrimination","0","34","iyu_step_3-step_3.wav","a","725","803"
"16.6666666667","pretest_discrimination","0","35","iyu_step_3-step_3.wav","a","734","803"
"16.2162162162","pretest_discrimination","0","36","iyu_step_7-step_5.wav","g","1040","803"
"18.4210526316","pretest_discrimination","1","37","iyu_step_3-step_1.wav","a","908","803"
"20.5128205128","pretest_discrimination","1","38","iyu_step_3-step_5.wav","a","2125","803"
"20","pretest_discrimination","0","39","iyu_step_3-step_3.wav","a","2217","803"
"21.9512195122","pretest_discrimination","1","40","iyu_step_2-step_4.wav","a","1047","803"
"21.4285714286","pretest_discrimination","0","41","iyu_step_6-step_6.wav","a","1046","803"
"20.9302325581","pretest_discrimination","0","42","iyu_step_5-step_3.wav","g","501","803"
