block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
P,NA,212505,vowelstep1_catch.wav,2,563,25,212513,0,
P,NA,212505,sinestep7_catch.wav,2,400,25,214513,868,
P,NA,212505,vowelstep5_catch.wav,2,864,25,216513,1035,
P,NA,212505,sinestep7.wav,2,481,25,218513,582,
P,NA,212505,sinestep7.wav,None,1000,25,220513,964,
P,NA,212505,sinestep3.wav,None,1000,25,222512,447,
P,NA,212505,sinestep1.wav,None,1000,25,224512,456,
P,NA,212505,vowelstep7.wav,None,1000,25,226512,456,
P,NA,212505,vowelstep3.wav,None,1000,25,228513,456,
P,NA,212505,silence.wav,None,1000,25,230513,465,
P,NA,212505,sinestep1.wav,None,1000,25,232513,445,
P,NA,212505,vowelstep1.wav,None,1000,25,234513,445,
P,NA,212505,sinestep5.wav,None,1000,25,236513,445,
P,NA,212505,sinestep1.wav,None,1000,25,238513,455,
P,NA,212505,sinestep1.wav,None,1000,25,240513,455,
P,NA,212505,vowelstep1.wav,None,1000,25,242513,454,
P,NA,212505,silence.wav,None,1000,25,244514,465,
P,NA,212505,silence.wav,None,1000,25,246513,444,
P,NA,212505,silence.wav,None,1000,25,248513,444,
P,NA,212505,sinestep3_catch.wav,2,325,25,250513,444,
P,NA,212505,vowelstep7.wav,None,1000,25,252513,1126,
P,NA,212505,silence.wav,None,1000,25,254513,455,
P,NA,212505,vowelstep7.wav,None,1000,25,256513,454,
P,NA,212505,vowelstep3.wav,None,1000,25,258513,464,
P,NA,212505,silence.wav,None,1000,25,260513,445,
P,NA,212505,vowelstep1.wav,None,1000,25,262514,443,
P,NA,212505,sinestep3.wav,None,1000,25,264514,441,
P,NA,212505,vowelstep1.wav,None,1000,25,266514,453,
P,NA,212505,silence.wav,None,1000,25,268514,453,
P,NA,212505,sinestep7.wav,None,1000,25,270513,454,
P,NA,212505,sinestep5_catch.wav,2,275,25,272513,453,
P,NA,212505,silence.wav,None,1000,25,274513,1167,
P,NA,212505,sinestep7.wav,None,1000,25,276513,443,
P,NA,212505,sinestep5.wav,None,1000,25,278513,443,
P,NA,212505,sinestep3.wav,None,1000,25,280514,443,
P,NA,212505,sinestep1_catch.wav,2,246,25,282514,452,
P,NA,212505,vowelstep3_catch.wav,2,314,25,284514,1205,
P,NA,212505,vowelstep5_catch.wav,2,288,25,286514,1147,
P,NA,212505,vowelstep7.wav,None,1000,25,288514,1143,
P,NA,212505,silence.wav,None,1000,25,290514,443,
P,NA,212505,vowelstep7_catch.wav,2,297,25,292514,443,
P,NA,212505,vowelstep3.wav,None,1000,25,294513,1144,
P,NA,212505,silence.wav,None,1000,25,296513,452,
P,NA,212505,sinestep7_catch.wav,2,225,25,298514,452,
P,NA,212505,sinestep7.wav,None,1000,25,300514,1226,
P,NA,212505,vowelstep5.wav,None,1000,25,302514,461,
P,NA,212505,vowelstep3.wav,None,1000,25,304514,442,
P,NA,212505,sinestep5.wav,None,1000,25,306514,441,
P,NA,212505,sinestep5_catch.wav,2,147,25,308514,440,
P,NA,212505,sinestep3.wav,None,1000,25,310514,1302,
P,NA,212505,silence.wav,None,1000,25,312514,450,
P,NA,212505,vowelstep7.wav,None,1000,25,314515,459,
P,NA,212505,sinestep3_catch.wav,2,321,25,316515,428,
P,NA,212505,vowelstep5.wav,None,1000,25,318515,1117,
P,NA,212505,silence.wav,None,1000,25,320514,438,
P,NA,212505,sinestep1.wav,None,1000,25,322514,448,
P,NA,212505,vowelstep1.wav,None,1000,25,324514,448,
P,NA,212505,silence.wav,None,1000,25,326514,448,
P,NA,212505,silence.wav,None,1000,25,328514,448,
P,NA,212505,silence.wav,None,1000,25,330514,429,
P,NA,212505,sinestep1_catch.wav,2,329,25,332515,438,
P,NA,212505,sinestep1.wav,None,1000,25,334515,1108,
P,NA,212505,silence.wav,None,1000,25,336515,437,
P,NA,212505,vowelstep1_catch.wav,2,324,25,338515,448,
P,NA,212505,vowelstep5.wav,None,1000,25,340515,1123,
P,NA,212505,sinestep5.wav,None,1000,25,342515,445,
P,NA,212505,vowelstep3.wav,None,1000,25,344514,457,
P,NA,212505,silence.wav,None,1000,25,346514,437,
P,NA,212505,silence.wav,None,1000,25,348514,437,
P,NA,212505,sinestep7.wav,None,1000,25,350515,436,
P,NA,212505,vowelstep5.wav,None,1000,25,352515,446,
P,NA,212505,silence.wav,None,1000,25,354515,446,
P,NA,212505,vowelstep3_catch.wav,2,204,25,356515,446,
P,NA,212505,silence.wav,None,1000,25,358515,1222,
P,NA,212505,vowelstep5.wav,None,1000,25,360515,426,
P,NA,212505,vowelstep5_catch.wav,2,254,25,362515,436,
P,NA,212505,vowelstep7_catch.wav,2,479,25,364515,1183,
P,NA,212505,sinestep3.wav,None,1000,25,366515,967,
P,NA,212505,vowelstep5.wav,None,1000,25,368515,445,
P,NA,212505,vowelstep3.wav,None,1000,25,370515,446,
P,NA,212505,silence.wav,None,1000,25,372515,446,
P,NA,212505,sinestep3.wav,None,1000,25,374515,436,
P,NA,212505,silence.wav,None,1000,25,376515,436,
P,NA,212505,sinestep7_catch.wav,2,130,25,378515,436,
P,NA,212505,sinestep5_catch.wav,2,96,25,380515,1316,
P,NA,212505,sinestep5.wav,None,1000,25,382515,1349,
P,NA,212505,sinestep5.wav,None,1000,25,384516,446,
P,NA,212505,vowelstep7.wav,None,1000,25,386516,455,
P,NA,212505,sinestep3_catch.wav,2,281,25,388516,435,
P,NA,212505,vowelstep1.wav,None,1000,25,390516,1153,
E,0,809495,vowelstep7.wav,None,1000,25,809506,0,1.285
E,0,809495,sinestep3.wav,None,1000,25,811506,334,3.285
E,0,809495,sinestep5.wav,None,1000,25,813505,336,5.285
E,0,809495,sinestep1.wav,None,1000,25,815505,336,7.285
E,0,809495,sinestep5.wav,None,1000,25,817505,336,9.285
E,0,809495,silence.wav,None,1000,25,819505,348,11.285
E,0,809495,vowelstep1.wav,None,1000,25,821506,349,13.285
E,0,809495,vowelstep7.wav,None,1000,25,823506,348,15.285
E,0,809495,vowelstep1.wav,None,1000,25,825506,329,17.285
E,0,809495,sinestep1_catch.wav,2,93,25,827506,340,19.285
E,0,809495,vowelstep5.wav,None,1000,25,829506,1245,21.285
E,0,809495,sinestep5.wav,None,1000,25,831506,348,23.285
E,0,809495,vowelstep5.wav,None,1000,25,833506,348,25.285
E,0,809495,vowelstep3.wav,None,1000,25,835506,349,27.285
E,0,809495,sinestep1.wav,None,1000,25,837505,346,29.285
E,0,809495,vowelstep5.wav,None,1000,25,839506,339,31.285
E,0,809495,silence.wav,None,1000,25,841506,334,33.285
E,0,809495,silence.wav,None,1000,25,843506,337,35.285
E,0,809495,sinestep3.wav,None,1000,25,845506,337,37.285
E,0,809495,sinestep3.wav,None,1000,25,847506,348,39.285
E,0,809495,sinestep3.wav,None,1000,25,849506,347,41.285
E,0,809495,sinestep1.wav,None,1000,25,851506,357,43.285
E,0,809495,vowelstep1.wav,None,1000,25,853506,324,45.285
E,0,809495,sinestep1.wav,None,1000,25,855506,336,47.285
E,0,809495,vowelstep7.wav,None,1000,25,857507,336,49.285
E,0,809495,vowelstep5.wav,None,1000,25,859507,336,51.285
E,0,809495,sinestep7.wav,None,1000,25,861506,346,53.285
E,0,809495,sinestep1.wav,None,1000,25,863506,347,55.285
E,0,809495,vowelstep5.wav,None,1000,25,865506,347,57.285
E,0,809495,sinestep3.wav,None,1000,25,867506,332,59.285
E,0,809495,vowelstep1.wav,None,1000,25,869506,333,61.285
E,0,809495,vowelstep5.wav,None,1000,25,871506,337,63.285
E,0,809495,vowelstep3.wav,None,1000,25,873506,330,65.285
E,0,809495,sinestep1.wav,None,1000,25,875507,346,67.285
E,0,809495,vowelstep3.wav,None,1000,25,877507,342,69.285
E,0,809495,silence.wav,None,1000,25,879507,342,71.285
E,0,809495,vowelstep3.wav,None,1000,25,881507,351,73.285
