block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
D,0,54875,sinestep5.wav,None,1000,26,54889,0,1.285
D,0,54875,vowelstep1_catch.wav,None,1000,26,56890,332,3.285
D,0,54875,sinestep7.wav,None,1000,26,58890,342,5.285
D,0,54875,vowelstep3.wav,None,1000,26,60890,352,7.285
D,0,54875,vowelstep3_catch.wav,None,1000,26,62890,329,9.285
D,0,54875,vowelstep5_catch.wav,None,1000,26,64890,331,11.285
D,0,54875,sinestep7.wav,None,1000,26,66890,330,13.285
D,0,54875,silence.wav,None,1000,26,68890,341,15.285
D,0,54875,vowelstep7_catch.wav,None,1000,26,70890,342,17.285
D,0,54875,vowelstep7.wav,None,1000,26,72889,342,19.285
D,0,54875,vowelstep3.wav,None,1000,26,74890,322,21.285
D,0,54875,vowelstep7_catch.wav,None,1000,26,76890,331,23.285
D,0,54875,vowelstep5.wav,None,1000,26,78890,331,25.285
D,0,54875,sinestep7.wav,None,1000,26,80890,328,27.285
D,0,54875,silence.wav,None,1000,26,82890,341,29.285
D,0,54875,vowelstep1.wav,None,1000,26,84890,341,31.285
D,0,54875,vowelstep1.wav,None,1000,26,86890,341,33.285
D,0,54875,vowelstep7.wav,None,1000,26,88890,352,35.285
D,0,54875,vowelstep3.wav,None,1000,26,90890,331,37.285
D,0,54875,sinestep3.wav,None,1000,26,92891,330,39.285
D,0,54875,sinestep1.wav,None,1000,26,94891,329,41.285
D,0,54875,vowelstep1.wav,None,1000,26,96890,339,43.285
D,0,54875,vowelstep1.wav,None,1000,26,98890,340,45.285
D,0,54875,sinestep7.wav,None,1000,26,100890,340,47.285
D,0,54875,sinestep3.wav,None,1000,26,102890,350,49.285
D,0,54875,vowelstep5_catch.wav,None,1000,26,104890,330,51.285
D,0,54875,sinestep7.wav,None,1000,26,106890,330,53.285
D,0,54875,vowelstep5.wav,None,1000,26,108891,331,55.285
D,0,54875,sinestep3.wav,None,1000,26,110891,329,57.285
D,0,54875,sinestep7.wav,None,1000,26,112891,339,59.285
D,0,54875,vowelstep3.wav,None,1000,26,114891,339,61.285
D,0,54875,vowelstep3.wav,None,1000,26,116891,339,63.285
D,0,54875,vowelstep3_catch.wav,None,1000,26,118891,319,65.285
D,0,54875,silence.wav,None,1000,26,120891,329,67.285
