Subj	peak.discrim	Day3Accuracy
cth1	3.400560772	1
cth2	2.431981298	0.8066298
cth3	2.402022869	0.968254
cth6	1.535103424	0.852459
cth8	3.966810126	0.8153846
cth9	3.074206469	0.9193548
cth10	0.697511391	0.5801105
cth11	4.652695748	0.9833333
cth12	1.105293619	0.8181818
cth14	1.565061854	0.875
cth15	0.624014441	0.7348066
cth16	2.440533168	1
cth17	2.930933221	0.875
cth18	1.807966857	0.8232044
cth20	2.67510357	0.9166667
cth21	3.234805743	0.9666667
cth22	1.754647546	0.7900552
cth24	0.718770641	0.5359116
cth25	2.995840936	0.6850829
cth26	2.764834528	0.9180328
cth27	2.163410751	0.877193
cth28	1.077374468	0.828125
cth30	4.652695748	0.9833333
cth31	3.423151436	0.9833333
cth32	0.559702173	0.6961326
cth34	1.096803562	0.7458564
