block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
P,NA,260647,vowelstep1_catch.wav,None,1000,10,260658,0,
P,NA,260647,sinestep7_catch.wav,1,235,10,262659,448,
P,NA,260647,vowelstep5_catch.wav,1,109,10,264659,1213,
P,NA,260647,sinestep7.wav,1,200,10,266659,1350,
P,NA,260647,sinestep7.wav,1,162,10,268659,1228,
P,NA,260647,sinestep3.wav,1,254,10,270659,1277,
P,NA,260647,sinestep1.wav,1,461,10,272659,1184,
P,NA,260647,vowelstep7.wav,1,492,10,274658,986,
P,NA,260647,vowelstep3.wav,1,463,10,276658,954,
P,NA,260647,silence.wav,None,1000,10,278658,986,
P,NA,260647,sinestep1.wav,1,253,10,280659,449,
P,NA,260647,vowelstep1.wav,1,287,10,282659,1184,
P,NA,260647,sinestep5.wav,1,305,10,284659,1151,
P,NA,260647,sinestep1.wav,1,410,10,286659,1133,
P,NA,260647,sinestep1.wav,1,201,10,288659,1028,
P,NA,260647,vowelstep1.wav,1,331,10,290659,1246,
P,NA,260647,silence.wav,None,1000,10,292659,1117,
P,NA,260647,silence.wav,None,1000,10,294659,448,
P,NA,260647,silence.wav,None,1000,10,296659,455,
P,NA,260647,sinestep3_catch.wav,1,541,10,298660,438,
P,NA,260647,vowelstep7.wav,1,336,10,300659,896,
P,NA,260647,silence.wav,None,1000,10,302659,1100,
P,NA,260647,vowelstep7.wav,1,138,10,304659,445,
P,NA,260647,vowelstep3.wav,1,353,10,306659,1308,
P,NA,260647,silence.wav,None,1000,10,308659,1093,
P,NA,260647,vowelstep1.wav,1,296,10,310659,427,
P,NA,260647,sinestep3.wav,1,304,10,312659,1140,
P,NA,260647,vowelstep1.wav,1,355,10,314660,1133,
P,NA,260647,silence.wav,None,1000,10,316660,1080,
P,NA,260647,sinestep7.wav,1,203,10,318660,445,
P,NA,260647,sinestep5_catch.wav,1,451,10,320660,1242,
P,NA,260647,silence.wav,None,1000,10,322660,994,
P,NA,260647,sinestep7.wav,1,254,10,324659,455,
P,NA,260647,sinestep5.wav,1,445,10,326659,1181,
P,NA,260647,sinestep3.wav,1,929,10,328659,991,
