   subject2 parn       par       parinf  parsup
      <dbl> <fct>    <dbl>        <dbl>   <dbl>
 1        1 p1      3.20       2.81       3.70 
 2        1 p2      1.86       1.33      16.1  
 3        2 p1      5.08       5.00       5.61 
 4        2 p2     17.0       17.0      103.   
 5        3 p1      3.90       3.48       4.20 
 6        3 p2      1.53       0.974     17.1  
 7        6 p1      4.50       4.05       5.00 
 8        6 p2      1.88       1.21      16.3  
 9        8 p1      3.00       2.60       3.40 
10        8 p2      2.40       1.66      17.8  
11        9 p1      4.00       3.60       4.40 
12        9 p2      1.83       1.11      17.5  
13       10 p1      1.73   -1966.         4.73 
14       10 p2      0.142     -0.000394   0.394
15       11 p1      4.00       3.32       4.67 
16       11 p2      0.910      0.603      1.55 
17       12 p1      4.82       4.33       5.31 
18       12 p2      1.23       0.740      3.15 
19       14 p1      3.70       3.29       4.20 
20       14 p2      1.73       1.17       3.42 
21       15 p1      0.0276 -5362.         4.80 
22       15 p2     -0.0144    -0.252      0.180
23       16 p1      3.40       3.00       3.92 
24       16 p2      2.82       1.81      74.1  
25       17 p1      3.50       3.05       3.95 
26       17 p2      3.15       2.20      18.4  
27       18 p1      3.90       3.40       4.41 
28       18 p2      1.53       1.18       2.50 
29       20 p1      3.80       3.40       4.29 
30       20 p2      2.12       1.52      17.1  
31       21 p1      3.00       2.80       3.40 
32       21 p2      3.05       2.07      22.7  
33       22 p1      2.97       2.30       3.55 
34       22 p2      0.961      0.608      1.70 
35       24 p1      4.59       2.88       7.38 
36       24 p2      0.320      0.0861     0.622
37       25 p1      4.75       4.20       5.42 
38       25 p2      0.944      0.573      1.82 
39       26 p1      3.60       3.10       4.10 
40       26 p2      1.63       1.15       3.05 
41       27 p1      4.10       3.70       4.50 
42       27 p2      2.08       1.42      17.6  
43       28 p1      3.17       2.24       3.89 
44       28 p2      0.723      0.484      1.14 
45       30 p1      4.10       3.70       4.39 
46       30 p2      3.09       2.08      20.1  
47       31 p1      3.30       2.98       3.70 
48       31 p2      2.19       1.46      17.5  
49       32 p1      4.32       3.68       5.01 
50       32 p2      1.02       0.698      1.83 
51       34 p1      4.00       3.31       4.72 
52       34 p2      0.797      0.484      1.34 
