block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
P,NA,291013,vowelstep1_catch.wav,2,230,14,291025,0,
P,NA,291013,sinestep7_catch.wav,2,318,14,293026,1129,
P,NA,291013,vowelstep5_catch.wav,2,339,14,295028,1044,
P,NA,291013,sinestep7.wav,2,381,14,297029,1026,
P,NA,291013,sinestep7.wav,2,543,14,299031,996,
P,NA,291013,sinestep3.wav,2,370,14,301033,834,
P,NA,291013,sinestep1.wav,2,338,14,303017,1008,
P,NA,291013,vowelstep7.wav,2,486,14,305019,1051,
P,NA,291013,vowelstep3.wav,2,432,14,307022,900,
P,NA,291013,silence.wav,None,1000,14,309023,954,
P,NA,291013,sinestep1.wav,2,327,14,311025,396,
P,NA,291013,vowelstep1.wav,2,551,14,313026,1049,
P,NA,291013,sinestep5.wav,2,364,14,315028,825,
P,NA,291013,sinestep1.wav,2,373,14,317029,1011,
P,NA,291013,sinestep1.wav,2,315,14,319031,991,
P,NA,291013,vowelstep1.wav,2,303,14,321032,1051,
P,NA,291013,silence.wav,None,1000,14,323018,1063,
P,NA,291013,silence.wav,None,1000,14,325020,395,
P,NA,291013,silence.wav,None,1000,14,327021,365,
P,NA,291013,sinestep3_catch.wav,2,85,14,329023,375,
P,NA,291013,vowelstep7.wav,2,339,14,331025,1299,
P,NA,291013,silence.wav,None,1000,14,333026,1046,
P,NA,291013,vowelstep7.wav,2,291,14,335028,365,
P,NA,291013,vowelstep3.wav,2,398,14,337029,1074,
P,NA,291013,silence.wav,None,1000,14,339031,966,
P,NA,291013,vowelstep1.wav,2,275,14,341033,375,
P,NA,291013,sinestep3.wav,2,365,14,343018,1098,
P,NA,291013,vowelstep1.wav,2,556,14,345020,1008,
P,NA,291013,silence.wav,None,1000,14,347021,826,
P,NA,291013,sinestep7.wav,2,183,14,349023,383,
P,NA,291013,sinestep5_catch.wav,2,204,14,351025,1199,
P,NA,291013,silence.wav,None,1000,14,353026,1188,
P,NA,291013,sinestep7.wav,2,219,14,355028,374,
P,NA,291013,sinestep5.wav,2,324,14,357029,1154,
P,NA,291013,sinestep3.wav,2,354,14,359032,1049,
P,NA,291013,sinestep1_catch.wav,2,328,14,361033,1028,
P,NA,291013,vowelstep3_catch.wav,2,293,14,363018,1051,
P,NA,291013,vowelstep5_catch.wav,2,348,14,365020,1089,
P,NA,291013,vowelstep7.wav,2,330,14,367021,1034,
P,NA,291013,silence.wav,None,1000,14,369023,1032,
P,NA,291013,vowelstep7_catch.wav,2,239,14,371025,373,
P,NA,291013,vowelstep3.wav,2,271,14,373026,1132,
P,NA,291013,silence.wav,None,1000,14,375028,1111,
P,NA,291013,sinestep7_catch.wav,2,277,14,377030,381,
P,NA,291013,sinestep7.wav,2,349,14,379032,1084,
P,NA,291013,vowelstep5.wav,2,651,14,381033,1012,
P,NA,291013,vowelstep3.wav,2,611,14,383018,719,
P,NA,291013,sinestep5.wav,2,256,14,385020,779,
P,NA,291013,sinestep5_catch.wav,2,473,14,387021,1115,
P,NA,291013,sinestep3.wav,2,219,14,389023,897,
P,NA,291013,silence.wav,None,1000,14,391024,1161,
P,NA,291013,vowelstep7.wav,2,282,14,393027,380,
P,NA,291013,sinestep3_catch.wav,2,284,14,395029,1107,
P,NA,291013,vowelstep5.wav,2,335,14,397030,1075,
P,NA,291013,silence.wav,None,1000,14,399032,1035,
P,NA,291013,sinestep1.wav,2,229,14,401033,372,
P,NA,291013,vowelstep1.wav,2,507,14,403018,1152,
P,NA,291013,silence.wav,None,1000,14,405020,874,
P,NA,291013,silence.wav,None,1000,14,407021,379,
P,NA,291013,silence.wav,None,1000,14,409023,380,
P,NA,291013,sinestep1_catch.wav,2,64,14,411025,370,
P,NA,291013,sinestep1.wav,2,306,14,413027,1305,
P,NA,291013,silence.wav,None,1000,14,415029,1064,
P,NA,291013,vowelstep1_catch.wav,2,347,14,417030,370,
P,NA,291013,vowelstep5.wav,2,429,14,419032,1031,
P,NA,291013,sinestep5.wav,2,538,14,421033,930,
P,NA,291013,vowelstep3.wav,2,217,14,423018,820,
P,NA,291013,silence.wav,None,1000,14,425020,1171,
P,NA,291013,silence.wav,None,1000,14,427021,388,
P,NA,291013,sinestep7.wav,2,288,14,429024,369,
P,NA,291013,vowelstep5.wav,2,274,14,431025,1079,
P,NA,291013,silence.wav,None,1000,14,433027,1103,
P,NA,291013,vowelstep3_catch.wav,2,201,14,435029,377,
P,NA,291013,silence.wav,None,1000,14,437030,1176,
P,NA,291013,vowelstep5.wav,2,307,14,439032,387,
P,NA,291013,vowelstep5_catch.wav,2,302,14,441033,1057,
P,NA,291013,vowelstep7_catch.wav,2,413,14,443018,1065,
P,NA,291013,sinestep3.wav,2,441,14,445021,984,
P,NA,291013,vowelstep5.wav,2,254,14,447022,935,
P,NA,291013,vowelstep3.wav,2,237,14,449024,1124,
P,NA,291013,silence.wav,None,1000,14,451025,1141,
P,NA,291013,sinestep3.wav,2,276,14,453027,378,
P,NA,291013,silence.wav,None,1000,14,455028,1089,
P,NA,291013,sinestep7_catch.wav,2,184,14,457030,366,
P,NA,291013,sinestep5_catch.wav,2,130,14,459032,1182,
P,NA,291013,sinestep5.wav,2,272,14,461033,1246,
P,NA,291013,sinestep5.wav,2,200,14,463019,1082,
P,NA,291013,vowelstep7.wav,2,178,14,465021,1174,
P,NA,291013,sinestep3_catch.wav,2,278,14,467022,1206,
P,NA,291013,vowelstep1.wav,2,333,14,469024,1106,
D,0,63331,sinestep5.wav,None,1000,14,63336,0,1.285
D,0,63331,vowelstep1_catch.wav,2,169,14,65342,218,3.285
D,0,63331,sinestep7.wav,None,1000,14,67339,1035,5.285
D,0,63331,vowelstep3.wav,None,1000,14,69340,220,7.285
D,0,63331,vowelstep3_catch.wav,2,147,14,71342,108,9.285
D,0,63331,vowelstep5_catch.wav,2,182,14,73344,1061,11.285
D,0,63331,sinestep7.wav,None,1000,14,75346,1032,13.285
D,0,63331,silence.wav,None,1000,14,77348,211,15.285
D,0,63331,vowelstep7_catch.wav,2,89,14,79349,216,17.285
D,0,63331,vowelstep7.wav,None,1000,14,81351,1105,19.285
D,0,63331,vowelstep3.wav,None,1000,14,83353,205,21.285
D,0,63331,vowelstep7_catch.wav,2,109,14,85337,199,23.285
D,0,63331,vowelstep5.wav,None,1000,14,87339,1099,25.285
D,0,63331,sinestep7.wav,None,1000,14,89340,214,27.285
D,0,63331,silence.wav,None,1000,14,91343,212,29.285
D,0,63331,vowelstep1.wav,None,1000,14,93344,224,31.285
D,0,63331,vowelstep1.wav,None,1000,14,95346,222,33.285
D,0,63331,vowelstep7.wav,None,1000,14,97348,200,35.285
D,0,63331,vowelstep3.wav,None,1000,14,99349,200,37.285
D,0,63331,sinestep3.wav,None,1000,14,101351,201,39.285
D,0,63331,sinestep1.wav,None,1000,14,103353,212,41.285
D,0,63331,vowelstep1.wav,None,1000,14,105337,190,43.285
D,0,63331,vowelstep1.wav,None,1000,14,107339,209,45.285
D,0,63331,sinestep7.wav,None,1000,14,109341,217,47.285
D,0,63331,sinestep3.wav,None,1000,14,111343,222,49.285
D,0,63331,vowelstep5_catch.wav,2,189,14,113344,222,51.285
D,0,63331,sinestep7.wav,None,1000,14,115346,1001,53.285
D,0,63331,vowelstep5.wav,None,1000,14,117348,205,55.285
D,0,63331,sinestep3.wav,None,1000,14,119349,203,57.285
D,0,63331,sinestep7.wav,None,1000,14,121351,203,59.285
D,0,63331,vowelstep3.wav,None,1000,14,123352,222,61.285
D,0,63331,vowelstep3.wav,None,1000,14,125337,199,63.285
D,0,63331,vowelstep3_catch.wav,2,110,14,127340,213,65.285
D,0,63331,silence.wav,None,1000,14,129341,1114,67.285
D,0,63331,vowelstep7.wav,None,1000,14,131343,208,69.285
D,0,63331,silence.wav,None,1000,14,133344,210,71.285
D,0,63331,sinestep1.wav,None,1000,14,135346,209,73.285
D,0,63331,vowelstep5.wav,None,1000,14,137348,191,75.285
D,0,63331,vowelstep1.wav,None,1000,14,139349,202,77.285
D,0,63331,sinestep7.wav,None,1000,14,141351,197,79.285
D,0,63331,vowelstep1.wav,None,1000,14,143352,202,81.285
D,0,63331,sinestep7.wav,None,1000,14,145338,205,83.285
D,0,63331,vowelstep7.wav,None,1000,14,147340,210,85.285
D,0,63331,vowelstep5.wav,None,1000,14,149341,205,87.285
D,0,63331,vowelstep1.wav,None,1000,14,151343,220,89.285
D,0,63331,sinestep5.wav,None,1000,14,153344,208,91.285
D,0,63331,sinestep5.wav,None,1000,14,155346,222,93.285
D,0,63331,vowelstep3.wav,None,1000,14,157348,191,95.285
D,0,63331,silence.wav,None,1000,14,159349,205,97.285
D,0,63331,sinestep1.wav,None,1000,14,161352,205,99.285
D,0,63331,sinestep1.wav,None,1000,14,163337,206,101.285
D,0,63331,sinestep3.wav,None,1000,14,165338,217,103.285
D,0,63331,vowelstep1.wav,None,1000,14,167340,212,105.285
D,0,63331,sinestep7.wav,None,1000,14,169341,215,107.285
D,0,63331,vowelstep3.wav,None,1000,14,171343,227,109.285
D,0,63331,silence.wav,None,1000,14,173344,209,111.285
D,0,63331,vowelstep5.wav,None,1000,14,175346,199,113.285
D,0,63331,vowelstep1.wav,None,1000,14,177347,206,115.285
D,0,63331,vowelstep1_catch.wav,2,202,14,179350,210,117.285
D,0,63331,vowelstep7.wav,None,1000,14,181352,988,119.285
D,0,63331,sinestep5.wav,None,1000,14,183336,196,121.285
D,0,63331,vowelstep7.wav,None,1000,14,185338,227,123.285
D,0,63331,sinestep1.wav,None,1000,14,187340,223,125.285
D,0,63331,sinestep1.wav,None,1000,14,189341,206,127.285
D,0,63331,vowelstep3.wav,None,1000,14,191343,206,129.285
D,0,63331,sinestep1.wav,None,1000,14,193344,206,131.285
D,0,63331,silence.wav,None,1000,14,195346,212,133.285
D,0,63331,sinestep3.wav,None,1000,14,197348,212,135.285
D,0,63331,silence.wav,None,1000,14,199350,216,137.285
D,0,63331,vowelstep3.wav,None,1000,14,201352,192,139.285
D,0,63331,vowelstep5.wav,None,1000,14,203336,199,141.285
D,0,63331,silence.wav,None,1000,14,205338,218,143.285
D,0,63331,sinestep5.wav,None,1000,14,207340,215,145.285
D,0,63331,sinestep5.wav,None,1000,14,209341,211,147.285
D,0,63331,sinestep1.wav,None,1000,14,211343,214,149.285
D,0,63331,vowelstep5.wav,None,1000,14,213344,213,151.285
D,0,63331,vowelstep5.wav,None,1000,14,215347,202,153.285
D,0,63331,sinestep1_catch.wav,2,226,14,217348,205,155.285
D,0,63331,sinestep5.wav,None,1000,14,219350,973,157.285
D,0,63331,vowelstep3.wav,None,1000,14,221352,213,159.285
D,0,63331,vowelstep7.wav,None,1000,14,223336,208,161.285
D,0,63331,vowelstep3.wav,None,1000,14,225338,215,163.285
D,0,63331,sinestep3.wav,None,1000,14,227339,214,165.285
D,0,63331,sinestep1.wav,None,1000,14,229341,191,167.285
D,0,63331,silence.wav,None,1000,14,231344,206,169.285
D,0,63331,sinestep1.wav,None,1000,14,233345,199,171.285
D,0,63331,vowelstep1.wav,None,1000,14,235347,213,173.285
D,0,63331,vowelstep3.wav,None,1000,14,237348,211,175.285
D,0,63331,silence.wav,None,1000,14,239350,214,177.285
D,0,63331,sinestep7.wav,None,1000,14,241351,212,179.285
D,0,63331,silence.wav,None,1000,14,243336,205,181.285
