"block","count_main_sequence","first_trial_timestamp","fname","response_catch_response","response_time_catch_response","subject_nr","time_stimulus","time_to_pad"
"P","NA","212618","vowelstep1_catch.wav","None","1000","27","212624","0"
"P","NA","212618","sinestep7_catch.wav","None","1000","27","214624","405"
"P","NA","212618","vowelstep5_catch.wav","None","1000","27","216623","449"
"P","NA","212618","sinestep7.wav","None","1000","27","218624","429"
"P","NA","212618","sinestep7.wav","None","1000","27","220624","429"
"P","NA","212618","sinestep3.wav","None","1000","27","222624","439"
"P","NA","212618","sinestep1.wav","None","1000","27","224624","447"
"P","NA","212618","vowelstep7.wav","None","1000","27","226624","449"
"P","NA","212618","vowelstep3.wav","None","1000","27","228624","448"
"P","NA","212618","silence.wav","None","1000","27","230624","447"
"P","NA","212618","sinestep1.wav","None","1000","27","232624","457"
"P","NA","212618","vowelstep1.wav","None","1000","27","234624","438"
"P","NA","212618","sinestep5.wav","None","1000","27","236625","438"
"P","NA","212618","sinestep1.wav","None","1000","27","238625","435"
"P","NA","212618","sinestep1.wav","None","1000","27","240624","447"
"P","NA","212618","vowelstep1.wav","None","1000","27","242624","447"
"P","NA","212618","silence.wav","None","1000","27","244624","448"
"P","NA","212618","silence.wav","None","1000","27","246624","456"
"P","NA","212618","silence.wav","None","1000","27","248624","428"
"P","NA","212618","sinestep3_catch.wav","None","1000","27","250624","437"
"P","NA","212618","vowelstep7.wav","None","1000","27","252624","437"
"P","NA","212618","silence.wav","None","1000","27","254625","446"
"P","NA","212618","vowelstep7.wav","None","1000","27","256625","444"
"P","NA","212618","vowelstep3.wav","None","1000","27","258625","445"
"P","NA","212618","silence.wav","None","1000","27","260625","456"
"P","NA","212618","vowelstep1.wav","None","1000","27","262625","425"
"P","NA","212618","sinestep3.wav","None","1000","27","264624","433"
"P","NA","212618","vowelstep1.wav","None","1000","27","266624","439"
"P","NA","212618","silence.wav","None","1000","27","268624","447"
"P","NA","212618","sinestep7.wav","None","1000","27","270625","447"
"P","NA","212618","sinestep5_catch.wav","None","1000","27","272625","446"
"P","NA","212618","silence.wav","None","1000","27","274625","446"
"P","NA","212618","sinestep7.wav","None","1000","27","276625","434"
"P","NA","212618","sinestep5.wav","None","1000","27","278625","437"
"P","NA","212618","sinestep3.wav","None","1000","27","280625","436"
"P","NA","212618","sinestep1_catch.wav","None","1000","27","282625","445"
"P","NA","212618","vowelstep3_catch.wav","None","1000","27","284625","446"
"P","NA","212618","vowelstep5_catch.wav","None","1000","27","286625","447"
"P","NA","212618","vowelstep7.wav","None","1000","27","288625","456"
"P","NA","212618","silence.wav","None","1000","27","290625","427"
"P","NA","212618","vowelstep7_catch.wav","None","1000","27","292625","436"
"P","NA","212618","vowelstep3.wav","None","1000","27","294625","435"
"P","NA","212618","silence.wav","None","1000","27","296625","445"
"P","NA","212618","sinestep7_catch.wav","None","1000","27","298625","444"
"P","NA","212618","sinestep7.wav","None","1000","27","300625","445"
"P","NA","212618","vowelstep5.wav","None","1000","27","302625","445"
"P","NA","212618","vowelstep3.wav","None","1000","27","304625","435"
"P","NA","212618","sinestep5.wav","None","1000","27","306626","435"
"P","NA","212618","sinestep5_catch.wav","None","1000","27","308626","434"
"P","NA","212618","sinestep3.wav","None","1000","27","310626","434"
"P","NA","212618","silence.wav","None","1000","27","312626","444"
"P","NA","212618","vowelstep7.wav","None","1000","27","314625","444"
"P","NA","212618","sinestep3_catch.wav","None","1000","27","316625","445"
"P","NA","212618","vowelstep5.wav","None","1000","27","318625","455"
"P","NA","212618","silence.wav","None","1000","27","320625","434"
"P","NA","212618","sinestep1.wav","None","1000","27","322625","434"
"P","NA","212618","vowelstep1.wav","None","1000","27","324626","443"
"P","NA","212618","silence.wav","None","1000","27","326626","442"
"P","NA","212618","silence.wav","None","1000","27","328626","443"
"P","NA","212618","silence.wav","None","1000","27","330626","443"
"P","NA","212618","sinestep1_catch.wav","None","1000","27","332626","453"
"P","NA","212618","sinestep1.wav","None","1000","27","334626","453"
"P","NA","212618","silence.wav","None","1000","27","336626","433"
"P","NA","212618","vowelstep1_catch.wav","None","1000","27","338625","463"
"P","NA","212618","vowelstep5.wav","None","1000","27","340626","443"
"P","NA","212618","sinestep5.wav","None","1000","27","342626","442"
"P","NA","212618","vowelstep3.wav","None","1000","27","344626","442"
"P","NA","212618","silence.wav","None","1000","27","346626","453"
"P","NA","212618","silence.wav","None","1000","27","348626","453"
"P","NA","212618","sinestep7.wav","None","1000","27","350626","453"
"P","NA","212618","vowelstep5.wav","None","1000","27","352626","462"
"P","NA","212618","silence.wav","None","1000","27","354626","433"
"P","NA","212618","vowelstep3_catch.wav","None","1000","27","356626","444"
"P","NA","212618","silence.wav","None","1000","27","358627","443"
"P","NA","212618","vowelstep5.wav","None","1000","27","360627","451"
"P","NA","212618","vowelstep5_catch.wav","None","1000","27","362626","453"
"P","NA","212618","vowelstep7_catch.wav","None","1000","27","364626","453"
"P","NA","212618","sinestep3.wav","None","1000","27","366626","451"
"P","NA","212618","vowelstep5.wav","None","1000","27","368626","442"
"P","NA","212618","vowelstep3.wav","None","1000","27","370626","441"
"P","NA","212618","silence.wav","None","1000","27","372626","441"
