block,count_main_sequence,first_trial_timestamp,fname,response_catch_response,response_time_catch_response,subject_nr,time_stimulus,time_to_pad,timing
P,NA,248400,vowelstep1_catch.wav,None,1000,3,248419,0,
P,NA,248400,sinestep7_catch.wav,None,1000,3,250403,434,
P,NA,248400,vowelstep5_catch.wav,None,1000,3,252403,468,
P,NA,248400,sinestep7.wav,None,1000,3,254403,438,
P,NA,248400,sinestep7.wav,None,1000,3,256403,447,
P,NA,248400,sinestep3.wav,None,1000,3,258403,448,
P,NA,248400,sinestep1.wav,None,1000,3,260403,459,
P,NA,248400,vowelstep7.wav,None,1000,3,262419,458,
P,NA,248400,vowelstep3.wav,None,1000,3,264419,438,
P,NA,248400,silence.wav,None,1000,3,266404,438,
P,NA,248400,sinestep1.wav,None,1000,3,268404,447,
P,NA,248400,vowelstep1.wav,None,1000,3,270403,447,
P,NA,248400,sinestep5.wav,None,1000,3,272403,447,
P,NA,248400,sinestep1.wav,None,1000,3,274403,448,
P,NA,248400,sinestep1.wav,None,1000,3,276403,458,
P,NA,248400,vowelstep1.wav,None,1000,3,278403,457,
P,NA,248400,silence.wav,None,1000,3,280403,457,
P,NA,248400,silence.wav,None,1000,3,282403,448,
P,NA,248400,silence.wav,None,1000,3,284404,448,
P,NA,248400,sinestep3_catch.wav,2,281,3,286404,446,
P,NA,248400,vowelstep7.wav,None,1000,3,288404,1174,
P,NA,248400,silence.wav,None,1000,3,290404,456,
P,NA,248400,vowelstep7.wav,None,1000,3,292404,455,
P,NA,248400,vowelstep3.wav,None,1000,3,294403,456,
P,NA,248400,silence.wav,None,1000,3,296403,443,
P,NA,248400,vowelstep1.wav,None,1000,3,298403,445,
P,NA,248400,sinestep3.wav,None,1000,3,300403,446,
P,NA,248400,vowelstep1.wav,None,1000,3,302404,446,
P,NA,248400,silence.wav,None,1000,3,304404,455,
P,NA,248400,sinestep7.wav,None,1000,3,306404,453,
P,NA,248400,sinestep5_catch.wav,2,317,3,308404,465,
P,NA,248400,silence.wav,None,1000,3,310404,1149,
P,NA,248400,sinestep7.wav,None,1000,3,312404,445,
P,NA,248400,sinestep5.wav,None,1000,3,314404,446,
P,NA,248400,sinestep3.wav,None,1000,3,316404,445,
P,NA,248400,sinestep1_catch.wav,2,213,3,318403,455,
P,NA,248400,vowelstep3_catch.wav,2,493,3,320404,1240,
P,NA,248400,vowelstep5_catch.wav,2,692,3,322404,961,
P,NA,248400,vowelstep7.wav,None,1000,3,324404,741,
P,NA,248400,silence.wav,None,1000,3,326404,444,
P,NA,248400,vowelstep7_catch.wav,2,347,3,328404,444,
P,NA,248400,vowelstep3.wav,None,1000,3,330404,1096,
P,NA,248400,silence.wav,None,1000,3,332404,454,
P,NA,248400,sinestep7_catch.wav,2,319,3,334404,453,
P,NA,248400,sinestep7.wav,None,1000,3,336405,1132,
P,NA,248400,vowelstep5.wav,None,1000,3,338405,463,
P,NA,248400,vowelstep3.wav,None,1000,3,340405,441,
P,NA,248400,sinestep5.wav,None,1000,3,342405,443,
P,NA,248400,sinestep5_catch.wav,2,352,3,344404,442,
P,NA,248400,sinestep3.wav,None,1000,3,346404,1101,
P,NA,248400,silence.wav,None,1000,3,348404,454,
P,NA,248400,vowelstep7.wav,None,1000,3,350404,451,
P,NA,248400,sinestep3_catch.wav,2,305,3,352404,463,
P,NA,248400,vowelstep5.wav,None,1000,3,354405,1128,
P,NA,248400,silence.wav,None,1000,3,356405,442,
P,NA,248400,sinestep1.wav,None,1000,3,358405,442,
P,NA,248400,vowelstep1.wav,None,1000,3,360405,450,
P,NA,248400,silence.wav,None,1000,3,362405,449,
P,NA,248400,silence.wav,None,1000,3,364405,451,
P,NA,248400,silence.wav,None,1000,3,366404,462,
P,NA,248400,sinestep1_catch.wav,None,1000,3,368404,442,
P,NA,248400,sinestep1.wav,None,1000,3,370404,441,
P,NA,248400,silence.wav,None,1000,3,372405,442,
P,NA,248400,vowelstep1_catch.wav,2,508,3,374405,451,
P,NA,248400,vowelstep5.wav,None,1000,3,376405,942,
P,NA,248400,sinestep5.wav,None,1000,3,378405,451,
P,NA,248400,vowelstep3.wav,None,1000,3,380405,460,
P,NA,248400,silence.wav,None,1000,3,382405,432,
P,NA,248400,silence.wav,None,1000,3,384405,442,
P,NA,248400,sinestep7.wav,None,1000,3,386405,440,
P,NA,248400,vowelstep5.wav,None,1000,3,388405,451,
P,NA,248400,silence.wav,None,1000,3,390406,451,
P,NA,248400,vowelstep3_catch.wav,2,392,3,392405,449,
P,NA,248400,silence.wav,None,1000,3,394405,1067,
P,NA,248400,vowelstep5.wav,None,1000,3,396405,428,
P,NA,248400,vowelstep5_catch.wav,2,472,3,398405,438,
P,NA,248400,vowelstep7_catch.wav,2,895,3,400405,966,
P,NA,248400,sinestep3.wav,None,1000,3,402405,555,
P,NA,248400,vowelstep5.wav,None,1000,3,404405,449,
P,NA,248400,vowelstep3.wav,None,1000,3,406406,447,
P,NA,248400,silence.wav,None,1000,3,408406,447,
P,NA,248400,sinestep3.wav,None,1000,3,410406,439,
P,NA,248400,silence.wav,None,1000,3,412406,436,
P,NA,248400,sinestep7_catch.wav,2,217,3,414406,439,
P,NA,248400,sinestep5_catch.wav,2,501,3,416405,1221,
P,NA,248400,sinestep5.wav,None,1000,3,418405,948,
