Subj	peak.discrim	Day3Accuracy	InputFile 
cth1	3.400560772	1	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth1+tlrc[0]' 
cth2	2.431981298	0.8066298	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth2+tlrc[0]' 
cth3	2.402022869	0.968254	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth3+tlrc[0]' 
cth6	1.535103424	0.852459	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth6+tlrc[0]' 
cth8	3.966810126	0.8153846	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth8+tlrc[0]' 
cth9	3.074206469	0.9193548	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth9+tlrc[0]' 
cth10	0.697511391	0.5801105	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth10+tlrc[0]' 
cth11	4.652695748	0.9833333	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth11+tlrc[0]' 
cth12	1.105293619	0.8181818	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth12+tlrc[0]' 
cth14	1.565061854	0.875	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth14+tlrc[0]' 
cth15	0.624014441	0.7348066	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth15+tlrc[0]' 
cth16	2.440533168	1	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth16+tlrc[0]' 
cth17	2.930933221	0.875	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth17+tlrc[0]' 
cth18	1.807966857	0.8232044	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth18+tlrc[0]' 
cth20	2.67510357	0.9166667	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth20+tlrc[0]' 
cth21	3.234805743	0.9666667	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth21+tlrc[0]' 
cth22	1.754647546	0.7900552	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth22+tlrc[0]' 
cth24	0.718770641	0.5359116	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth24+tlrc[0]' 
cth25	2.995840936	0.6850829	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth25+tlrc[0]' 
cth26	2.764834528	0.9180328	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth26+tlrc[0]' 
cth27	2.163410751	0.877193	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth27+tlrc[0]' 
cth28	1.077374468	0.828125	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth28+tlrc[0]' 
cth30	4.652695748	0.9833333	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth30+tlrc[0]' 
cth31	3.423151436	0.9833333	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth31+tlrc[0]' 
cth32	0.559702173	0.6961326	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth32+tlrc[0]' 
cth34	1.096803562	0.7458564	$top_dir/group/AvsB_sine/'res_accuracy_minus_chance_cth34+tlrc[0]' 
