acc,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
0,pretest_discrimination,1,0,i-y-u_step4-step4.wav,g,1802,1,101
0,pretest_discrimination,1,1,i-y-u_step_7-step_5.wav,a,2174,1,101
33.33333333,pretest_discrimination,0,2,i-y-u_step_4-step_6.wav,g,1804,1,101
25,pretest_discrimination,1,3,i-y-u_step_5-step_3.wav,a,1453,1,101
20,pretest_discrimination,1,4,i-y-u_step6-step6.wav,g,1271,1,101
33.33333333,pretest_discrimination,0,5,i-y-u_step2-step2.wav,a,1353,1,101
28.57142857,pretest_discrimination,1,6,i-y-u_step_4-step_2.wav,a,1003,1,101
25,pretest_discrimination,1,7,i-y-u_step4-step4.wav,g,820,1,101
22.22222222,pretest_discrimination,1,8,i-y-u_step1-step1.wav,g,1025,1,101
20,pretest_discrimination,1,9,i-y-u_step_1-step_3.wav,a,804,1,101
27.27272727,pretest_discrimination,0,10,i-y-u_step3-step3.wav,a,1077,1,101
25,pretest_discrimination,1,11,i-y-u_step_5-step_7.wav,a,770,1,101
30.76923077,pretest_discrimination,0,12,i-y-u_step_3-step_5.wav,g,1429,1,101
28.57142857,pretest_discrimination,1,13,i-y-u_step1-step1.wav,g,1819,1,101
33.33333333,pretest_discrimination,0,14,i-y-u_step7-step7.wav,a,558,1,101
37.5,pretest_discrimination,0,15,i-y-u_step7-step7.wav,a,773,1,101
35.29411765,pretest_discrimination,1,16,i-y-u_step_3-step_1.wav,a,658,1,101
33.33333333,pretest_discrimination,1,17,i-y-u_step_3-step_1.wav,a,532,1,101
31.57894737,pretest_discrimination,1,18,i-y-u_step_4-step_2.wav,a,501,1,101
30,pretest_discrimination,1,19,i-y-u_step4-step4.wav,g,706,1,101
28.57142857,pretest_discrimination,1,20,i-y-u_step2-step2.wav,g,757,1,101
27.27272727,pretest_discrimination,1,21,i-y-u_step4-step4.wav,g,1298,1,101
26.08695652,pretest_discrimination,1,22,i-y-u_step_3-step_5.wav,a,1448,1,101
25,pretest_discrimination,1,23,i-y-u_step_6-step_4.wav,a,531,1,101
24,pretest_discrimination,1,24,i-y-u_step6-step6.wav,g,1279,1,101
23.07692308,pretest_discrimination,1,25,i-y-u_step2-step2.wav,g,898,1,101
22.22222222,pretest_discrimination,1,26,i-y-u_step_1-step_3.wav,a,1855,1,101
21.42857143,pretest_discrimination,1,27,i-y-u_step_5-step_7.wav,a,800,1,101
20.68965517,pretest_discrimination,1,28,i-y-u_step_3-step_5.wav,a,727,1,101
20,pretest_discrimination,1,29,i-y-u_step_7-step_5.wav,a,939,1,101
22.58064516,pretest_discrimination,0,30,i-y-u_step_6-step_4.wav,g,693,1,101
21.875,pretest_discrimination,1,31,i-y-u_step_4-step_6.wav,a,681,1,101
24.24242424,pretest_discrimination,0,32,i-y-u_step_1-step_3.wav,g,897,1,101
