"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step_6-step_4.wav","g","1305","2","202"
"100","pretest_discrimination","1","1","i-y-u_step5-step5.wav","a","1040","2","202"
"66.6666666667","pretest_discrimination","0","2","i-y-u_step_5-step_7.wav","a","1398","2","202"
"50","pretest_discrimination","0","3","i-y-u_step3-step3.wav","g","2571","2","202"
"60","pretest_discrimination","1","4","i-y-u_step_7-step_5.wav","g","507","2","202"
"50","pretest_discrimination","0","5","i-y-u_step_2-step_4.wav","a","1743","2","202"
"57.1428571429","pretest_discrimination","1","6","i-y-u_step4-step4.wav","a","1177","2","202"
"62.5","pretest_discrimination","1","7","i-y-u_step3-step3.wav","a","939","2","202"
"66.6666666667","pretest_discrimination","1","8","i-y-u_step1-step1.wav","a","682","2","202"
"60","pretest_discrimination","0","9","i-y-u_step_1-step_3.wav","a","414","2","202"
"63.6363636364","pretest_discrimination","1","10","i-y-u_step_3-step_5.wav","g","292","2","202"
"66.6666666667","pretest_discrimination","1","11","i-y-u_step6-step6.wav","a","765","2","202"
"69.2307692308","pretest_discrimination","1","12","i-y-u_step4-step4.wav","a","324","2","202"
"64.2857142857","pretest_discrimination","0","13","i-y-u_step_5-step_3.wav","a","1843","2","202"
"60","pretest_discrimination","0","14","i-y-u_step_4-step_2.wav","a","512","2","202"
"62.5","pretest_discrimination","1","15","i-y-u_step_6-step_4.wav","g","300","2","202"
"58.8235294118","pretest_discrimination","0","16","i-y-u_step_2-step_4.wav","a","204","2","202"
"61.1111111111","pretest_discrimination","1","17","i-y-u_step7-step7.wav","a","614","2","202"
"63.1578947368","pretest_discrimination","1","18","i-y-u_step7-step7.wav","a","1012","2","202"
"65","pretest_discrimination","1","19","i-y-u_step7-step7.wav","a","444","2","202"
"61.9047619048","pretest_discrimination","0","20","i-y-u_step_3-step_1.wav","a","355","2","202"
"63.6363636364","pretest_discrimination","1","21","i-y-u_step5-step5.wav","a","1228","2","202"
"60.8695652174","pretest_discrimination","0","22","i-y-u_step_4-step_2.wav","a","2565","2","202"
"62.5","pretest_discrimination","1","23","i-y-u_step5-step5.wav","a","1121","2","202"
"64","pretest_discrimination","1","24","i-y-u_step_3-step_1.wav","g","707","2","202"
"65.3846153846","pretest_discrimination","1","25","i-y-u_step_6-step_4.wav","g","268","2","202"
"62.962962963","pretest_discrimination","0","26","i-y-u_step_4-step_2.wav","a","356","2","202"
"64.2857142857","pretest_discrimination","1","27","i-y-u_step5-step5.wav","a","605","2","202"
"65.5172413793","pretest_discrimination","1","28","i-y-u_step5-step5.wav","a","854","2","202"
"66.6666666667","pretest_discrimination","1","29","i-y-u_step_7-step_5.wav","g","231","2","202"
"64.5161290323","pretest_discrimination","0","30","i-y-u_step_3-step_1.wav","a","612","2","202"
"62.5","pretest_discrimination","0","31","i-y-u_step_3-step_1.wav","a","500","2","202"
"60.6060606061","pretest_discrimination","0","32","i-y-u_step_5-step_3.wav","a","463","2","202"
"58.8235294118","pretest_discrimination","0","33","i-y-u_step_3-step_1.wav","a","316","2","202"
"60","pretest_discrimination","1","34","i-y-u_step_1-step_3.wav","g","355","2","202"
"58.3333333333","pretest_discrimination","0","35","i-y-u_step_3-step_5.wav","a","1330","2","202"
"59.4594594595","pretest_discrimination","1","36","i-y-u_step3-step3.wav","a","1636","2","202"
"60.5263157895","pretest_discrimination","1","37","i-y-u_step_5-step_7.wav","g","483","2","202"
"61.5384615385","pretest_discrimination","1","38","i-y-u_step_6-step_4.wav","g","234","2","202"
"60","pretest_discrimination","0","39","i-y-u_step2-step2.wav","g","606","2","202"
"60.9756097561","pretest_discrimination","1","40","i-y-u_step_2-step_4.wav","g","601","2","202"
"59.5238095238","pretest_discrimination","0","41","i-y-u_step_1-step_3.wav","a","1127","2","202"
"58.1395348837","pretest_discrimination","0","42","i-y-u_step_4-step_6.wav","a","499","2","202"
"59.0909090909","pretest_discrimination","1","43","i-y-u_step_5-step_7.wav","g","673","2","202"
"60","pretest_discrimination","1","44","i-y-u_step_4-step_6.wav","g","402","2","202"
"60.8695652174","pretest_discrimination","1","45","i-y-u_step2-step2.wav","a","634","2","202"
"59.5744680851","pretest_discrimination","0","46","i-y-u_step_4-step_6.wav","a","1002","2","202"
"60.4166666667","pretest_discrimination","1","47","i-y-u_step2-step2.wav","a","607","2","202"
"59.1836734694","pretest_discrimination","0","48","i-y-u_step_2-step_4.wav","a","1120","2","202"
"60","pretest_discrimination","1","49","i-y-u_step_2-step_4.wav","g","250","2","202"
"60.7843137255","pretest_discrimination","1","50","i-y-u_step_7-step_5.wav","g","305","2","202"
"59.6153846154","pretest_discrimination","0","51","i-y-u_step_5-step_3.wav","a","1966","2","202"
"58.4905660377","pretest_discrimination","0","52","i-y-u_step_5-step_3.wav","a","414","2","202"
"57.4074074074","pretest_discrimination","0","53","i-y-u_step_5-step_3.wav","a","343","2","202"
"58.1818181818","pretest_discrimination","1","54","i-y-u_step4-step4.wav","a","169","2","202"
"57.1428571429","pretest_discrimination","0","55","i-y-u_step_4-step_6.wav","a","225","2","202"
"57.8947368421","pretest_discrimination","1","56","i-y-u_step1-step1.wav","a","325","2","202"
"58.6206896552","pretest_discrimination","1","57","i-y-u_step4-step4.wav","a","282","2","202"
"59.3220338983","pretest_discrimination","1","58","i-y-u_step4-step4.wav","a","535","2","202"
"60","pretest_discrimination","1","59","i-y-u_step2-step2.wav","a","1947","2","202"
"60.6557377049","pretest_discrimination","1","60","i-y-u_step4-step4.wav","a","1108","2","202"
"59.6774193548","pretest_discrimination","0","61","i-y-u_step_3-step_5.wav","a","1032","2","202"
"60.3174603175","pretest_discrimination","1","62","i-y-u_step1-step1.wav","a","805","2","202"
"59.375","pretest_discrimination","0","63","i-y-u_step_1-step_3.wav","a","1723","2","202"
"60","pretest_discrimination","1","64","i-y-u_step_7-step_5.wav","g","2219","2","202"
"60.6060606061","pretest_discrimination","1","65","i-y-u_step3-step3.wav","a","558","2","202"
"61.1940298507","pretest_discrimination","1","66","i-y-u_step_7-step_5.wav","g","2153","2","202"
"61.7647058824","pretest_discrimination","1","67","i-y-u_step_7-step_5.wav","g","334","2","202"
"62.3188405797","pretest_discrimination","1","68","i-y-u_step_5-step_7.wav","g","464","2","202"
"62.8571428571","pretest_discrimination","1","69","i-y-u_step6-step6.wav","a","1439","2","202"
"63.3802816901","pretest_discrimination","1","70","i-y-u_step_4-step_6.wav","g","669","2","202"
"62.5","pretest_discrimination","0","71","i-y-u_step_5-step_3.wav","a","233","2","202"
"61.6438356164","pretest_discrimination","0","72","i-y-u_step_3-step_1.wav","a","179","2","202"
"62.1621621622","pretest_discrimination","1","73","i-y-u_step_7-step_5.wav","g","548","2","202"
"62.6666666667","pretest_discrimination","1","74","i-y-u_step7-step7.wav","a","719","2","202"
"63.1578947368","pretest_discrimination","1","75","i-y-u_step4-step4.wav","a","1780","2","202"
"63.6363636364","pretest_discrimination","1","76","i-y-u_step4-step4.wav","a","601","2","202"
"64.1025641026","pretest_discrimination","1","77","i-y-u_step1-step1.wav","a","329","2","202"
"64.5569620253","pretest_discrimination","1","78","i-y-u_step6-step6.wav","a","975","2","202"
"65","pretest_discrimination","1","79","i-y-u_step_5-step_7.wav","g","378","2","202"
"65.4320987654","pretest_discrimination","1","80","i-y-u_step6-step6.wav","a","671","2","202"
"64.6341463415","pretest_discrimination","0","81","i-y-u_step_3-step_5.wav","a","397","2","202"
"63.8554216867","pretest_discrimination","0","82","i-y-u_step_3-step_1.wav","a","1624","2","202"
"64.2857142857","pretest_discrimination","1","83","i-y-u_step3-step3.wav","a","330","2","202"
"64.7058823529","pretest_discrimination","1","84","i-y-u_step1-step1.wav","a","452","2","202"
"63.9534883721","pretest_discrimination","0","85","i-y-u_step_5-step_3.wav","a","1701","2","202"
"63.2183908046","pretest_discrimination","0","86","i-y-u_step_3-step_5.wav","a","940","2","202"
"63.6363636364","pretest_discrimination","1","87","i-y-u_step7-step7.wav","a","669","2","202"
"62.9213483146","pretest_discrimination","0","88","i-y-u_step_4-step_2.wav","a","2242","2","202"
"63.3333333333","pretest_discrimination","1","89","i-y-u_step2-step2.wav","a","249","2","202"
"63.7362637363","pretest_discrimination","1","90","i-y-u_step_1-step_3.wav","g","288","2","202"
"63.0434782609","pretest_discrimination","0","91","i-y-u_step_1-step_3.wav","a","115","2","202"
"62.3655913978","pretest_discrimination","0","92","i-y-u_step_4-step_6.wav","a","1827","2","202"
"62.7659574468","pretest_discrimination","1","93","i-y-u_step_5-step_7.wav","g","389","2","202"
"63.1578947368","pretest_discrimination","1","94","i-y-u_step2-step2.wav","a","2218","2","202"
"63.5416666667","pretest_discrimination","1","95","i-y-u_step4-step4.wav","a","240","2","202"
"62.8865979381","pretest_discrimination","0","96","i-y-u_step_3-step_1.wav","a","1219","2","202"
"62.2448979592","pretest_discrimination","0","97","i-y-u_step_3-step_1.wav","a","475","2","202"
"62.6262626263","pretest_discrimination","1","98","i-y-u_step1-step1.wav","a","345","2","202"
"63","pretest_discrimination","1","99","i-y-u_step1-step1.wav","a","367","2","202"
"62.3762376238","pretest_discrimination","0","100","i-y-u_step_5-step_3.wav","a","420","2","202"
"62.7450980392","pretest_discrimination","1","101","i-y-u_step5-step5.wav","a","420","2","202"
"63.1067961165","pretest_discrimination","1","102","i-y-u_step3-step3.wav","a","370","2","202"
"62.5","pretest_discrimination","0","103","i-y-u_step_3-step_5.wav","a","755","2","202"
"62.8571428571","pretest_discrimination","1","104","i-y-u_step6-step6.wav","a","1227","2","202"
"63.2075471698","pretest_discrimination","1","105","i-y-u_step1-step1.wav","a","417","2","202"
