"acc","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"100","training_vowel","1","0","vowelstep3.wav","a","868","304"
"100","training_vowel","1","1","vowelstep5.wav","g","409","304"
"100","training_vowel","1","2","vowelstep3.wav","a","237","304"
"100","training_vowel","1","3","vowelstep3.wav","a","212","304"
"100","training_vowel","1","4","vowelstep3.wav","a","161","304"
"100","training_vowel","1","5","vowelstep7.wav","g","170","304"
"100","training_vowel","1","6","vowelstep7.wav","g","180","304"
"100","training_vowel","1","7","vowelstep3.wav","a","107","304"
"100","training_vowel","1","8","vowelstep3.wav","a","179","304"
"90","training_vowel","0","9","vowelstep1.wav","g","161","304"
"81.8181818182","training_vowel","0","10","vowelstep5.wav","a","65","304"
"75","training_vowel","0","11","vowelstep1.wav","g","311","304"
"76.9230769231","training_vowel","1","12","vowelstep3.wav","a","957","304"
"78.5714285714","training_vowel","1","13","vowelstep1.wav","a","702","304"
"80","training_vowel","1","14","vowelstep3.wav","a","554","304"
"75","training_vowel","0","15","vowelstep1.wav","g","584","304"
"76.4705882353","training_vowel","1","16","vowelstep1.wav","a","273","304"
"72.2222222222","training_vowel","0","17","vowelstep1.wav","g","736","304"
"73.6842105263","training_vowel","1","18","vowelstep3.wav","a","388","304"
"75","training_vowel","1","19","vowelstep7.wav","g","1384","304"
"76.1904761905","training_vowel","1","20","vowelstep1.wav","a","386","304"
"77.2727272727","training_vowel","1","21","vowelstep7.wav","g","832","304"
"78.2608695652","training_vowel","1","22","vowelstep5.wav","g","554","304"
"79.1666666667","training_vowel","1","23","vowelstep7.wav","g","477","304"
"80","training_vowel","1","24","vowelstep3.wav","a","366","304"
"76.9230769231","training_vowel","0","25","vowelstep5.wav","a","696","304"
"77.7777777778","training_vowel","1","26","vowelstep3.wav","a","416","304"
"75","training_vowel","0","27","vowelstep5.wav","a","325","304"
"75.8620689655","training_vowel","1","28","vowelstep1.wav","a","138","304"
"76.6666666667","training_vowel","1","29","vowelstep3.wav","a","1757","304"
"77.4193548387","training_vowel","1","30","vowelstep7.wav","g","576","304"
"78.125","training_vowel","1","31","vowelstep5.wav","g","3059","304"
"75.7575757576","training_vowel","0","32","vowelstep5.wav","a","752","304"
"76.4705882353","training_vowel","1","33","vowelstep3.wav","a","879","304"
"74.2857142857","training_vowel","0","34","vowelstep5.wav","a","816","304"
"75","training_vowel","1","35","vowelstep1.wav","a","496","304"
"75.6756756757","training_vowel","1","36","vowelstep3.wav","a","487","304"
"76.3157894737","training_vowel","1","37","vowelstep1.wav","a","419","304"
"74.358974359","training_vowel","0","38","vowelstep5.wav","a","518","304"
"75","training_vowel","1","39","vowelstep1.wav","a","418","304"
"73.1707317073","training_vowel","0","40","vowelstep5.wav","a","622","304"
"73.8095238095","training_vowel","1","41","vowelstep1.wav","a","335","304"
"74.4186046512","training_vowel","1","42","vowelstep5.wav","g","572","304"
"75","training_vowel","1","43","vowelstep1.wav","a","289","304"
"73.3333333333","training_vowel","0","44","vowelstep3.wav","g","1803","304"
"73.9130434783","training_vowel","1","45","vowelstep5.wav","g","1547","304"
"74.4680851064","training_vowel","1","46","vowelstep3.wav","a","1161","304"
"72.9166666667","training_vowel","0","47","vowelstep3.wav","g","1103","304"
"73.4693877551","training_vowel","1","48","vowelstep7.wav","g","959","304"
"74","training_vowel","1","49","vowelstep1.wav","a","645","304"
"74.5098039216","training_vowel","1","50","vowelstep1.wav","a","501","304"
"75","training_vowel","1","51","vowelstep5.wav","g","855","304"
"75.4716981132","training_vowel","1","52","vowelstep7.wav","g","481","304"
"75.9259259259","training_vowel","1","53","vowelstep5.wav","g","1070","304"
"76.3636363636","training_vowel","1","54","vowelstep1.wav","a","434","304"
"76.7857142857","training_vowel","1","55","vowelstep7.wav","g","402","304"
"77.1929824561","training_vowel","1","56","vowelstep1.wav","a","340","304"
"77.5862068966","training_vowel","1","57","vowelstep7.wav","g","332","304"
"77.9661016949","training_vowel","1","58","vowelstep1.wav","a","351","304"
"78.3333333333","training_vowel","1","59","vowelstep7.wav","g","260","304"
"78.6885245902","training_vowel","1","60","vowelstep3.wav","a","457","304"
"79.0322580645","training_vowel","1","61","vowelstep1.wav","a","339","304"
"79.3650793651","training_vowel","1","62","vowelstep5.wav","g","1212","304"
"79.6875","training_vowel","1","63","vowelstep3.wav","a","423","304"
"80","training_vowel","1","64","vowelstep1.wav","a","701","304"
"80.303030303","training_vowel","1","65","vowelstep7.wav","g","434","304"
"80.5970149254","training_vowel","1","66","vowelstep1.wav","a","411","304"
"80.8823529412","training_vowel","1","67","vowelstep3.wav","a","542","304"
"81.1594202899","training_vowel","1","68","vowelstep7.wav","g","747","304"
"81.4285714286","training_vowel","1","69","vowelstep5.wav","g","959","304"
"80.2816901408","training_vowel","0","70","vowelstep5.wav","a","421","304"
"79.1666666667","training_vowel","0","71","vowelstep5.wav","a","771","304"
"79.4520547945","training_vowel","1","72","vowelstep7.wav","g","459","304"
"79.7297297297","training_vowel","1","73","vowelstep1.wav","a","342","304"
"80","training_vowel","1","74","vowelstep7.wav","g","484","304"
"80.2631578947","training_vowel","1","75","vowelstep1.wav","a","760","304"
"80.5194805195","training_vowel","1","76","vowelstep3.wav","a","751","304"
