"accuracy","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"0","pretest_discrimination","0","0","iyu_step_6-step_4.wav","g","2010","103"
"50","pretest_discrimination","1","1","iyu_step_2-step_4.wav","a","1014","103"
"33.3333333333","pretest_discrimination","0","2","iyu_step_5-step_5.wav","g","645","103"
"50","pretest_discrimination","1","3","iyu_step_3-step_3.wav","g","1471","103"
"60","pretest_discrimination","1","4","iyu_step_1-step_1.wav","g","605","103"
"50","pretest_discrimination","0","5","iyu_step_5-step_5.wav","g","681","103"
"42.8571428571","pretest_discrimination","0","6","iyu_step_1-step_3.wav","g","706","103"
"50","pretest_discrimination","1","7","iyu_step_3-step_5.wav","a","457","103"
"44.4444444444","pretest_discrimination","0","8","iyu_step_5-step_5.wav","g","872","103"
"50","pretest_discrimination","1","9","iyu_step_4-step_6.wav","a","512","103"
"54.5454545455","pretest_discrimination","1","10","iyu_step_3-step_1.wav","a","671","103"
"58.3333333333","pretest_discrimination","1","11","iyu_step_3-step_5.wav","a","772","103"
"61.5384615385","pretest_discrimination","1","12","iyu_step_1-step_1.wav","g","488","103"
"64.2857142857","pretest_discrimination","1","13","iyu_step_2-step_4.wav","a","376","103"
"66.6666666667","pretest_discrimination","1","14","iyu_step_6-step_4.wav","a","825","103"
"68.75","pretest_discrimination","1","15","iyu_step_7-step_5.wav","a","656","103"
"70.5882352941","pretest_discrimination","1","16","iyu_step_3-step_1.wav","a","1773","103"
"66.6666666667","pretest_discrimination","0","17","iyu_step_6-step_4.wav","g","1021","103"
"68.4210526316","pretest_discrimination","1","18","iyu_step_7-step_7.wav","g","609","103"
"65","pretest_discrimination","0","19","iyu_step_3-step_1.wav","g","618","103"
"61.9047619048","pretest_discrimination","0","20","iyu_step_5-step_5.wav","a","297","103"
"63.6363636364","pretest_discrimination","1","21","iyu_step_3-step_5.wav","a","826","103"
"65.2173913043","pretest_discrimination","1","22","iyu_step_3-step_3.wav","g","452","103"
"66.6666666667","pretest_discrimination","1","23","iyu_step_7-step_7.wav","g","381","103"
"64","pretest_discrimination","0","24","iyu_step_5-step_3.wav","g","1035","103"
"65.3846153846","pretest_discrimination","1","25","iyu_step_4-step_4.wav","g","540","103"
"62.962962963","pretest_discrimination","0","26","iyu_step_5-step_5.wav","g","450","103"
"64.2857142857","pretest_discrimination","1","27","iyu_step_4-step_6.wav","a","400","103"
"65.5172413793","pretest_discrimination","1","28","iyu_step_6-step_6.wav","g","606","103"
"66.6666666667","pretest_discrimination","1","29","iyu_step_1-step_1.wav","g","440","103"
"67.7419354839","pretest_discrimination","1","30","iyu_step_2-step_2.wav","g","395","103"
"65.625","pretest_discrimination","0","31","iyu_step_1-step_3.wav","g","1232","103"
"66.6666666667","pretest_discrimination","1","32","iyu_step_1-step_3.wav","a","416","103"
"67.6470588235","pretest_discrimination","1","33","iyu_step_7-step_7.wav","g","481","103"
"68.5714285714","pretest_discrimination","1","34","iyu_step_4-step_2.wav","a","521","103"
"69.4444444444","pretest_discrimination","1","35","iyu_step_2-step_2.wav","g","339","103"
"70.2702702703","pretest_discrimination","1","36","iyu_step_3-step_3.wav","g","1024","103"
"71.0526315789","pretest_discrimination","1","37","iyu_step_3-step_3.wav","g","391","103"
"71.7948717949","pretest_discrimination","1","38","iyu_step_2-step_2.wav","g","383","103"
"72.5","pretest_discrimination","1","39","iyu_step_4-step_6.wav","a","354","103"
"73.1707317073","pretest_discrimination","1","40","iyu_step_6-step_6.wav","g","309","103"
"73.8095238095","pretest_discrimination","1","41","iyu_step_6-step_6.wav","g","440","103"
"74.4186046512","pretest_discrimination","1","42","iyu_step_3-step_5.wav","a","307","103"
"75","pretest_discrimination","1","43","iyu_step_5-step_7.wav","a","686","103"
"75.5555555556","pretest_discrimination","1","44","iyu_step_6-step_4.wav","a","402","103"
"76.0869565217","pretest_discrimination","1","45","iyu_step_4-step_4.wav","g","326","103"
"76.5957446809","pretest_discrimination","1","46","iyu_step_7-step_7.wav","g","300","103"
"75","pretest_discrimination","0","47","iyu_step_5-step_5.wav","g","450","103"
"75.5102040816","pretest_discrimination","1","48","iyu_step_3-step_3.wav","g","402","103"
"76","pretest_discrimination","1","49","iyu_step_6-step_6.wav","g","471","103"
"76.4705882353","pretest_discrimination","1","50","iyu_step_3-step_5.wav","a","687","103"
"76.9230769231","pretest_discrimination","1","51","iyu_step_1-step_3.wav","a","386","103"
"75.4716981132","pretest_discrimination","0","52","iyu_step_7-step_5.wav","g","1505","103"
"75.9259259259","pretest_discrimination","1","53","iyu_step_3-step_3.wav","g","351","103"
"74.5454545455","pretest_discrimination","0","54","iyu_step_1-step_3.wav","g","499","103"
"73.2142857143","pretest_discrimination","0","55","iyu_step_1-step_3.wav","g","495","103"
"73.6842105263","pretest_discrimination","1","56","iyu_step_4-step_6.wav","a","324","103"
"74.1379310345","pretest_discrimination","1","57","iyu_step_3-step_1.wav","a","1002","103"
"72.8813559322","pretest_discrimination","0","58","iyu_step_7-step_5.wav","g","909","103"
"73.3333333333","pretest_discrimination","1","59","iyu_step_6-step_4.wav","a","1442","103"
"72.131147541","pretest_discrimination","0","60","iyu_step_5-step_7.wav","g","1137","103"
"72.5806451613","pretest_discrimination","1","61","iyu_step_5-step_3.wav","a","428","103"
"73.0158730159","pretest_discrimination","1","62","iyu_step_4-step_2.wav","a","680","103"
"73.4375","pretest_discrimination","1","63","iyu_step_5-step_3.wav","a","582","103"
"72.3076923077","pretest_discrimination","0","64","iyu_step_4-step_6.wav","g","1674","103"
"72.7272727273","pretest_discrimination","1","65","iyu_step_3-step_5.wav","a","601","103"
"73.1343283582","pretest_discrimination","1","66","iyu_step_2-step_4.wav","a","409","103"
"73.5294117647","pretest_discrimination","1","67","iyu_step_2-step_2.wav","g","356","103"
"73.9130434783","pretest_discrimination","1","68","iyu_step_1-step_1.wav","g","421","103"
"74.2857142857","pretest_discrimination","1","69","iyu_step_4-step_6.wav","a","361","103"
"73.2394366197","pretest_discrimination","0","70","iyu_step_5-step_5.wav","g","363","103"
"73.6111111111","pretest_discrimination","1","71","iyu_step_1-step_1.wav","g","355","103"
"73.9726027397","pretest_discrimination","1","72","iyu_step_6-step_6.wav","g","333","103"
"74.3243243243","pretest_discrimination","1","73","iyu_step_2-step_2.wav","g","414","103"
"74.6666666667","pretest_discrimination","1","74","iyu_step_5-step_7.wav","a","170","103"
"75","pretest_discrimination","1","75","iyu_step_7-step_7.wav","g","318","103"
"75.3246753247","pretest_discrimination","1","76","iyu_step_5-step_3.wav","a","404","103"
"75.641025641","pretest_discrimination","1","77","iyu_step_3-step_1.wav","a","474","103"
"75.9493670886","pretest_discrimination","1","78","iyu_step_6-step_4.wav","a","911","103"
"76.25","pretest_discrimination","1","79","iyu_step_2-step_2.wav","g","370","103"
"76.5432098765","pretest_discrimination","1","80","iyu_step_3-step_1.wav","a","434","103"
"76.8292682927","pretest_discrimination","1","81","iyu_step_3-step_5.wav","a","321","103"
"77.1084337349","pretest_discrimination","1","82","iyu_step_2-step_4.wav","a","306","103"
"77.380952381","pretest_discrimination","1","83","iyu_step_3-step_1.wav","a","760","103"
"77.6470588235","pretest_discrimination","1","84","iyu_step_7-step_7.wav","g","249","103"
"76.7441860465","pretest_discrimination","0","85","iyu_step_5-step_5.wav","g","380","103"
"77.0114942529","pretest_discrimination","1","86","iyu_step_4-step_2.wav","a","348","103"
"77.2727272727","pretest_discrimination","1","87","iyu_step_4-step_2.wav","a","351","103"
"77.5280898876","pretest_discrimination","1","88","iyu_step_3-step_1.wav","a","426","103"
"77.7777777778","pretest_discrimination","1","89","iyu_step_1-step_1.wav","g","428","103"
"78.021978022","pretest_discrimination","1","90","iyu_step_7-step_7.wav","g","380","103"
"78.2608695652","pretest_discrimination","1","91","iyu_step_7-step_5.wav","a","477","103"
"77.4193548387","pretest_discrimination","0","92","iyu_step_7-step_5.wav","g","472","103"
"77.6595744681","pretest_discrimination","1","93","iyu_step_4-step_6.wav","a","304","103"
"77.8947368421","pretest_discrimination","1","94","iyu_step_5-step_3.wav","a","357","103"
"77.0833333333","pretest_discrimination","0","95","iyu_step_5-step_5.wav","g","342","103"
"76.2886597938","pretest_discrimination","0","96","iyu_step_5-step_7.wav","g","498","103"
"75.5102040816","pretest_discrimination","0","97","iyu_step_5-step_5.wav","g","1016","103"
"75.7575757576","pretest_discrimination","1","98","iyu_step_4-step_4.wav","g","402","103"
"76","pretest_discrimination","1","99","iyu_step_7-step_7.wav","g","448","103"
"76.2376237624","pretest_discrimination","1","100","iyu_step_7-step_7.wav","g","1626","103"
"76.4705882353","pretest_discrimination","1","101","iyu_step_4-step_4.wav","g","452","103"
"76.6990291262","pretest_discrimination","1","102","iyu_step_2-step_2.wav","g","386","103"
"76.9230769231","pretest_discrimination","1","103","iyu_step_7-step_5.wav","a","1185","103"
"77.1428571429","pretest_discrimination","1","104","iyu_step_4-step_2.wav","a","331","103"
"77.358490566","pretest_discrimination","1","105","iyu_step_6-step_6.wav","g","468","103"
"77.5700934579","pretest_discrimination","1","106","iyu_step_4-step_2.wav","a","362","103"
"77.7777777778","pretest_discrimination","1","107","iyu_step_2-step_4.wav","a","417","103"
"77.9816513761","pretest_discrimination","1","108","iyu_step_5-step_3.wav","a","537","103"
"78.1818181818","pretest_discrimination","1","109","iyu_step_3-step_1.wav","a","486","103"
"78.3783783784","pretest_discrimination","1","110","iyu_step_1-step_1.wav","g","371","103"
"78.5714285714","pretest_discrimination","1","111","iyu_step_1-step_3.wav","a","427","103"
"78.7610619469","pretest_discrimination","1","112","iyu_step_1-step_3.wav","a","429","103"
"78.9473684211","pretest_discrimination","1","113","iyu_step_1-step_3.wav","a","597","103"
"79.1304347826","pretest_discrimination","1","114","iyu_step_4-step_4.wav","g","351","103"
"79.3103448276","pretest_discrimination","1","115","iyu_step_4-step_6.wav","a","378","103"
"79.4871794872","pretest_discrimination","1","116","iyu_step_1-step_1.wav","g","452","103"
"79.6610169492","pretest_discrimination","1","117","iyu_step_5-step_3.wav","a","494","103"
"79.8319327731","pretest_discrimination","1","118","iyu_step_3-step_3.wav","g","453","103"
"80","pretest_discrimination","1","119","iyu_step_5-step_7.wav","a","578","103"
"80.1652892562","pretest_discrimination","1","120","iyu_step_5-step_7.wav","a","678","103"
"80.3278688525","pretest_discrimination","1","121","iyu_step_1-step_3.wav","a","499","103"
"80.487804878","pretest_discrimination","1","122","iyu_step_3-step_1.wav","a","606","103"
"80.6451612903","pretest_discrimination","1","123","iyu_step_4-step_2.wav","a","580","103"
"80.8","pretest_discrimination","1","124","iyu_step_6-step_4.wav","a","560","103"
"80.9523809524","pretest_discrimination","1","125","iyu_step_2-step_4.wav","a","458","103"
"81.1023622047","pretest_discrimination","1","126","iyu_step_4-step_4.wav","g","299","103"
"81.25","pretest_discrimination","1","127","iyu_step_6-step_6.wav","g","321","103"
"81.3953488372","pretest_discrimination","1","128","iyu_step_6-step_4.wav","a","362","103"
"81.5384615385","pretest_discrimination","1","129","iyu_step_6-step_6.wav","g","352","103"
"81.679389313","pretest_discrimination","1","130","iyu_step_5-step_3.wav","a","311","103"
"81.8181818182","pretest_discrimination","1","131","iyu_step_3-step_5.wav","a","387","103"
"81.954887218","pretest_discrimination","1","132","iyu_step_4-step_4.wav","g","434","103"
"81.3432835821","pretest_discrimination","0","133","iyu_step_1-step_3.wav","g","641","103"
"81.4814814815","pretest_discrimination","1","134","iyu_step_4-step_6.wav","a","378","103"
"81.6176470588","pretest_discrimination","1","135","iyu_step_4-step_2.wav","a","352","103"
"81.7518248175","pretest_discrimination","1","136","iyu_step_6-step_4.wav","a","431","103"
"81.884057971","pretest_discrimination","1","137","iyu_step_1-step_1.wav","g","482","103"
"82.0143884892","pretest_discrimination","1","138","iyu_step_7-step_7.wav","g","431","103"
"82.1428571429","pretest_discrimination","1","139","iyu_step_6-step_4.wav","a","393","103"
"82.2695035461","pretest_discrimination","1","140","iyu_step_7-step_5.wav","a","684","103"
"82.3943661972","pretest_discrimination","1","141","iyu_step_4-step_4.wav","g","426","103"
"82.5174825175","pretest_discrimination","1","142","iyu_step_2-step_2.wav","g","406","103"
"82.6388888889","pretest_discrimination","1","143","iyu_step_7-step_5.wav","a","611","103"
"82.7586206897","pretest_discrimination","1","144","iyu_step_7-step_5.wav","a","2259","103"
"82.8767123288","pretest_discrimination","1","145","iyu_step_4-step_2.wav","a","395","103"
"82.3129251701","pretest_discrimination","0","146","iyu_step_7-step_5.wav","g","686","103"
"82.4324324324","pretest_discrimination","1","147","iyu_step_4-step_4.wav","g","454","103"
"82.5503355705","pretest_discrimination","1","148","iyu_step_4-step_4.wav","g","389","103"
"82.6666666667","pretest_discrimination","1","149","iyu_step_5-step_7.wav","a","955","103"
"82.7814569536","pretest_discrimination","1","150","iyu_step_5-step_7.wav","a","822","103"
"82.8947368421","pretest_discrimination","1","151","iyu_step_2-step_4.wav","a","563","103"
"83.0065359477","pretest_discrimination","1","152","iyu_step_3-step_5.wav","a","401","103"
"83.1168831169","pretest_discrimination","1","153","iyu_step_3-step_3.wav","g","346","103"
"83.2258064516","pretest_discrimination","1","154","iyu_step_3-step_3.wav","g","418","103"
"83.3333333333","pretest_discrimination","1","155","iyu_step_3-step_3.wav","g","476","103"
"83.4394904459","pretest_discrimination","1","156","iyu_step_4-step_2.wav","a","451","103"
"83.5443037975","pretest_discrimination","1","157","iyu_step_2-step_2.wav","g","410","103"
"83.6477987421","pretest_discrimination","1","158","iyu_step_3-step_3.wav","g","397","103"
"83.75","pretest_discrimination","1","159","iyu_step_4-step_4.wav","g","450","103"
"83.850931677","pretest_discrimination","1","160","iyu_step_6-step_6.wav","g","340","103"
"83.950617284","pretest_discrimination","1","161","iyu_step_2-step_4.wav","a","379","103"
"84.0490797546","pretest_discrimination","1","162","iyu_step_6-step_4.wav","a","581","103"
"84.1463414634","pretest_discrimination","1","163","iyu_step_2-step_2.wav","g","328","103"
"84.2424242424","pretest_discrimination","1","164","iyu_step_2-step_2.wav","g","305","103"
