accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
100,pretest_discrimination,1,0,iyu_step_1-step_1.wav,a,4266,3,603
50,pretest_discrimination,0,1,iyu_step_5-step_7.wav,a,5945,3,603
33.33333333,pretest_discrimination,0,2,iyu_step_6-step_4.wav,a,1405,3,603
25,pretest_discrimination,0,3,iyu_step_7-step_5.wav,a,209,3,603
20,pretest_discrimination,0,4,iyu_step_3-step_5.wav,a,616,3,603
16.66666667,pretest_discrimination,0,5,iyu_step_5-step_3.wav,a,518,3,603
28.57142857,pretest_discrimination,1,6,iyu_step_1-step_3.wav,g,544,3,603
37.5,pretest_discrimination,1,7,iyu_step_4-step_4.wav,a,284,3,603
33.33333333,pretest_discrimination,0,8,iyu_step_1-step_3.wav,a,1013,3,603
40,pretest_discrimination,1,9,iyu_step_2-step_2.wav,a,435,3,603
45.45454545,pretest_discrimination,1,10,iyu_step_1-step_1.wav,a,204,3,603
41.66666667,pretest_discrimination,0,11,iyu_step_2-step_4.wav,a,203,3,603
38.46153846,pretest_discrimination,0,12,iyu_step_4-step_6.wav,a,517,3,603
42.85714286,pretest_discrimination,1,13,iyu_step_2-step_2.wav,a,392,3,603
40,pretest_discrimination,0,14,iyu_step_3-step_1.wav,a,377,3,603
37.5,pretest_discrimination,0,15,iyu_step_3-step_5.wav,a,504,3,603
35.29411765,pretest_discrimination,0,16,iyu_step_5-step_3.wav,a,451,3,603
38.88888889,pretest_discrimination,1,17,iyu_step_2-step_2.wav,a,124,3,603
42.10526316,pretest_discrimination,1,18,iyu_step_4-step_4.wav,a,177,3,603
45,pretest_discrimination,1,19,iyu_step_2-step_4.wav,g,406,3,603
42.85714286,pretest_discrimination,0,20,iyu_step_4-step_2.wav,a,169,3,603
40.90909091,pretest_discrimination,0,21,iyu_step_4-step_2.wav,a,2578,3,603
43.47826087,pretest_discrimination,1,22,iyu_step_1-step_1.wav,a,979,3,603
45.83333333,pretest_discrimination,1,23,iyu_step_6-step_6.wav,a,1174,3,603
48,pretest_discrimination,1,24,iyu_step_7-step_7.wav,a,417,3,603
50,pretest_discrimination,1,25,iyu_step_3-step_3.wav,a,828,3,603
51.85185185,pretest_discrimination,1,26,iyu_step_4-step_4.wav,a,3651,3,603
53.57142857,pretest_discrimination,1,27,iyu_step_3-step_3.wav,a,528,3,603
51.72413793,pretest_discrimination,0,28,iyu_step_7-step_5.wav,a,367,3,603
53.33333333,pretest_discrimination,1,29,iyu_step_3-step_3.wav,a,254,3,603
54.83870968,pretest_discrimination,1,30,iyu_step_1-step_1.wav,a,324,3,603
56.25,pretest_discrimination,1,31,iyu_step_5-step_7.wav,g,248,3,603
54.54545455,pretest_discrimination,0,32,iyu_step_2-step_4.wav,a,150,3,603
