"accuracy","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"100","pretest_discrimination","1","0","iyu_step_7-step_7.wav","a","3586","203"
"50","pretest_discrimination","0","1","iyu_step_4-step_6.wav","a","4757","203"
"33.3333333333","pretest_discrimination","0","2","iyu_step_1-step_3.wav","a","871","203"
"50","pretest_discrimination","1","3","iyu_step_2-step_2.wav","a","327","203"
"60","pretest_discrimination","1","4","iyu_step_5-step_7.wav","g","1152","203"
"66.6666666667","pretest_discrimination","1","5","iyu_step_2-step_2.wav","a","4658","203"
"71.4285714286","pretest_discrimination","1","6","iyu_step_7-step_5.wav","g","882","203"
"62.5","pretest_discrimination","0","7","iyu_step_5-step_3.wav","a","487","203"
"66.6666666667","pretest_discrimination","1","8","iyu_step_1-step_1.wav","a","226","203"
"70","pretest_discrimination","1","9","iyu_step_5-step_5.wav","a","441","203"
"72.7272727273","pretest_discrimination","1","10","iyu_step_5-step_7.wav","g","277","203"
"75","pretest_discrimination","1","11","iyu_step_1-step_1.wav","a","376","203"
"76.9230769231","pretest_discrimination","1","12","iyu_step_4-step_4.wav","a","351","203"
"71.4285714286","pretest_discrimination","0","13","iyu_step_2-step_4.wav","a","389","203"
"66.6666666667","pretest_discrimination","0","14","iyu_step_5-step_3.wav","a","297","203"
"68.75","pretest_discrimination","1","15","iyu_step_7-step_7.wav","a","429","203"
"64.7058823529","pretest_discrimination","0","16","iyu_step_3-step_5.wav","a","402","203"
"66.6666666667","pretest_discrimination","1","17","iyu_step_2-step_2.wav","a","414","203"
"68.4210526316","pretest_discrimination","1","18","iyu_step_6-step_4.wav","g","387","203"
"70","pretest_discrimination","1","19","iyu_step_5-step_7.wav","g","381","203"
"71.4285714286","pretest_discrimination","1","20","iyu_step_3-step_5.wav","g","2676","203"
"72.7272727273","pretest_discrimination","1","21","iyu_step_2-step_2.wav","a","355","203"
"73.9130434783","pretest_discrimination","1","22","iyu_step_7-step_7.wav","a","401","203"
"75","pretest_discrimination","1","23","iyu_step_2-step_2.wav","a","375","203"
"76","pretest_discrimination","1","24","iyu_step_7-step_5.wav","g","392","203"
"76.9230769231","pretest_discrimination","1","25","iyu_step_7-step_7.wav","a","320","203"
"74.0740740741","pretest_discrimination","0","26","iyu_step_3-step_5.wav","a","399","203"
"71.4285714286","pretest_discrimination","0","27","iyu_step_6-step_4.wav","a","1949","203"
"72.4137931034","pretest_discrimination","1","28","iyu_step_4-step_6.wav","g","404","203"
"73.3333333333","pretest_discrimination","1","29","iyu_step_3-step_3.wav","a","359","203"
"74.1935483871","pretest_discrimination","1","30","iyu_step_5-step_7.wav","g","224","203"
"75","pretest_discrimination","1","31","iyu_step_7-step_7.wav","a","454","203"
"72.7272727273","pretest_discrimination","0","32","iyu_step_4-step_2.wav","a","385","203"
"73.5294117647","pretest_discrimination","1","33","iyu_step_7-step_5.wav","g","1107","203"
"74.2857142857","pretest_discrimination","1","34","iyu_step_4-step_4.wav","a","2760","203"
"75","pretest_discrimination","1","35","iyu_step_4-step_2.wav","g","859","203"
"72.972972973","pretest_discrimination","0","36","iyu_step_3-step_1.wav","a","366","203"
"73.6842105263","pretest_discrimination","1","37","iyu_step_3-step_3.wav","a","331","203"
"74.358974359","pretest_discrimination","1","38","iyu_step_4-step_4.wav","a","241","203"
"72.5","pretest_discrimination","0","39","iyu_step_3-step_1.wav","a","355","203"
"73.1707317073","pretest_discrimination","1","40","iyu_step_3-step_3.wav","a","415","203"
"73.8095238095","pretest_discrimination","1","41","iyu_step_6-step_6.wav","a","424","203"
"72.0930232558","pretest_discrimination","0","42","iyu_step_1-step_3.wav","a","346","203"
"72.7272727273","pretest_discrimination","1","43","iyu_step_6-step_6.wav","a","319","203"
"71.1111111111","pretest_discrimination","0","44","iyu_step_4-step_2.wav","a","375","203"
"71.7391304348","pretest_discrimination","1","45","iyu_step_6-step_6.wav","a","407","203"
"72.3404255319","pretest_discrimination","1","46","iyu_step_7-step_5.wav","g","551","203"
"72.9166666667","pretest_discrimination","1","47","iyu_step_7-step_5.wav","g","408","203"
"73.4693877551","pretest_discrimination","1","48","iyu_step_4-step_4.wav","a","313","203"
"74","pretest_discrimination","1","49","iyu_step_3-step_3.wav","a","1737","203"
"74.5098039216","pretest_discrimination","1","50","iyu_step_6-step_6.wav","a","403","203"
"75","pretest_discrimination","1","51","iyu_step_5-step_5.wav","a","2566","203"
"73.5849056604","pretest_discrimination","0","52","iyu_step_2-step_4.wav","a","549","203"
"74.0740740741","pretest_discrimination","1","53","iyu_step_1-step_1.wav","a","371","203"
"74.5454545455","pretest_discrimination","1","54","iyu_step_7-step_5.wav","g","481","203"
"73.2142857143","pretest_discrimination","0","55","iyu_step_1-step_3.wav","a","380","203"
